Limburgish	Old English	probability
ˈʏː	-	1.0
ˈʏ_m	mː	1.0
ˈʊ	ˈu	1.0
ˈɛːi̯	-	1.0
ˈɒː_n	ˈoː_n	1.0
ˈɑː_n	ˈoː	1.0
ˈœi̯	-	1.0
ˈœ	ˈy	1.0
ˈuː	ˈuː	1.0
ˈu	ˈæːɑ̯	1.0
ʃ	ʃ	1.0
ɪ	i	1.0
ɦ	h	1.0
ɡ	ʤː	1.0
ə_ʀ	e_r	1.0
ŋ	ŋ	1.0
z̥	z	1.0
w	ɫ	1.0
s_l	s_l	1.0
n_s	ʃː	1.0
m	m	1.0
l_ə	ɫ	1.0
i	iːy̯	1.0
d̥	d	1.0
b	b	0.958
z	s	0.903
p	p	0.895
β	w	0.889
l	l	0.846
t	t	0.844
ˈɪː	ˈi	0.833
d	θ	0.804
v	f	0.798
ʀ	r	0.77
ˈiː	ˈiː	0.757
ʀ_ə	r	0.746
n	n	0.742
ˈɑː	ˈɑ	0.72
ˈɛː	ˈɑː	0.681
j	d	0.646
ˈyː	-	0.622
ˈæː	-	0.608
s	s	0.6
ˈɔu̯	ˈuː	0.594
ˈɪ	ˈe	0.591
ˈæ	-	0.587
k	k	0.53
ˈɛ	ˈi	0.509
ˈøː	ˈeː	0.506
x	t	0.503
ɣ̊	j	0.493
ˈɛ	-	0.491
ˈɔː	ˈæːɑ̯	0.491
ə	ɑ_n	0.475
ɣ	ɡ	0.46
ˈɒː	ˈæː	0.431
ˈʊː	ˈu	0.422
ˈæ	ˈe	0.413
ˈoː	ˈu	0.412
x	x_t	0.412
ˈɪ	ˈi	0.409
ˈɔu̯	-	0.406
ˈæː	ˈæɑ̯	0.392
ˈyː	ˈyː	0.378
ˈɔ	ˈo	0.374
ˈɔ	ˈu	0.357
ˈeː	ˈeːo̯	0.346
ˈoː	ˈoː	0.338
ˈaː	ˈɑ	0.334
k	ʧ	0.33
ˈøː	-	0.326
ˈɑ	-	0.32
ɣ̊	ɣ̊	0.32
ˈeː	ˈe	0.316
ɣ	j	0.311
ˈɒː	ˈɑ	0.304
ˈɔː	ˈu	0.298
ə	o	0.283
ˈɑː	-	0.28
s	s_t	0.271
ˈɔ	ˈy	0.269
ˈɒː	ˈæːɑ̯	0.266
ʀ_ə	r_n	0.254
ˈaː	ˈæ	0.252
ˈoː	-	0.25
ˈiː	ˈeːo̯	0.243
j	ɫ	0.237
ˈɑ	ˈæ	0.23
ɣ	ɣ	0.23
ˈɑ	ˈæɑ̯	0.218
ˈʊː	ˈo	0.217
ˈi	ˈiːy̯	0.212
ˈɔː	ˈo	0.211
ˈi	ˈɑː	0.208
v	v	0.202
d	d	0.196
ɣ̊	ɣ_e	0.187
ˈɛː	ˈi	0.181
ˈaː	ˈæɑ̯	0.178
ˈaː	-	0.178
ˈøː	ˈo	0.169
ˈɪː	-	0.167
ˈʊː	ˈoː	0.164
ˈi	ˈeːo̯	0.149
ˈi	ˈɑː_w	0.145
ˈi	ˈi	0.145
ˈeː	ˈeo̯	0.145
ˈi	ˈæː	0.141
ˈɛː	-	0.138
ˈʊː	-	0.132
s	k_s	0.129
n	nː	0.125
ˈeː	ˈi	0.122
j	dː	0.117
ˈɑ	ˈiy̯	0.116
ˈɑ	ˈi_ç	0.116
β	h_w	0.111
p	pː	0.105
z	s_w	0.097
ə	e	0.09
l	ɫ	0.088
k	ʤ	0.086
x	xː	0.085
t	t_e	0.084
ʀ	-	0.076
ʀ	r_ˈeːo̯	0.075
t	tː	0.072
ˈeː	-	0.071
n	-	0.069
ˈʊː	ˈɑː	0.066
ə	-	0.066
l	ɫː	0.066
n	n_e	0.064
ˈaː	ˈæɑ̯_ɫ	0.058
ʀ	e_r	0.057
