East Franconian	Alsatian	probability
ˈɘ	-	1.0
ˈɔ_ɐ	ˈu_ʁ	1.0
ʦ	ʦ	1.0
ʃ	ʃ	1.0
ɪ	i	1.0
ɣ	ʋ	1.0
ɡ̊_n	k	1.0
ə	ə_t	1.0
ɐ_n	ʁ_n	1.0
z̥_n	s_ə	1.0
z̥	s	1.0
v̥	f	1.0
s	s	1.0
r	ʁ	1.0
n_s	n_s	1.0
l_n	l	1.0
l	l	1.0
kʰ	kʰ	1.0
j	j	1.0
i	i	1.0
h	h	1.0
f	f	1.0
eː	eː_n	1.0
b̥͡v̥	p͡f	1.0
ˈɒ	ˈɒ	0.948
b̥	b̥	0.947
ˈaʊ̯	ˈyː	0.917
ˈɪ	ˈi	0.907
ˈʊ	ˈu	0.878
m	m	0.869
v	ʋ	0.854
ˈɔ	ˈo	0.813
n	n	0.732
ˈɛ	ˈe	0.722
ɐ	ʁ	0.697
ɣ̊	-	0.693
ˈɛː	ˈæː	0.676
ŋ	ŋ	0.613
x	x	0.599
ç	ʃ	0.598
a	ə	0.586
ɾ	t_ə	0.574
ˈuː	ˈʊː	0.548
d̥	t	0.539
ˈeː	-	0.532
ˈaː	ˈəi̯	0.519
ɡ̊	ɡ̊	0.514
ˈaɪ̯	ˈiː	0.499
ɡ̊	k	0.486
d̥	d̥	0.461
ˈiː	ˈiː	0.459
ɾ	d̥	0.426
a	-	0.414
ˈoː	ˈoː	0.411
ˈuː	ˈoː	0.406
ç	i_ʃ	0.402
x	ʃ	0.401
ˈaɪ̯	ˈi	0.369
ˈeː	ˈæ	0.326
ˈɛː	ˈai̯	0.324
ɣ̊	ɡ̊	0.307
ɐ	ə_ʁ	0.303
ŋ	j_ə	0.279
ˈaː	ˈʊː	0.275
ˈoː	ˈɒː	0.259
ˈiː	ˈeː	0.257
ˈoː	-	0.21
ˈɔ	ˈu	0.187
n	ə	0.179
ˈɛ	ˈæ	0.177
ˈiː	ˈi	0.15
v	w	0.146
ˈeː	ˈɛ	0.142
ˈaː	ˈei̯	0.135
ˈiː	-	0.133
ˈaɪ̯	ˈei̯	0.131
ˈʊ	-	0.122
ˈoː	ˈɒ	0.121
ŋ	ə	0.108
ˈɛ	-	0.101
ˈɪ	ˈu	0.093
ˈaʊ̯	ˈøi̯	0.083
n	n_d̥	0.062
m	ə	0.053
m	-	0.053
b̥	p	0.053
ˈɒ	ˈɒː	0.052
