Logudorese	Aromanian	probability
ĕ	i	1.0
j	-	1.0
o	u	1.0
sː	-	1.0
z	-	1.0
ð	t	1.0
ɖ	-	1.0
ɖː	l	1.0
ɲː	n	1.0
ʣ	ʎ	1.0
b	ɡ	0.141
e	i	0.811
k	k	0.651
p	k	0.131
r	r	0.821
ŋ	ŋ	0.501
ˈi	ˈe	0.141
ˈo	o̯ˈa_m	0.061
ˈu	ˈu	0.961
b	ʣ	0.092
i	i	0.842
m	ɲ	0.122
t	ʦ	0.152
t	t	0.502
ɣ	ʦ	0.472
ˈa	a	0.052
ˈo	o̯ˈa	0.132
ˈo	ˈo	0.412
a	i	0.093
k	ʦ	0.263
l	-	0.113
ɡ	ʣ	0.583
ˈi	ˈi	0.613
a	ə	0.634
d	ʣ	0.394
e	-	0.074
r	l	0.064
rː	r	0.444
ˈa	ˈɨ	0.304
a	-	0.125
b	b	0.265
b	-	0.315
f	ç	0.495
f	f	0.505
n	-	0.165
n	n	0.815
nː	<#_a	0.115
nː	n	0.885
ˈe	e̯ˈa	0.285
ˈi	e̯ˈa	0.215
β	-	0.385
β	p	0.615
b	v	0.186
d	d	0.606
rː	r_n	0.556
t	p_t	0.346
u	u	0.696
ˈa	ˈa	0.586
e	e	0.057
k	t	0.057
l	r	0.217
l	l	0.67
m	m	0.857
u	ə	0.097
ɡ	ɡ	0.417
ˈe	ˈe	0.197
ˈo	ˈu	0.327
s	ʃ	0.338
s	s	0.658
u	i	0.058
ɣ	k	0.528
ˈo	ˈa	0.068
a	a	0.109
i	-	0.109
p	p	0.869
r	ʎ	0.079
u	-	0.069
u	w	0.079
ŋ	n	0.499
ˈe	ˈa	0.149
ˈe	ˈi	0.369
