Standard German	Middle High German	probability
ˈʏ	ˈy	1.0
ˈʊ	ˈu	1.0
ˈɪ	ˈi	1.0
ˈɔʏ̯	ˈyː	1.0
ˈøː	ˈøː	1.0
ˈuː	ˈuə̯	1.0
ˈiː_ɐ	ˈi_r	1.0
ˈaː_ɐ	ˈɑː_r	1.0
ˈa_ɐ	ˈɑ_r	1.0
ˈa	ˈɑ	1.0
ɪ_ç	ə_ɡ̊	1.0
ɪ	i	1.0
ɡ̊	ɡ̊	1.0
ɡ	ɡ	1.0
ɐ_n	r_n	1.0
z̥	s	1.0
v_ˈa	w	1.0
v	w	1.0
tʰ	t	1.0
s_t	s_t	1.0
p͡f	p͡f	1.0
p	p	1.0
n_ə	nː_ə	1.0
n_z̥	n_s	1.0
k_s	x_s	1.0
j	j	1.0
h	h	1.0
eː	ɛ	1.0
b̥	b̥	1.0
b	b	1.0
a	-	1.0
n	n	0.993
m	m	0.967
z	s	0.962
d	d	0.957
ʁ	r	0.951
l	l	0.943
ʃ	ʃ	0.934
d̥	d̥	0.897
ə	ə	0.862
kʰ	kʰ	0.848
ˈɔ	ˈo	0.831
ʦ	ʦ	0.83
t	t	0.826
ˈaː	ˈɑ	0.809
k	kː	0.795
ˈiː	ˈiə̯	0.793
ç	x	0.774
ˈyː	ˈyə̯	0.719
s	s̻	0.666
ˈɛ	ˈɛ	0.661
f	v	0.647
ɐ	r	0.63
ˈaʊ̯	ˈuː	0.604
ˈɛː	ɑː	0.598
x	x	0.56
ˈaɪ̯	ˈei̯	0.548
ˈaɪ̯	ˈiː	0.452
x	xː	0.44
ˈoː	ˈoː	0.428
ŋ	ŋ_ɡ	0.426
ˈɛː	ˈæː	0.402
ŋ	ŋ_ɡ̊	0.368
ˈaʊ̯	ˈou̯	0.359
ˈɛ	ˈe	0.339
s	s̻ː	0.334
f	f	0.334
ˈeː	ˈɛ	0.329
ˈoː	ˈo	0.312
ˈyː	ˈy	0.281
ɐ	ə_r	0.278
ˈeː	ˈeː	0.263
ˈoː	ˈɑː	0.26
ç	xː_ə	0.226
ˈeː	ˈe	0.218
ˈiː	ˈi	0.207
ŋ	ŋ	0.207
k	k	0.205
ˈaː	ˈɑː	0.191
ˈeː	ˈɛ_h	0.19
ʦ	ʦː	0.17
ˈɔ	-	0.169
kʰ	k	0.152
t	t_ə	0.119
ə	-	0.111
d̥	-	0.103
ʃ	ʃː	0.066
t	tː	0.055
ɐ	r_ə	0.052
