Insular North Frisian	Insular North Frisian	probability
ˈɛː	ˈɛ	1.0
ˈiː_#>	ˈaɪ̯_#>	1.0
ˈaʊ̯	-	1.0
ʃ	z	1.0
ə_#>	n_#>	1.0
ɐ_x	ɐ	1.0
ɐ_n	ɐ_n	1.0
ɐ	ɐ	1.0
z	z	1.0
v	v	1.0
tʲ	d	1.0
s_t	s_t	1.0
s_k	ʃ	1.0
s_#>	z̥_#>	1.0
r_ə	ɐ	1.0
pʰ	p͡f	1.0
p_#>	f_#>	1.0
m	m	1.0
lʲ	l_d̥	1.0
l	l	1.0
kʰ	kʰ	1.0
k_#>	x_#>	1.0
h	h	1.0
f_#>	b̥_#>	1.0
e	l	1.0
d_ɐ	s_ɐ	1.0
b	b	1.0
aɪ̯	eː	1.0
<#_r	<#_ʁ	1.0
<#_n	<#_n	1.0
f	f	0.933
ə	-	0.857
ŋ	ŋ	0.846
n	n	0.821
ɡ	ɡ	0.818
r	ʁ	0.81
ˈa	ˈa	0.75
j	-	0.75
ɾ	t	0.667
ɪ	ɪ	0.667
d	tʰ	0.667
ˈøː	-	0.6
p	f_n	0.6
ˈɔa̯	ˈoː	0.556
x	x	0.545
ˈœ_n	ˈa_n	0.5
ˈœ_n	n	0.5
ˈuː	ˈɔ	0.5
ˈoː	ˈaʊ̯	0.5
ˈoː	-	0.5
tʰ	ʦ	0.5
tʰ	d	0.5
s	z	0.5
nʲ	n_d̥	0.5
nʲ	n_d	0.5
ˈɪ	ˈɪ	0.478
t	t	0.475
#>	n_#>	0.451
ˈɔː	ˈa	0.444
ˈeː	-	0.444
s	ʃ	0.444
ˈyː	ˈɔʏ̯	0.429
ˈøː	ˈyː	0.4
p	-	0.4
k	ç	0.4
k	k	0.4
#>	ə_#>	0.394
ˈɔː	ˈaː	0.389
ˈʏ	ˈaʊ̯	0.364
ˈɔ	ˈɔ	0.364
ˈɪ	ˈaɪ̯	0.348
ˈaɪ̯	ˈeː	0.333
ˈaɪ̯	ˈaː	0.333
ˈaɪ̯	ˈaɪ̯	0.333
ɪ	-	0.333
ç	ɡ	0.333
ç	ç	0.333
t	s	0.325
ˈœ	ˈʊ	0.3
ˈœ	-	0.3
ˈuː	ˈa	0.3
ˈiː	ˈaɪ̯	0.294
ˈɛ	-	0.29
ˈyː	ˈaʊ̯	0.286
ˈyː	-	0.286
ˈɔ	ˈuː	0.273
x	-	0.273
j	j	0.25
d	d	0.238
ˈʊ	ˈʊ	0.235
ˈʊ	ˈɪ	0.235
ˈiː	ˈiː	0.235
ˈʏ	-	0.227
ˈɔa̯	ˈa	0.222
ˈɔa̯	-	0.222
ˈœ	ˈɔ	0.2
ˈœ	ˈuː	0.2
ˈuː	ˈoː	0.2
ç	k	0.2
k	x	0.2
ˈɛ	ˈɪ	0.194
ˈɛ	ˈɛ	0.194
ɾ	d	0.19
ˈɔ	ˈʊ	0.182
ˈɔ	-	0.182
ɡ	-	0.182
x	ɐ	0.182
ˈʊ	ˈɔ	0.176
ˈʊ	ˈuː	0.176
ˈʊ	ˈa	0.176
ˈiː	ˈeː	0.176
ˈiː	ˈaː	0.176
ˈɔː	-	0.167
ˈeː	ˈaɪ̯	0.167
ˈeː	ˈa	0.167
ŋ	ç	0.154
t	ʦ	0.15
ɾ	d̥	0.143
ə	ɐ	0.143
ˈʏ	ˈʊ	0.136
ç	-	0.133
ˈa	ˈɛ	0.125
ˈa	ˈaː	0.125
ˈiː	ˈɔʏ̯	0.118
ˈeː	ˈɪ	0.111
ˈeː	ˈɛ	0.111
ˈɛ	ˈʏ	0.097
ˈɛ	ˈaɪ̯	0.097
r	ʁ_ˈɔʏ̯	0.095
r	ɐ	0.095
d	-	0.095
ˈʏ	ˈɔʏ̯	0.091
ˈʏ	ˈuː	0.091
ˈʏ	ˈiː	0.091
ˈɪ	ˈiː_ɐ	0.087
ˈɪ	ˈiː	0.087
n	n_ˈaː	0.077
f	-	0.067
ˈɛ	ˈœ	0.065
ˈɛ	ˈiː	0.065
s	s	0.056
#>	ɡ̊_#>	0.056
#>	t_#>	0.056
n	ˈoː_n	0.051
n	-	0.051
