Old High German	Icelandic	probability
ˈɑ_t	ˈaː_ð	1.0
ˈie̯	ˈɛː	1.0
ˈi_n	ˈiː	1.0
ʦː	-	1.0
ʦ_ɛ	aːu̯	1.0
ɛ	ɪ	1.0
ə	-	1.0
ɑ_r	ʏ	1.0
ɑ_n	a	1.0
u	-	1.0
tː	ð_j	1.0
s_t	s_t	1.0
rː	r̥	1.0
r_n	r_t͡n̥	1.0
r_i	r̥	1.0
p͡f	pʰ	1.0
p	p	1.0
oː	-	1.0
ou̯	ˈœːy̯	1.0
nː	nː	1.0
n_d	nː	1.0
m_ˈe	m	1.0
m	m	1.0
lː	t͡l̥	1.0
l_d	t͡l̥	1.0
kʰ_n	n̥	1.0
j	-	1.0
fː	p	1.0
eː_n	a	1.0
e_n	a	1.0
s	s	0.964
s̻ː	t	0.905
ˈiː	ˈiː	0.867
f	f	0.791
r	r	0.778
ʦ	tʰ	0.769
ˈuː	ˈuː	0.767
s̻	t	0.754
b	b̥	0.736
ŋ	ŋ	0.725
l	l	0.711
d	θ	0.641
w	v	0.618
h_ɑ	ˈɑːu̯	0.617
h	h	0.613
ˈoː	ˈœːy̯	0.57
ˈuo̯	ˈoːu̯	0.557
ˈiu̯	-	0.549
kʰ	kʰ	0.546
ˈɑː	ˈɑːu̯	0.535
ɡ_ɑ	ˈuː	0.522
ˈe	ˈɛ	0.512
t	ð	0.506
ˈou̯	-	0.504
ˈeː	j	0.5
ˈeː	-	0.5
ˈou̯	ˈœːy̯	0.496
ɡ	ɡ̊	0.492
ˈe	-	0.488
i	-	0.485
n	n	0.479
ɡ_ɑ	ɡ̊	0.478
k	c	0.455
kʰ	cʰ	0.454
ˈiu̯	ˈiː	0.451
kː	-	0.44
xː	k	0.431
ˈoː	ˈɛːi̯	0.43
ɑ	-	0.426
ˈei̯	ˈɛːi̯	0.411
x	k	0.403
ˈo	ˈɔ	0.4
ˈio̯	j_ˈoːu̯	0.399
h_ɑ	ˈaːu̯	0.383
kː	ɡ̊ː	0.373
ˈɑ	ˈa	0.361
d	ð	0.359
ˈi	ˈɪ	0.358
ˈɑː	-	0.34
k	k	0.33
ˈu	ˈʏ	0.32
i	ʏ	0.314
ˈo	-	0.293
t	d̥	0.292
ɡ	ɟ̊	0.291
xː	c	0.284
xː	-	0.284
ɑ	a	0.282
o	ɪ	0.274
o	a	0.274
b	v	0.264
ɑ	ʏ	0.251
ˈɛ	ˈɛ	0.249
o	ˈoːu̯_r̥	0.247
s̻	t_ʏ	0.246
ˈei̯	ˈɛi̯	0.245
w	-	0.235
ʦ	t	0.231
ˈuo̯	ˈaːi̯	0.225
ˈɛ	-	0.22
ˈuo̯	-	0.218
ɡ	ɣ	0.217
k	-	0.215
h	-	0.207
o	r̥	0.205
ˈio̯	j_ˈuː	0.202
ˈio̯	j	0.202
ˈio̯	-	0.197
x	ʰt	0.195
ˈi	ˈi	0.194
ˈu	ˈɔ	0.191
ˈei̯	ˈɛ	0.189
kː	ʰc	0.187
ˈo	ˈʏ	0.183
x	-	0.181
h	ç	0.179
ˈu	ˈu	0.173
l	l̥	0.169
n	a	0.168
ŋ	-	0.167
f	p	0.165
ˈu	-	0.162
ˈɛ	j	0.159
ˈei̯	-	0.155
n	-	0.152
n	t͡n̥	0.151
ˈɑ	-	0.15
i	r̥	0.141
x	x	0.137
ˈɑ	ˈaː	0.135
ˈiː	-	0.133
ˈɛ	ˈɛː	0.13
ˈɑː	ˈɔː	0.126
ˈɑ	ˈɑu̯	0.126
ˈo	ˈɪ	0.124
ˈɛ	j_ˈœ	0.122
ˈuː	ˈiː	0.119
l	t͡l̥	0.119
ˈuː	ˈʏ	0.114
ˈi	j_ˈɛː	0.113
ŋ	ɲ	0.108
r	ɪ	0.107
ˈi	ˈɪː	0.098
ˈi	ˈɛː	0.097
ˈi	-	0.097
t	ʏ_r̥	0.096
s̻ː	ʰt͡n̥	0.095
ˈɑ	ˈɛ	0.091
ˈɑ	ˈœ	0.086
x	ˈɔu̯	0.084
w	kʰ_v	0.084
ˈu	ˈɪ	0.083
r	r̥	0.082
ˈu	ˈɔː	0.072
t	ʰt	0.069
w	v_ˈɪː	0.063
ˈɛ	ˈau̯	0.06
ˈɛ	j_ˈɛ	0.06
i	ɛ	0.06
ˈɑ	ˈaː_ð	0.051
n	n̥	0.05
