Gothic	Bokmål Norwegian	probability
β	-	1.0
ˈɛː_w	ˈøː	1.0
ˈɔː_s	ˈøː_ɾ	1.0
ˈɔ_θ	ˈøː	1.0
ˈɔ	ˈuː	1.0
ˈuː	ˈʉː	1.0
ˈu_ŋ_k	sː	1.0
ˈoː	ˈuː	1.0
ˈiː	ˈiː	1.0
ˈiu̯_p	pː	1.0
ˈi_ɡ	ˈæɪ̯	1.0
ˈeː	ˈoː	1.0
ʍ	ʋ	1.0
ɣ	-	1.0
ɡʷː	ɡ	1.0
ɡʷ	-	1.0
ɔː	ə	1.0
ŋ_ɡ	ŋː	1.0
ð	-	1.0
w_ˈɔ	ˈʊ	1.0
u	-	1.0
t	t	1.0
s_k	ʂ	1.0
r_t	ʈː	1.0
r_n	ɳ	1.0
r	ɾ	1.0
p	p	1.0
nː	nː	1.0
n_θ	nː	1.0
n_s	n	1.0
n_d	nː	1.0
m	m	1.0
lː	lː	1.0
l_θ	lː	1.0
l_ˈa	l	1.0
l_d	lː	1.0
kʷ	kʰ	1.0
j	-	1.0
i	-	1.0
h_t	tː	1.0
e	-	1.0
d	d	1.0
aː	-	1.0
a_x	i	1.0
b	b	0.904
w	ʋ	0.852
f	f	0.82
l	l	0.754
s	s	0.75
θ	-	0.749
a	ə	0.734
ˈu	ˈʉ	0.723
ˈiu̯	ˈyː	0.711
k	k	0.704
ɡ	ɡ	0.658
ˈɔː	ˈøː	0.641
oː	ə	0.622
j_a	ə	0.6
n	n	0.576
ˈa	ˈɑ	0.552
ˈɛː	ˈæɪ̯	0.534
ˈɛː	ˈɛ	0.466
ˈi	ˈɪ	0.465
h	h	0.452
ˈɛ	j	0.443
j_a	ˈeː	0.4
oː	-	0.378
h	-	0.371
ˈɔː	-	0.359
ɡ	j	0.342
ˈɛ	ˈɛ	0.321
ˈiu̯	-	0.289
a	-	0.266
θ	d	0.251
s	ʂ	0.25
l	lː	0.246
ˈɛ	-	0.235
n	nː	0.231
k	-	0.22
ˈu	-	0.208
f	ʋ	0.18
h	j	0.177
ˈi	ˈɛ	0.168
ˈa	ˈɛ	0.168
ˈi	ˈiː	0.157
w	-	0.148
ˈa	ˈɑː	0.136
n	-	0.104
ˈi	-	0.096
b	-	0.096
n	ə	0.089
ˈa	ˈɔ	0.085
k	kː	0.077
ˈi	ˈɔ	0.07
ˈu	ˈʉː	0.069
ˈa	-	0.06
