Sixian	Sixian	probability
⁵⁵	⁵¹	1.0
⁵	⁵¹	1.0
ʨʰ	ʨʰ	1.0
ɲ_j	n_j	1.0
ɕ	ɕ	1.0
ŋ̍	y	1.0
¹¹	³⁵	1.0
w	w	1.0
v	x_w	1.0
u_t̚	u	1.0
u_k̚	u	1.0
t̚	-	1.0
p̚	-	1.0
pʰ	pʰ	1.0
n	n	1.0
l	l	1.0
k̚_²	w_⁵¹	1.0
j_u	y	1.0
j_a	i	1.0
i_m	i_n	1.0
e_t̚	e	1.0
a_k̚	a	1.0
<#_v	<#_w	1.0
<#_o	<#_a	1.0
<#_m	<#_w	1.0
<#_kʰ	<#	1.0
#>	³⁵_#>	1.0
ŋ	ŋ	0.929
³¹	²¹⁴	0.815
ʦʰ	ʈ͡ʂʰ	0.727
a	a	0.72
²⁴	⁵⁵	0.698
ɨ	ʐ̩	0.667
tʰ	tʰ	0.667
k	ʨ	0.667
j	j	0.643
p	p	0.625
ɲ	-	0.6
t̚_²	⁵⁵	0.6
s	ʂ	0.6
m	m	0.6
h	x	0.6
f	f	0.6
ʦ	ʈ͡ʂ	0.571
kʰ	ʨʰ	0.571
t	ʈ͡ʂ	0.5
t	t	0.5
k̚	ɔ	0.5
k̚	-	0.5
o	ɑ	0.484
i	i	0.455
ʦ	ʦ	0.429
kʰ	kʰ	0.429
e	ɛ	0.429
ɲ	ʐ	0.4
t̚_²	³⁵	0.4
m	n	0.4
f	x_w	0.4
p	f	0.375
ɨ	z̩	0.333
²	⁵¹	0.333
tʰ	t	0.333
k	k	0.333
o	a	0.29
u	u	0.286
ʦʰ	ʦʰ	0.273
u	ʊ	0.25
u	o	0.25
j	ɥ	0.25
u	ə	0.214
h	ʨʰ	0.2
h	kʰ	0.2
a	ɤ	0.2
e	o	0.19
e	-	0.19
³¹	w_²¹⁴	0.185
i	y	0.182
²	⁵⁵	0.167
²	²¹⁴	0.167
²	j_⁵⁵	0.167
²	j_²¹⁴	0.167
i	ʐ̩	0.136
i	ɤ_ɻ	0.136
s	ɕ	0.133
s	s	0.133
s	-	0.133
²⁴	²¹⁴	0.116
j	-	0.107
o	w_a	0.097
e	ɑ	0.095
e	j_ɑ	0.095
i	e_j	0.091
a	i	0.08
ŋ	-	0.071
²⁴	w_⁵⁵	0.07
²⁴	-	0.07
o	w_ɔ	0.065
o	w	0.065
