Belarusian	Old Church Slavonic	probability
ˈʉ	ˈu	1.0
ˈɵ_r	r_ˈɪ	1.0
ˈɵ	ˈɛ	1.0
ˈɛ	ˈæ	1.0
ˈo_w	l_ˈɪ	1.0
ʤ̥	d_ɪ	1.0
ʣʲ	d	1.0
ʐ̊	ʒ	1.0
ʐ	ʒ	1.0
ʌ_ɫ	l	1.0
ʂ	ʧ_ɪ	1.0
ɫ	l	1.0
ɣʲ	ɡ	1.0
ɣ	ɡ	1.0
z̥	z	1.0
zʲ	z	1.0
z	z	1.0
xʲ	x	1.0
x	x	1.0
vʲ	v	1.0
v	v	1.0
t	t	1.0
sʲ	s	1.0
s	s	1.0
r_ˈo	r	1.0
pʲ	p	1.0
p	p	1.0
nʲ	n	1.0
n	n	1.0
mʲ	m	1.0
m	m	1.0
kʲ	k	1.0
k	k	1.0
e_nʲ	ɯ	1.0
d̥ʲ	d_ʊ	1.0
d̥	d_ʊ	1.0
d	d	1.0
b̥	b_ʊ	1.0
bʲ	b	1.0
b	b	1.0
r	r	0.884
ˈa	ˈɑ	0.842
lʲ	l	0.836
ˈi	ˈi	0.795
ˈɨ	ˈɯ	0.793
ʧ	ʧ	0.753
ˈu	ˈɔ̃	0.75
ɨ	ʊ	0.707
ˈo	ˈɔ	0.669
j	j	0.667
ˈe	ˈæ	0.658
ʦ	ʦ	0.6
u	ɔ̃	0.6
i	-	0.581
ʦʲ	t	0.554
ˈæ	ˈɑ	0.542
e	ɛ	0.5
e	-	0.5
ˈæ	ˈɛ̃	0.458
ʦʲ	t_i	0.446
i	ʊ	0.419
ʦ	ɪ_ʦ	0.4
u	ˈu	0.4
a	ɔ	0.376
æ	ɛ̃	0.354
æ	ɛ	0.354
j	-	0.333
ˈu	ˈu	0.25
ʧ	ʃ	0.247
ˈe	ˈɛ	0.208
a	ɛ	0.208
ˈɨ	ʊ	0.207
ˈi	ʊ	0.205
æ	-	0.174
lʲ	lʲ	0.164
ˈo	ˈʊ	0.163
ɨ	-	0.147
ɨ	ɛ	0.146
ˈe	ˈɪ	0.134
æ	æ	0.118
a	æ	0.11
ˈa	ɑ	0.1
a	-	0.093
ˈo	ˈɑ	0.089
a	ˈɑ	0.086
ˈo	-	0.079
r	r_ˈɪ	0.078
a	ʊ	0.075
ˈa	ˈa	0.057
a	ɑ	0.052
