Sicilian	Lombard	probability
a	a	0.897
a	-	0.053
b	b	1.0
c	k	0.523
c	p	0.477
cː	ʧ	0.558
cː	ʤ	0.442
d	d	0.843
d	t	0.06
d	ʤ	0.05
dː	ʧ	1.0
f	f	1.0
i	e	0.407
i	i	0.346
i	j	0.136
i	ĩ	0.087
j	ʤ	0.434
j	-	0.3
j	j	0.197
j	ʧ	0.069
k	k	0.771
k	-	0.229
kː	k	0.871
kː	ʧ	0.129
l	l	0.911
l	-	0.089
lː	l	1.0
m	m	0.972
mː	m	0.926
mː	-	0.074
n	n	0.578
n	-	0.37
nː	n	0.363
nː	d	0.249
nː	m	0.249
nː	t	0.14
o	u	1.0
p	p	0.752
p	-	0.207
r	-	0.592
r	r	0.343
s	s	1.0
sː	s	1.0
t	t	0.502
t	d	0.383
t	-	0.091
tː	t	0.668
tː	ʧ	0.332
u	u	0.301
u	o	0.266
u	ũ	0.242
u	-	0.19
v	ʋ	0.71
v	f	0.202
w	-	0.402
w	w	0.386
w	l	0.107
w	ɡ	0.105
z	s	0.593
z	ʃ	0.407
ç	f	1.0
ŋ	ˈĩː	0.587
ŋ	-	0.22
ŋ	ˈẽː	0.193
ɕ	s	0.405
ɕ	ʧ	0.356
ɕ	ʦ	0.083
ɕ	z	0.066
ɕ	ʃ	0.061
ɖː	l	1.0
ɟ	ʤ	1.0
ɟː	j	0.599
ɟː	-	0.355
ɡ	ɡ	0.805
ɡ	k	0.195
ɪ	e	0.196
ɪ	ˈi	0.181
ɪ	-	0.163
ɪ	ˈɛ	0.158
ɪ	a	0.145
ɪ	ˈˈi	0.119
ɲ	ɲ	1.0
ɲː	ɲ	0.902
ɲː	ʤ	0.098
ɽ	r	0.662
ɽ	e_r	0.272
ɾ	r	0.524
ɾ	-	0.284
ɾ	j_r	0.066
ɾ	d	0.061
ʃ	ʃ	0.708
ʃ	s	0.292
ʃː	s	1.0
ʈ	t	0.373
ʈ	-	0.31
ʈ	d	0.158
ʈ	j	0.158
ʈː	t	1.0
ʊ	-	0.994
ʐ	r	1.0
ʐː	r	1.0
ʤ	ʤ	0.777
ʤ	b	0.112
ʤ	z	0.112
ʦ	ʦ	1.0
ʦː	ʦ	0.766
ʦː	s	0.234
ʧː	ʦ	0.741
ʧː	t	0.259
ˈa	ˈa	0.631
ˈa	ˈãː	0.264
ˈa	ˈaː	0.075
ˈe	ˈe	0.819
ˈe	ˈɛ	0.181
ˈi	ˈe	0.301
ˈi	ˈi	0.16
ˈi	-	0.125
ˈi	ˈɛ	0.093
ˈi	ˈĩː	0.073
ˈi	ˈeː	0.07
ˈi	ˈy	0.058
ˈo	ˈũː	0.422
ˈo	ˈo	0.42
ˈo	ˈu	0.158
ˈu	ˈy	0.348
ˈu	ˈu	0.304
ˈu	ˈũː	0.175
ˈu	ˈyː	0.081
ˈɔ	ˈɔ	0.477
ˈɔ	ˈø	0.178
ˈɔ	ˈøː	0.126
ˈɔ	ˈo	0.09
ˈɔ	ˈu	0.057
ˈɛ	ˈɛ	0.595
ˈɛ	ˈe	0.219
ˈɛ	ˈẽː	0.085
ˈɛ	-	0.056
