Luxembourgish	Luxembourgish	probability
ˈɛ	-	1.0
ˈɔ	-	1.0
ˈæːʊ̯	ˈʏ	1.0
ˈæːɪ̯_#>	ˈiː_#>	1.0
ˈuː	-	1.0
ˈi	-	1.0
ˈeː_n	ˈiː_n	1.0
ˈeː_#>	ˈaɪ̯_#>	1.0
ʦ_#>	t_#>	1.0
ʑ	ç	1.0
ʀ_#>	ɐ_n_#>	1.0
ɡ̊	-	1.0
ɡ	ɡ	1.0
ə_n_#>	#>	1.0
ɐ_#>	#>	1.0
ŋ_#>	n_#>	1.0
ŋ	ŋ	1.0
z̥_#>	s_#>	1.0
v̥_#>	f_#>	1.0
pʰ	pʰ	1.0
p	p	1.0
n_d̥	nʲ	1.0
m	m	1.0
l	l	1.0
kʰ	kʰ	1.0
j	j	1.0
h_ˈu	h	1.0
h	h	1.0
f_ə	p	1.0
e	aɪ̯	1.0
b	b	1.0
<#_n	<#_n	1.0
<#	<#_j	1.0
#>	s_#>	1.0
z	s	0.929
t	t	0.92
ʀ	r	0.889
ɐ	ɐ	0.882
f	f	0.867
ʦ	tʰ	0.818
ˈæːɪ̯	ˈɪ	0.8
v	v	0.76
w	v	0.75
ˈiː	-	0.727
k	k	0.714
s	t	0.706
χ	k	0.667
ʃ	s	0.613
<#_ˈaː	<#_ˈɔː	0.6
ˈə	ˈɛ	0.588
ˈɑɪ̯	ˈyː	0.571
n	n	0.558
d	d	0.543
ə	ə	0.52
ˈʊ	ˈʊ	0.5
ˈʊ	ˈœ	0.5
ˈɛː	ˈɛː	0.5
ˈɛː	-	0.5
ˈɑʊ̯	ˈʏ	0.5
ˈɑʊ̯	ˈyː	0.5
ˈæ	ˈeː	0.5
ˈæ	-	0.5
ˈuə̯	ˈa	0.5
ˈuə̯	-	0.5
ˈiə̯	ˈɛ	0.5
ˈiə̯	-	0.5
ˈeː	ˈɛ	0.5
ˈeː	ˈeː	0.5
ˈe	-	0.5
ˈɜɪ̯	-	0.471
ˈəʊ̯	ˈɔa̯	0.455
d̥	ɾ	0.455
ˈɑɪ̯	ˈiː	0.429
<#_ˈaː	<#	0.4
ʃ	s_k	0.387
ɕ	ç	0.368
d̥	-	0.364
χ	x	0.333
ˈoː	ˈɔː	0.333
ˈoː	ˈiː	0.333
ˈoː	-	0.333
ˈo	-	0.333
ə	-	0.32
ˈɑ	ˈʊ	0.3
ˈaː	ˈa	0.296
ˈɜɪ̯	ˈiː	0.294
ˈə	ˈɪ	0.294
k	ç	0.286
n	-	0.279
ˈo	ˈʊ	0.278
ˈiː	ˈeː	0.273
ɕ	x	0.263
ɕ	k	0.263
ˈɑ	ˈɪ	0.25
ˈu	ˈʏ	0.25
ˈu	ˈɔ	0.25
ˈu	ˈoː	0.25
ˈu	-	0.25
ˈe	ˈɪ	0.25
ˈe	ˈɛ	0.25
w	-	0.25
v	-	0.24
ˈɜɪ̯	ˈɛ	0.235
d	tʰ	0.229
ˈo	ˈɔ	0.222
ˈɑ	-	0.2
ˈæːɪ̯	-	0.2
ˈaː	ˈuː	0.185
ˈəʊ̯	ˈʊ	0.182
ˈəʊ̯	ˈuː	0.182
ˈəʊ̯	-	0.182
ʦ	t	0.182
s	d	0.176
ˈo	ˈʏ	0.167
ə	ɪ	0.16
ˈɑ	ˈœ	0.15
ˈaː	ˈoː	0.148
d	ɾ	0.143
f	p	0.133
ˈə	-	0.118
ɐ	ə	0.118
s	-	0.118
ˈaː	ˈɔː	0.111
ˈaː	-	0.111
ʀ	ɐ	0.111
ɕ	-	0.105
ˈɑ	ˈɔa̯	0.1
d̥	x_t	0.091
d̥	t	0.091
t	ɾ	0.08
ˈaː	ˈeː	0.074
ˈaː	r_ə	0.074
z	z	0.071
n	ˈœ_n	0.07
d	-	0.057
