Ladin	Occitan	probability
f	f	1.0
k	k	1.0
m	m	1.0
n	n	1.0
o	u	1.0
p	p	1.0
s	s	1.0
ŋ	ŋ	1.0
ɲ	ɲ	1.0
ʒ	ʒ	1.0
ʧ	s	1.0
ˈa	ˈa	1.0
ˈi	ˈi	1.0
b	β	0.101
r	ɾ	0.411
v	β	0.251
a	a	0.212
e	ɾ_e	0.292
j	j	0.572
t	ʧ	0.192
w	β	0.072
ʃ	ʦ	0.132
ˈo	ˈu	0.672
ˈu	ˈy	0.922
a	ɔ	0.693
d	-	0.133
l	-	0.073
w	ɥ	0.773
ɡ	ɣ	0.473
ˈo	ˈy	0.13
ˈɛ	ˈɛ	0.713
d	ð	0.4
i	i	0.544
ʨ	s	0.274
ˈɔ	ˈɔ	0.894
v	-	0.15
w	w	0.155
ˈe	ˈa	0.205
ˈɛ	ˈa	0.145
e	e	0.506
i	-	0.456
v	v	0.6
ʃ	s	0.786
ʨ	k	0.726
ˈɔ	ˈa	0.106
ˈɛ	ˈa_j	0.06
d	d	0.467
e	-	0.187
j	-	0.407
l	l	0.927
ɡ	ɡ	0.527
ˈe	ˈe	0.637
a	-	0.078
r	r	0.58
t	t	0.808
ˈe	ˈɛ	0.158
ˈo	ˈɔ	0.198
ˈu	ˈu	0.078
b	b	0.899
