French	French	probability
ʃ	c	1.0
ɲ	ɲ	1.0
ɥ_i	ˈɔ	1.0
ɥ	ˈu	1.0
ɡ	ɡ	1.0
ɛ_ʁ	e_r	1.0
ɛ_#>	ˈaː_s_#>	1.0
z	-	1.0
w_ɛ̃	ˈo_n	1.0
u_#>	ˈoː_#>	1.0
t_ʁ	s_i	1.0
t_#>	t_e_#>	1.0
p	p	1.0
n_#>	#>	1.0
m	m	1.0
l_ɛ	l_ˈa	1.0
l_#>	l_e_#>	1.0
j_ɛ	ˈiː	1.0
i_ʁ	ˈiː	1.0
f_#>	f_#>	1.0
f	f	1.0
b_#>	b_e_#>	1.0
b	b	1.0
<#_ʁ	<#_r	1.0
<#_t	<#_t	1.0
<#_l	<#_l	1.0
<#_a	<#_a	1.0
ʁ	r	0.873
n	n	0.867
v	v	0.848
<#_n	<#_n	0.818
d	d	0.812
l	l	0.8
k	k	0.792
s	s	0.727
t	t	0.706
ə	e	0.667
ʁ_#>	#>	0.556
ʒ	ʤ	0.538
i	ˈi	0.517
ø	ˈuː_k	0.5
e	ˈaː	0.5
u	ˈo	0.471
ʒ	-	0.462
w_a	ˈe	0.462
w	-	0.455
ʁ_#>	i_#>	0.444
j	j	0.438
#>	e_#>	0.434
a	ˈa	0.414
w_a	ˈeː	0.385
y	ˈu	0.364
ɔ̃	ˈo_ŋ	0.357
o	ˈɛ_l	0.353
ə	a	0.333
ø	-	0.333
<#	<#_v	0.333
a	a	0.31
œ	ˈuː	0.308
œ	ˈoː	0.308
ɔ	w_ˈa	0.3
ɔ	o	0.3
ɑ̃	ˈi_n	0.294
t	s_t	0.294
o	ˈa_l	0.294
ɛ̃	ŋ	0.273
y	ˈuː	0.273
s	ʧ	0.273
e	s	0.25
#>	t_#>	0.248
œ	-	0.231
ɛ̃	ˈi_ŋ	0.227
ɛ̃	ˈa_ŋ	0.227
<#	<#_ʧ	0.222
<#	<#_l	0.222
<#	<#_j	0.222
ɛ	ˈa	0.22
ɔ̃	ˈo_n	0.214
k	k_w	0.208
j	ˈɛ	0.188
d	-	0.188
ɛ̃	ɲ	0.182
y	ˈuː_l	0.182
y	ˈo	0.182
w	ˈu	0.182
w	ˈoː	0.182
w	ˈe	0.182
<#_n	<#_ɲ	0.182
ɑ̃	ˈa_ŋ	0.176
ɑ̃	n	0.176
u	o	0.176
ɛ	ˈɛ	0.171
ɛ	j_ˈɛ	0.171
ø	ˈɔː	0.167
œ	ˈɔ	0.154
w_a	j_ˈo	0.154
ɛ	ˈe	0.146
ɔ̃	ŋ	0.143
ɔ̃	n	0.143
ɔ̃	-	0.143
i	ˈɛ	0.138
i	ˈiː	0.138
i	i	0.138
n	ɲ	0.133
j	l_i	0.125
j	e	0.125
j	-	0.125
e	-	0.125
ɛ	ˈaː	0.122
l	ˈe	0.12
ɑ̃	ˈɛ_n	0.118
ɑ̃	ˈa	0.118
ɑ̃	a_n	0.118
u	ˈɔ_l	0.118
u	w_ˈɛ	0.118
u	u	0.118
o	ˈa	0.118
o	w_ˈɛ	0.118
o	w	0.118
#>	i_#>	0.115
a	i	0.103
a	e	0.103
ɔ	ˈo	0.1
ɔ	w_ˈi	0.1
ɔ	w	0.1
ɔ	-	0.1
ɛ̃	ˈa_n	0.091
v	-	0.091
#>	s_#>	0.088
l	j	0.08
ɛ	j	0.073
ʁ	a_r	0.07
i	-	0.069
a	s	0.069
e	ˈa_d	0.062
e	ˈa	0.062
v	z_v	0.061
