Macedonian	Macedonian	probability
ˈ_ɫ	̂	1.0
ˈ_#>	̂_#>	1.0
ʧ	ʧ	1.0
ʦ	ʦ	1.0
ʣ	z	1.0
ʒ̊	ʒ	1.0
ʒ	ʒ	1.0
ʃ	ʃ	1.0
ɾ	r	1.0
ɲ	ɲ	1.0
ɫ_o	l_o	1.0
ɡ̊_#>	ɡ_#>	1.0
ɡ	ɡ	1.0
ɟ	d	1.0
ɛ_n	a_n	1.0
z̥	-	1.0
z	z	1.0
x	x	1.0
v_a	x_a	1.0
u_m	a_m	1.0
s	s	1.0
r_#>	r_#>	1.0
r	r	1.0
p	p	1.0
o_k	a_k	1.0
o_#>	o_#>	1.0
n	n	1.0
m	m	1.0
f_#>	ʋ_#>	1.0
f	x	1.0
d̥_#>	d_#>	1.0
d	d	1.0
c	ʨ	1.0
b̥	b	1.0
b	b	1.0
a_r	a_r	1.0
<#_v	<#_ʋ	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
<#_o	<#_o	1.0
<#_n	<#_n	1.0
<#_j	<#_j	1.0
<#_d	<#_d	1.0
<#	<#_j	1.0
k	k	0.963
t	t	0.92
ɫ	l	0.765
a	a	0.756
u	uː	0.7
r̩	r̩	0.667
ˈ	̂	0.65
a_ˈ	a_̂	0.647
i	i	0.636
v	ʋ	0.562
ɛ_#>	e_#>	0.556
ɫ_#>	o_#>	0.5
ɫ_#>	l_#>	0.5
ɔ	o	0.5
ɔ	a	0.5
ɛ	e	0.484
l	l	0.455
ɛ_#>	t_i_#>	0.444
o	o	0.441
v	ʋ_j	0.438
l	ʎ	0.364
i	iː	0.364
a_ˈ	aː_̂	0.353
ˈ	̌	0.35
r̩	r̩ː	0.333
u	u	0.3
o	oː	0.294
ɛ	eː	0.242
l	l_j	0.182
a	uː	0.133
ɫ	ʎ	0.118
ɫ	-	0.118
ɛ	j_eː	0.113
a	aː	0.111
o	uː	0.088
o	u	0.088
o	a	0.088
t	a_t	0.08
ɛ	a	0.065
