Pennsylvania German	Pennsylvania German	probability
ˈɛ_l	l	1.0
ˈuː_#>	#>	1.0
ˈeː_ɑ	ˈiː	1.0
ˈeː_l	ˈɪɛ̯_l	1.0
ˈaː_ɾ	ˈuːə̯	1.0
ˈaː	ˈa_ɐ	1.0
ʦ	t	1.0
ɣ	ɡ	1.0
ɡ̊	x	1.0
ə_#>	#>	1.0
ŋ	ŋ	1.0
s_ə	t_n	1.0
p	p	1.0
m	m	1.0
l	l	1.0
h	h	1.0
f_ə	p_n	1.0
f_#>	#>	1.0
eː	aɪ̯	1.0
d̥_#>	#>	1.0
d̥	d̥	1.0
d_ɑ	ɐ	1.0
b	b	1.0
<#_n	<#_n	1.0
<#	<#_n	1.0
d	d	0.919
ɑ	ɐ	0.906
n	n	0.875
ɡ	x	0.857
ɾ	r	0.824
ʃ	ʃ	0.806
t	t	0.769
#>	n_#>	0.769
k	k	0.762
ˈuː	ˈoː	0.75
f	f	0.719
ˈaʊ̯	ˈuː	0.7
ʋ	v	0.679
n_ə	n_n	0.667
ˈeː	ˈeː	0.647
ˈɪ	ˈɪ	0.633
ə	n	0.629
ˈa	ˈa	0.594
ˈɛː	-	0.571
ˈoː	ˈɔː	0.571
ˈʊ	ˈʊ	0.556
x	x	0.545
ç	k	0.538
ˈiː	ˈaɪ̯	0.5
ˈaɪ̯	ˈiː	0.5
ɪ	ɪ	0.5
ɪ	-	0.5
j	j	0.5
j	-	0.5
b̥	v	0.5
ç	ç	0.462
s	s	0.45
ˈɛː	ˈɪɛ̯	0.429
ˈoː	ˈaʊ̯	0.429
ˈɛ	ˈɛ	0.389
n_ə	n	0.333
b̥	ʋ	0.333
s	t	0.325
ˈɔ	ˈʊ	0.3
ˈɔ	-	0.3
ˈaʊ̯	ˈʊ	0.3
ˈɛ	ˈɪɛ̯	0.278
ˈɛ	-	0.278
x	k	0.273
ˈɔː	ˈaʊ̯	0.263
ˈɔː	-	0.263
ˈuː	ˈøː	0.25
t	-	0.231
#>	k_#>	0.231
ˈʊ	-	0.222
ˈiː	ˈøː	0.222
ʋ	ʋ	0.214
ˈɔː	ˈɔː	0.211
ˈɔː	ˈa	0.211
ˈɔ	ˈɔ	0.2
ˈɔ	ˈuːə̯	0.2
f	p	0.188
ˈaɪ̯	ˈɪ	0.182
ˈaɪ̯	-	0.182
x	k_ə	0.182
ˈeː	ˈaɪ̯	0.176
ˈeː	n	0.176
ɾ	-	0.176
ˈɪ	-	0.167
ˈiː	-	0.167
b̥	v̥	0.167
ɡ	-	0.143
k	-	0.143
ˈaɪ̯	ˈyː	0.136
ˈɪ	ˈʏ	0.133
ʃ	s	0.129
ˈa	ˈaː	0.125
s	z̥	0.125
ə	-	0.114
ˈʊ	ˈuə̯	0.111
ˈʊ	ˈoː	0.111
ˈiː	ˈiɛ̯	0.111
ʋ	ˈɪə̯	0.107
s	z	0.1
k	ç	0.095
ˈa	ˈɔ	0.094
ɑ	-	0.094
f	-	0.094
ə	ə	0.086
d	t	0.081
ˈɪ	ˈɛ	0.067
ʃ	t	0.065
ˈa	ˈɪ	0.062
ˈa	ˈɛ	0.062
ˈa	-	0.062
n	ˈɪə̯	0.062
n	-	0.062
ə	ɡ_n	0.057
ə	v_n	0.057
ə	m	0.057
ˈɛ	ˈyə̯	0.056
ˈɔː	ˈɒː	0.053
