Phone1	Phone2	Surprisal
b	b	0.0
b̥	v	0.793
b̥	ʋ	2.116
b̥	v̥	2.378
d	d	0.106
d	t	3.818
d_ɑ	ɐ	0.0
d_ə	d_n	0.0
d̥	d̥	0.287
d̥	t	2.97
d̥	-	4.239
eː	aɪ̯_n	0.0
f	f	0.226
f	p	3.604
f	-	3.988
h	h	0.0
j	-	0.641
j	j	1.479
k	k	0.152
k	ç	3.323
l	l	0.0
m	m	0.0
n	n	0.131
n	ˈɪə̯	4.493
n	-	4.56
n_ə	n_n	0.477
n_ə	n	1.83
p	p	0.0
s	s	1.238
s	t	1.489
s	z̥	3.04
s	z	3.349
s_ə	t_n	0.0
t	t	0.0
x	x	0.552
x	k	1.653
ç	k	0.725
ç	ç	1.34
ç_d̥	ç	0.0
ŋ	ŋ	0.0
ɑ	ɐ	0.253
ɑ	-	2.635
ə	n	0.707
ə	-	2.804
ə	ə	3.5
ə	ɡ_n	3.997
ə	m	4.427
ə	v_n	4.427
ɡ	x	0.234
ɡ	-	2.739
ɡ̊	-	0.0
ɣ	ɡ	0.0
ɪ	-	1.0
ɪ	ɪ	1.0
ɾ	r	0.601
ɾ	ɐ	2.716
ɾ	-	2.774
ɾ	r_ˈaɪ̯	4.559
ʃ	ʃ	0.0
ʃ_d̥	s_t	0.0
ʋ	v	0.65
ʋ	ʋ	2.04
ʋ	ˈɪə̯	3.062
ʦ	t	0.0
ˈa	ˈa	0.725
ˈa	-	2.718
ˈa	ˈaː	3.43
ˈa	ˈɪ	3.557
ˈa	ˈɔ	3.934
ˈaɪ̯	ˈiː	0.939
ˈaɪ̯	ˈɪ	2.496
ˈaɪ̯	-	2.552
ˈaɪ̯	ˈyː	2.937
ˈaʊ̯	ˈuː	0.636
ˈaʊ̯	ˈʊ	1.488
ˈaː	ˈa	0.0
ˈaː_ɾ	ˈuːə̯	0.0
ˈeː	ˈeː	0.678
ˈeː	ˈaɪ̯	1.867
ˈeː	n	3.311
ˈeː_l	ˈɪɛ̯_l	0.0
ˈeː_ɑ	ˈiː	0.0
ˈiː	ˈaɪ̯	0.935
ˈiː	ˈøː	2.377
ˈiː	-	2.401
ˈiː	ˈiɛ̯	3.393
ˈoː	ˈɔː	0.686
ˈoː	ˈaʊ̯	1.401
ˈuː	ˈoː	0.418
ˈuː	ˈøː	1.991
ˈɔ	-	1.724
ˈɔ	ˈʊ	1.724
ˈɔ	ˈɔ	2.309
ˈɔ	ˈuːə̯	2.373
ˈɔː	ˈaʊ̯	1.771
ˈɔː	ˈɔː	1.972
ˈɔː	-	2.161
ˈɔː	ˈa	2.426
ˈɔː	ˈɒː	4.558
ˈɛ	ˈɛ	1.201
ˈɛ	ˈɪɛ̯	1.847
ˈɛ	-	2.381
ˈɛ	ˈyə̯	3.397
ˈɛː	-	0.0
ˈɪ	ˈɪ	0.486
ˈɪ	ˈʏ	2.994
ˈɪ	ˈɛ	3.765
ˈɪ	-	3.833
ˈɪ	ˈyːœ̯	5.879
ˈʊ	ˈʊ	0.716
ˈʊ	-	2.226
ˈʊ	ˈoː	3.494
ˈʊ	ˈuə̯	3.494
