Bulgarian	Czech	probability
b	b	1.0
d	d	1.0
i	ˈiː	1.0
j	t	1.0
l	l	1.0
lʲ	l	1.0
m	m	1.0
mʲ	m	1.0
p	p	1.0
s	s	1.0
vʲ	v	1.0
z	z	1.0
ʃ	ʃ	1.0
ʒ	ʒ	1.0
ʧ	ʧ	1.0
ɡ	ɦ	0.951
ɫ	l	0.721
ˈɤ	ˈl̩	0.101
o	ˈo	0.532
ɛ	ˈɛ	0.492
ˈi	ˈɪ	0.632
ˈɛ	ɛ	0.22
f	f	0.713
r	r̝	0.243
r	r	0.573
t	t	0.843
x	x	0.413
ɛ	ɛ	0.383
ˈɔ	ˈuː	0.223
ˈɤ	ˈɛː	0.13
k	k_iː	0.074
v	v	0.94
ɫ	l_iː	0.14
ˈa	ˈɛː	0.064
ˈa	ˈaː	0.074
ˈa	ˈɛ	0.154
ˈɛ	j_ɛ	0.114
ˈɛ	ˈɛ	0.554
ˈɔ	ˈo	0.445
ˈɤ	ˈu	0.395
v	v_j	0.06
ɐ	ɛ	0.246
ɐ	a	0.256
ʦ	<#_j	0.056
ˈa	a	0.36
ˈɔ	ˈɛ	0.066
ˈɔ	o	0.266
f	v_iː	0.287
k	x	0.097
r	r̝̊	0.17
t	c	0.157
x	x_iː	0.587
ʦ	-	0.197
ʦ	ʦ	0.747
ˈɤ	ˈɛ	0.147
o	o	0.468
ɐ	-	0.498
ɛ	iː	0.098
ɫ	-	0.108
ˈa	ˈiː	0.108
ˈa	ˈa	0.198
ˈi	ˈiː	0.078
ˈɛ	-	0.108
k	k	0.809
n	n	0.99
ˈi	ɪ	0.29
ˈɤ	iː_#>	0.059
ˈɤ	t_#>	0.059
ˈɤ	-	0.109
