Neapolitan	Gascon	probability
a	a	1.0
b	b	1.0
d	d	1.0
e	e	1.0
f	h	1.0
mː	m	1.0
sː	-	1.0
tː	t	1.0
ŋ	ŋ	1.0
ɲː	ɲ	1.0
ʎː	ʎ	1.0
ʤː	ʒ	1.0
l	-	0.301
nː	n	0.181
t	w_t	0.051
t	j	0.071
w	ˈa_w	0.401
ɾ	ɾ	0.41
ʃː	j_ʃ	0.61
ˈe	ˈe	0.931
ˈɔ	-	0.051
ˈɛ	ˈe	0.711
j	ʒ	0.102
k	ɣ	0.062
s	s	0.862
t	ð	0.422
u	u	0.612
v	β	0.212
ˈɔ	ˈa_w	0.372
i	e	0.683
n	n	0.903
p	β	0.153
u	-	0.173
ə	e	0.113
ɡ	ɣ	0.103
ʃ	s	0.853
kː	-	0.754
lː	l	0.214
ʃ	-	0.114
ʤ	-	0.84
ˈi	ˈi	0.674
ˈɔ	ˈe	0.074
p	p	0.835
ɾ	-	0.345
ˈa	ˈa	0.95
ˈo	ˈe	0.105
ˈo	ˈu	0.895
ˈɔ	ˈɔ	0.395
j	-	0.166
kː	k	0.246
lː	-	0.786
r	a_r	0.116
t	t	0.456
u	y	0.056
ɾ	r	0.246
ʤ	ʒ	0.16
ˈi	ˈe	0.326
ˈu	ˈy	0.466
i	i	0.077
j	l	0.487
n	-	0.097
r	ɾ	0.657
ə	ɔ	0.347
ɡ	ɡ	0.897
ˈu	-	0.057
ˈɛ	ˈɛ	0.257
m	m	0.958
r	r	0.158
s	z	0.138
u	e	0.158
ˈu	ˈu	0.408
i	-	0.239
j	j	0.19
k	p	0.119
k	k	0.79
l	l	0.679
nː	ŋ	0.819
r	-	0.069
v	-	0.199
v	b	0.589
w	w	0.599
ə	-	0.449
ʃː	s	0.39
ˈe	ˈɛ	0.069
ˈu	u	0.069
ˈɔ	w_ˈe	0.069
