Gallurese	Gallurese	probability
ˈɔ_r	ˈu	1.0
ˈi_l	ˈe_w	1.0
ˈi_#>	ˈi_#>	1.0
ˈe_#>	ˈe_#>	1.0
ˈa_rː	ˈɛ_ʀ	1.0
ˈa_l	ˈa	1.0
ˈa_#>	ˈa_#>	1.0
ʦː	-	1.0
ʦ	s	1.0
ʣ	-	1.0
ʒ	-	1.0
ʃː	j_s	1.0
ɲː_u	ɲ	1.0
ɲː	ɲ	1.0
ɡ_u	k	1.0
ɡ	ɡ	1.0
ɟ	ʤ	1.0
ɖː_u	w	1.0
ɖː_a	l_ɔ	1.0
ɔ	ˈũ	1.0
ŋ	ŋ	1.0
z	-	1.0
w	-	1.0
v	v	1.0
t_a	d_ɔ	1.0
s_i	s_e	1.0
rː	ʀ	1.0
r_u	ʀ	1.0
pː	-	1.0
p_ˈɛ	p_ˈe	1.0
p_a	b	1.0
o	u	1.0
nː	ŋ_d	1.0
n_u	ŋ	1.0
n_t	ŋ	1.0
mː	m	1.0
m	m	1.0
l_u	w	1.0
l_t	ˈe_ʀ	1.0
l_p	ˈe	1.0
kː	k	1.0
fː	-	1.0
f	f	1.0
e	-	1.0
cː_u	j	1.0
cː	j	1.0
c	k_l	1.0
bː	b	1.0
b	b	1.0
a_t	a_d	1.0
a_p	a_b	1.0
<#_ˈo	<#_ɥ	1.0
<#_ˈa	<#_ˈa	1.0
<#_ɡ	<#_ɡ	1.0
<#_t	<#_t	1.0
<#_r	<#_ʀ	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_d	<#_d	1.0
<#_b	<#	1.0
<#_a	<#_a	1.0
<#	<#_a	1.0
p	p	0.933
k	k	0.917
i_#>	#>	0.85
ʧ	s	0.842
r	ɾ	0.8
s	s	0.778
a	ɔ	0.73
u_#>	#>	0.714
d	-	0.714
a_r	ɾ	0.714
t	t	0.696
ˈa	ˈa	0.633
ɟː	-	0.6
ɖː	-	0.6
ˈe	ˈɛ	0.571
sː	ˈe_s	0.5
sː	ʀ	0.5
j	l	0.5
i	e	0.5
ˈu	ˈu	0.467
n	ŋ	0.452
n	n	0.419
ˈɛ	ˈẽ	0.4
ɟː	ʤ	0.4
ɖː	ɾ	0.4
tː	-	0.4
l	l	0.389
u	e	0.368
ˈɔ	w_ˈe	0.343
ˈɔ	w	0.343
ˈɛ	ˈɛ	0.333
ˈu	ˈy	0.333
ˈo	w_ˈe	0.333
tː	t	0.333
l	ʀ	0.333
#>	j_#>	0.333
#>	e_#>	0.333
ˈa	ˈã	0.327
ˈi	ˈi	0.314
a_r	b_ɾ	0.286
l	w	0.278
ˈɛ	ˈe	0.267
tː	ʧ	0.267
ˈo	ˈũ	0.222
ˈo	ˈu	0.222
ˈo	w_ˈẽ	0.222
s	e_s	0.222
t	-	0.217
j	j	0.214
u	u	0.211
ˈi	ˈe	0.2
ˈi	e	0.2
i	i	0.192
i	-	0.192
ˈe	j_ˈe	0.19
a	a	0.175
#>	ˈi_#>	0.167
#>	ʀ_#>	0.167
u_#>	w_#>	0.161
ʧ	z	0.158
i_#>	w_#>	0.15
ˈi	ˈĩ	0.143
ˈe	j	0.143
j	z	0.143
j	-	0.143
d	ʤ	0.143
d	d	0.143
ˈu	ˈũ	0.133
ˈɔ	ˈu	0.114
ˈɔ	ɥ_ˈe	0.114
r	-	0.114
u	ɔ	0.105
u	-	0.105
ˈe	ˈe	0.095
t	d	0.087
ˈɔ	ˈũ	0.086
ˈi	ˈɛ	0.086
r	ʀ	0.086
u	j	0.079
i	ŋ	0.077
u_#>	s_#>	0.071
ˈu	ˈỹ	0.067
p	b	0.067
n	ˈẽ	0.065
n	-	0.065
a	e	0.063
ˈi	-	0.057
u_#>	ˈe_#>	0.054
u	ʤ_e	0.053
u	w	0.053
