Insular North Frisian	Insular North Frisian	probability
ˈʏ_#>	ˈuː_#>	1.0
ˈɛː	ˈɛ	1.0
ˈɛ_t	ˈiː_s	1.0
ˈœ_d_aɪ̯_n	eː	1.0
ˈiː_n	ˈaː	1.0
ˈaʊ̯	ˈaː	1.0
ˈaɪ̯	-	1.0
ʃ	s	1.0
ɡ	ɡ̊	1.0
ɐ	ɐ	1.0
z	z̥	1.0
x_t	d̥	1.0
v	v	1.0
tʲ	-	1.0
tʰ	ʦ	1.0
s_l	ʃ_l	1.0
s_k	ʃ	1.0
r_ə	ɐ	1.0
r	r	1.0
pʰ	b̥͡v̥	1.0
p_#>	f_#>	1.0
p	-	1.0
nʲ	n_d̥	1.0
m	m	1.0
lʲ	l_d̥	1.0
kʰ	ɡ̊	1.0
k_ˈa	ˈa	1.0
k_#>	#>	1.0
h	h	1.0
f	f	1.0
e	-	1.0
d_ˈiː	d̥_ˈiː	1.0
b	b̥	1.0
<#_tʰ	<#_d̥	1.0
<#_n	<#_n	1.0
<#_j	<#	1.0
<#	<#_d̥	1.0
#>	n_#>	1.0
l	l	0.953
d	d̥	0.895
ŋ	ŋ	0.818
n	n	0.771
ə	-	0.643
ɾ	d̥	0.632
s	s	0.628
f_#>	b̥_#>	0.625
ˈøː	-	0.6
ɪ	-	0.6
j	-	0.6
ˈyː	-	0.571
ˈa	ˈɒ	0.545
x	x	0.538
t	d̥	0.514
ˈɔa̯	ˈuː	0.5
ˈoː	ˈaː	0.5
ˈiː	ˈaɪ̯	0.5
ˈœ	-	0.462
ˈuː	ˈɔ	0.444
ˈyː	ˈaɪ̯	0.429
ˈɔː	ˈɒ	0.417
ˈɔː	ˈoː	0.417
k	x	0.417
ˈɪ	ˈɪ	0.409
ˈɪ	ˈaɪ̯	0.409
ˈøː	ˈiː	0.4
ɪ	i	0.4
j	j	0.4
f_#>	#>	0.375
s	ʃ	0.372
ˈʏ	ˈaʊ̯	0.333
ˈuː	ˈɒ	0.333
k	ɡ̊	0.333
x	-	0.308
ˈɔa̯	ˈɒ	0.3
ç	ɡ̊	0.3
ç	ŋ	0.3
ˈɛ	ˈɛ	0.296
ˈeː	-	0.286
ˈʊ	ˈʊ	0.278
ˈa	ˈɛ	0.273
ɾ	ɾ	0.263
ˈɛ	ˈɪ	0.259
ˈɔ	ˈʊ	0.25
ˈɔ	ˈɔ	0.25
ˈɔ	ˈuː	0.25
ˈɔ	-	0.25
ˈoː	ˈuː	0.25
ˈoː	-	0.25
ˈiː	ˈoː	0.25
ˈiː	ˈiː	0.25
k	ç	0.25
ˈœ	ˈʊ	0.231
ˈʏ	ˈɒ	0.222
ˈʊ	ˈɪ	0.222
ˈʊ	ˈuː	0.222
ˈuː	ˈoː	0.222
t	s	0.216
ˈeː	ˈɒ	0.214
ˈeː	ˈiː	0.214
ə	n	0.214
ˈɔa̯	-	0.2
ç	ɡ̊_n	0.2
ç	-	0.2
ˈɛ	ˈiː	0.185
ˈɛ	-	0.185
ˈɪ	ˈiː	0.182
ˈa	ˈoː	0.182
ŋ	ç	0.182
ˈʏ	ˈʊ	0.167
ˈʏ	ˈaɪ̯	0.167
ˈʊ	ˈɒ	0.167
ˈɔː	ˈɔ	0.167
ˈœ	ˈɒ	0.154
ˈœ	ˈuː	0.154
x	ɐ	0.154
ˈeː	ˈɛ	0.143
ˈeː	ˈaː	0.143
ə	ɐ	0.143
n	n_ˈoː	0.114
n	-	0.114
ˈʏ	-	0.111
ˈʊ	ˈɔ	0.111
t	ʦ	0.108
ɾ	d̥_n	0.105
d	z̥	0.105
t	z̥	0.081
ˈɛ	ˈʊ	0.074
t	ʦ_n	0.054
