Štokavian	Slovenian	probability
ʨ	ʧ	1.0
ʦ	ʦ	1.0
ʎ	l	1.0
ʋ	ʋ	1.0
ɲ	n	1.0
ɡ_#>	k_#>	1.0
ɡ	ɡ	1.0
z	z	1.0
x	x	1.0
û	w	1.0
t	t	1.0
s	s	1.0
r̩̂	r	1.0
r̩̂	r	1.0
r	r	1.0
p	p	1.0
ǒ	ɔ̀ː	1.0
ôː	óː	1.0
n	n	1.0
m	m	1.0
l_#>	w_#>	1.0
l	l	1.0
k	k	1.0
j_ěː	èː	1.0
j_e	ɛ	1.0
îː	íː	1.0
î	ìː	1.0
i	i	1.0
ě	ɛ̀ː	1.0
eː	éː	1.0
e_#>	éː_#>	1.0
e	ɛ	1.0
d_#>	t_#>	1.0
d	d	1.0
b_#>	p_#>	1.0
b	b	1.0
ǎː	àː	1.0
âː	áː	1.0
<#_l	<#_l	1.0
ʒ	ʒ	0.714
ê	e	0.6
a	a	0.576
ô	òː	0.571
o	ɔ	0.5
j_ê	éː	0.5
j_ê	èː	0.5
â	àː	0.5
ûː	óː	0.429
ô	o	0.429
a	ə	0.424
ê	éː	0.4
êː	éː	0.375
êː	-	0.375
j	éː	0.364
o	óː	0.312
ʒ	ʃ	0.286
ûː	ɔ́ː_w	0.286
ûː	úː	0.286
j	j	0.273
êː	e	0.25
â	ə́	0.25
â	á	0.25
o	w	0.188
j	èː	0.182
j	-	0.182
