Eastern Lombard	Eastern Lombard	probability
ˈɛ_ŋ	ˈẽ	1.0
ˈɛ_n	ˈẽ	1.0
ˈu_#>	ˈũ_#>	1.0
ˈo_n	ˈũ	1.0
ˈa_ŋ	ˈã	1.0
ˈa_t	ˈɑː	1.0
ˈa_r	ˈɑː_r	1.0
ˈa_n	ˈã	1.0
ˈa_d	ˈɑː_d	1.0
ʋ	v	1.0
ɲ	ɲ	1.0
ɡ	ɡ	1.0
ŋ	-	1.0
ø	-	1.0
y	y	1.0
w	w	1.0
u	-	1.0
s_a	s_a	1.0
r_s	r_s	1.0
r	r	1.0
p	p	1.0
l_s	l_s	1.0
l	l	1.0
k	k	1.0
f	f	1.0
e_n	ẽ	1.0
e_#>	#>	1.0
b	b	1.0
a_s	a_s	1.0
<#_ˈa	<#_ˈa	1.0
<#_r	<#_r	1.0
<#_a	<#_a	1.0
#>	ˈi_#>	1.0
a	a	0.949
m	m	0.941
n	n	0.912
t	t	0.906
<#	<#_v	0.895
d	d	0.889
s	s	0.866
ˈɛ	ˈɛ	0.833
ʧ	ʧ	0.833
j	j	0.818
e	e	0.778
ˈɔ	ˈɔ	0.765
o	u	0.75
ʤ	ʤ	0.714
ˈy	ˈyː	0.667
i	e	0.571
ˈa	ˈa	0.525
z	ʒ	0.5
ˈu	ˈuː	0.444
ˈø	ˈøː	0.44
i	i	0.429
ˈa	ˈɑː	0.373
ˈi	ˈiː	0.357
z	z	0.357
ˈu	ˈu	0.333
ˈo	ˈu	0.3
ˈe	ˈeː	0.296
ʤ	ʒ	0.286
ˈø	ˈyː	0.28
ˈo	ˈɔ	0.25
ˈi	ˈi	0.25
o	-	0.25
ˈe	ˈe	0.222
ˈo	ˈoː	0.2
ˈe	ˈi	0.185
j	-	0.182
ˈi	ˈĩ	0.179
ˈɔ	-	0.176
ˈy	ˈỹ	0.167
ˈy	-	0.167
ʧ	t	0.167
ˈø	ˈœ	0.16
ˈo	ˈuː	0.15
ˈe	ˈẽ	0.148
ˈi	ˈeː	0.143
z	ʤ	0.143
s	ʧ	0.134
ˈø	-	0.12
ˈɛ	ˈeː	0.111
ˈu	ˈyː	0.111
ˈu	ˈũ	0.111
e	i	0.111
e	-	0.111
d	-	0.111
<#	<#_ˈa	0.105
ˈa	ˈã	0.102
ˈo	-	0.1
n	-	0.088
ˈe	ˈiː	0.074
ˈe	-	0.074
ˈi	-	0.071
ˈɔ	ˈo	0.059
m	-	0.059
t	-	0.057
ˈɛ	-	0.056
a	-	0.051
