Campidanese	Emilian	probability
a	a	0.834
a	-	0.144
ă	-	1.0
b	v	0.562
b	b	0.199
b	p	0.088
b	ʤ	0.058
d	d	0.824
d	-	0.176
e	-	0.631
e	e	0.196
e	a	0.068
ĕ	-	1.0
f	f	1.0
i	-	0.79
i	e	0.078
j	-	0.338
j	ʧ	0.297
j	r	0.172
j	j	0.139
j	i	0.055
k	k	0.818
k	ɡ	0.085
k	θ	0.07
l	l	0.716
l	θ	0.219
l	-	0.064
m	m	0.872
m	ŋ	0.096
n	n	0.489
n	-	0.261
n	ŋ	0.194
o	u	0.602
o	-	0.291
o	e	0.107
ŏ	-	1.0
p	p	1.0
r	r	0.762
r	-	0.163
r	j	0.075
s	s	0.683
s	z	0.124
s	-	0.089
s	θ	0.077
t	t	0.826
t	d	0.102
t	θ	0.066
u	-	0.789
ŭ	-	1.0
v	v	0.666
v	b	0.334
w	w	0.831
w	v	0.146
z	-	0.687
z	ð	0.313
ð	d	0.668
ð	-	0.233
ð	t	0.099
ŋ	ŋ	1.0
ɖ	l	0.662
ɖ	-	0.311
ɡ	ɡ	0.883
ɡ	ʤ	0.117
ɣ	-	0.497
ɣ	ɡ	0.328
ɣ	k	0.118
ɲ	ɲ	0.519
ɲ	-	0.481
ʃ	s	0.62
ʃ	-	0.38
ʒ	z	0.944
ʒ	θ	0.056
ʣ	l	0.557
ʣ	-	0.443
ʤ	ð	0.567
ʤ	ɲ	0.328
ʤ	-	0.105
ʦ	θ	0.611
ʦ	t	0.389
ʧ	θ	0.772
ʧ	ʧ	0.228
ˈa	ˈɛ	0.501
ˈa	ˈa	0.24
ˈa	ˈaː	0.208
ˈa	-	0.052
ˈe	ˈɛ	0.242
ˈe	ˈa	0.156
ˈe	ˈiː	0.153
ˈe	-	0.121
ˈe	ˈæ	0.106
ˈe	ˈe	0.084
ˈe	ˈɛː	0.081
ˈi	ˈe	0.355
ˈi	ˈiː	0.169
ˈi	ˈa	0.159
ˈi	ˈa_j	0.12
ˈo	ˈɔː	0.302
ˈo	ˈɔ	0.18
ˈo	ˈo	0.171
ˈo	ˈʌ	0.098
ˈo	ˈʌu̯	0.075
ˈo	ˈuː	0.053
ˈu	ˈo	0.314
ˈu	ˈuː	0.24
ˈu	ˈʌ	0.219
ˈu	ˈʌu̯	0.142
ˈu	ˈɔ	0.066
β	v	0.742
β	b	0.216
