Bellunese	Bellunese	probability
ˈi_r	ˈiː	1.0
ˈe_r	ˈeː	1.0
ˈa_t	ˈa_t	1.0
ˈa_r	ˈaː	1.0
ˈa_#>	ˈaː_t_#>	1.0
ʧ_o	l_i	1.0
ʧ	k_l	1.0
ʤ	u_l	1.0
ɲ	ɲ	1.0
ɡ_o_#>	k_#>	1.0
v_o	f	1.0
u	u	1.0
t	t	1.0
s	s	1.0
r_t	r_t	1.0
r_o	w_r	1.0
p	p	1.0
n_#>	ŋ_#>	1.0
m	m	1.0
l	l	1.0
k_r	k_r	1.0
k_o	k_o	1.0
j_ˈe	ˈiː	1.0
j_#>	j_#>	1.0
f	f	1.0
e_r	i	1.0
b	b	1.0
a_v	a_v	1.0
a_#>	#>	1.0
<#_ˈɔ	<#_v_ˈɔ	1.0
<#_ˈa	<#_ˈa	1.0
<#_r	<#_r	1.0
<#_i	<#_i	1.0
<#_a	<#_a	1.0
<#	<#_j	1.0
d	d	0.923
r	r	0.911
θ	ʧ	0.882
n	n	0.862
ˈi	ˈi	0.85
a	e	0.841
o_#>	#>	0.812
ˈa	ˈa	0.8
v	v	0.778
ɡ	ɡ	0.769
w	-	0.714
ˈu	ˈu	0.7
ð	ʤ	0.667
ŋ	ŋ	0.639
k	c	0.613
z	z	0.556
ˈɛ	j_ˈɛ	0.533
ˈo	ˈo	0.528
i	i	0.5
i	-	0.5
ˈe	ˈe	0.472
j	l	0.462
ˈɔ	ˈɔ	0.4
k	k	0.387
e	i	0.385
ð	-	0.333
j	j	0.308
e	e	0.308
ˈu	ˈuː	0.3
w	w	0.286
o	u	0.286
ŋ	n	0.278
ˈɔ	w_ˈɛ	0.267
o	o	0.238
ˈɛ	ˈɛ	0.233
ɡ	-	0.231
j	-	0.231
z	ʧ	0.222
z	-	0.222
ˈɔ	w_ˈa	0.2
ˈa	ˈaː	0.2
o_#>	r_#>	0.188
ˈo	ˈuː	0.167
ˈo	ˈoː	0.167
ˈe	ˈɛ	0.167
a	a	0.159
e	-	0.154
ˈi	-	0.15
v	-	0.148
o	ˈo	0.143
o	i	0.143
ˈe	ˈeː	0.139
n	ɲ	0.138
ˈɛ	-	0.133
ˈɔ	w	0.133
θ	-	0.118
ˈɛ	j	0.1
o	w	0.095
o	-	0.095
ˈo	w_ˈi	0.083
ˈe	ˈi	0.083
ˈe	-	0.083
ŋ	m	0.083
e	r	0.077
e	a	0.077
d	-	0.077
v	f	0.074
ˈo	w	0.056
ˈe	i	0.056
