Spanish	Portuguese	probability
#>	#>	0.979
<#	<#	0.95
a	ɐ	0.958
b	v	0.539
b	b	0.372
b	-	0.083
b_l	b	0.492
b_o	v	0.492
d	d	1.0
e	ɨ	0.643
e	i	0.212
e	j	0.055
e_n	ẽ	1.0
e_ˈe	ˈe	1.0
f	f	1.0
i	ɨ	0.351
i	i	0.324
i	ĩ	0.276
j	ˈɛ	0.47
j	j	0.282
j	-	0.08
j	ˈɐ̃	0.08
j_ˈe	ˈẽ	1.0
k	k	0.96
l	l	0.5
l	ɫ	0.178
l	-	0.16
l	w	0.073
m	m	0.852
m	-	0.086
n	n	0.4
n	-	0.378
n	ɲ	0.107
n	w̃	0.091
n_#>	#>	1.0
n_e	j̃	1.0
n_o	w̃	1.0
o	u	0.816
o	-	0.109
p	p	0.948
r	ʁ	1.0
s	s	0.455
s	ʃ	0.446
s	-	0.053
t	t	0.929
u	u	0.364
u	i	0.276
w	ˈo	0.532
w	ˈɔ	0.197
w	w	0.148
w	ˈõ	0.08
x	ʎ	0.458
x	ʒ	0.204
x	j_ʎ	0.172
x	ʃ	0.108
ð	ð	0.958
ŋ	ˈĩ	1.0
ŋ_k	k	0.492
ŋ_ɡ	ɲ	0.492
ɟ͡ʝ	ʃ	0.757
ɟ͡ʝ	ʒ	0.136
ɟ͡ʝ	l	0.096
ɡ	ɡ	1.0
ɣ	ɣ	0.935
ɣ	s	0.065
ɲ	ɲ	0.627
ɲ	n	0.371
ɾ	ɾ	0.894
ɾ	-	0.052
ɾ_ˈi	ˈe	1.0
ʝ	l	0.694
ʝ	ʒ	0.154
ʝ	j	0.071
ʝ	ʃ	0.069
ʧ	j_t	0.725
ʧ	t	0.257
ˈa	ˈa	0.747
ˈa	ˈɐ̃	0.14
ˈa	ˈɐ	0.102
ˈa_n	ˈɐ̃	1.0
ˈa_ŋ	ˈɐ̃	0.492
ˈe	-	0.394
ˈe	ˈe	0.282
ˈe	ˈɐ	0.159
ˈe_n	j̃	0.484
ˈe_n	ˈẽ	0.225
ˈe_n	ɲ	0.157
ˈe_s	s	1.0
ˈe_β	v	1.0
ˈe_θ	ʃ	1.0
ˈi	ˈi	0.784
ˈi	ˈe	0.077
ˈi	ˈɛ	0.071
ˈi	ˈĩ	0.052
ˈo	ˈo	0.576
ˈo	ˈɔ	0.187
ˈo	ˈɐ̃	0.065
ˈo	ˈo_j	0.065
ˈo_n	ˈõ	0.492
ˈo_t	ˈɔ	1.0
ˈu	ˈu	0.909
ˈu	ˈo	0.057
ˈu_n	ˈũ	0.699
ˈu_n	ˈõ	0.297
β	v	0.483
β	β	0.415
β	-	0.067
θ	s	0.455
θ	ʃ	0.23
θ	z	0.182
θ	ʒ	0.069
