German	Old Norse	probability
a	ɑ	1.0
b	b	0.704
b	v	0.255
d	θ	0.61
d	ð	0.201
d	-	0.127
d	d	0.062
eː	ɑː	1.0
f	f	0.687
f	p	0.19
f	v	0.069
h	h	0.898
h	ç	0.102
j	ˈɑː	0.904
j	-	0.096
k	ɣ	0.251
k	ɡː	0.209
k	k	0.178
k	ɟː	0.147
k	kː	0.125
k	cː	0.051
kʰ	kʰ	0.924
kʰ	cʰ	0.052
l	l	0.784
l	lː	0.121
m	m	0.881
n	n	0.488
n	nː	0.215
n	-	0.118
n	ɑ	0.112
p	v	0.731
p	f	0.242
p͡f	p	0.809
p͡f	v	0.191
s	t	0.537
s	s	0.415
t	ð	0.513
t	d	0.215
t	-	0.161
t	t	0.098
tʰ	d	0.859
tʰ	θ	0.141
v	v	0.643
v	-	0.221
v	x	0.136
x	tː	0.446
x	k	0.236
x	c	0.148
x	j	0.126
z	s	0.921
z	-	0.062
ç	k	0.341
ç	ɡ	0.225
ç	ɣ	0.19
ç	tː	0.186
ç	s	0.058
ŋ	ŋ	1.0
ɐ	r	0.683
ɐ	i	0.177
ɐ	rː	0.09
ə	ɑ	0.575
ə	-	0.144
ə	a	0.105
ə	i	0.067
ə	ɡ_ɑ	0.05
ɡ	ɡ	0.492
ɡ	ɣ	0.225
ɡ	ɟ	0.203
ɪ	ɑ	0.483
ɪ	u	0.366
ɪ	i	0.151
ʁ	r	0.809
ʁ	r̥	0.081
ʁ	-	0.054
ʃ	s	0.65
ʃ	c	0.261
ʃ	-	0.074
ʦ	tʰ	0.662
ʦ	t	0.213
ʦ	tː	0.095
ˈa	ˈɑ	0.593
ˈa	ˈɑː	0.13
ˈa	ˈa	0.088
ˈa	ˈɔ	0.068
ˈa	ˈu	0.06
ˈaɪ̯	ˈɛi̯	0.459
ˈaɪ̯	ˈiː	0.456
ˈaʊ̯	ˈuː	0.484
ˈaʊ̯	ˈɑu̯	0.206
ˈaʊ̯	ˈɑ	0.064
ˈaʊ̯	ˈøy̯	0.057
ˈaʊ̯	ˈu	0.052
ˈaː	ˈɑ	0.401
ˈaː	ˈɑː	0.171
ˈaː	-	0.138
ˈaː	ˈɔ	0.113
ˈaː	ˈe	0.089
ˈaː	ˈo	0.059
ˈeː	j	0.228
ˈeː	ˈe	0.227
ˈeː	ˈɑ	0.215
ˈeː	ˈiː	0.114
ˈeː	ˈɑː	0.098
ˈeː	ˈɛː	0.07
ˈiː	j_ˈoː	0.273
ˈiː	ˈyː	0.242
ˈiː	j	0.194
ˈiː	ˈeː	0.178
ˈiː	ˈu	0.058
ˈiː	ˈoː	0.056
ˈoː	ˈɑː	0.362
ˈoː	ˈo	0.26
ˈoː	ˈu	0.181
ˈoː	ˈɑu̯	0.096
ˈoː	ˈɒu̯	0.06
ˈuː	ˈoː	0.481
ˈuː	ˈøː	0.193
ˈuː	ˈɔː	0.186
ˈuː	ˈyː	0.113
ˈyː	ˈøː	0.681
ˈyː	ˈy	0.319
ˈøː	ˈo	0.458
ˈøː	ˈøy̯	0.306
ˈøː	ˈɒu̯	0.236
ˈœ	ˈu	0.738
ˈœ	ˈo	0.262
ˈɔ	ˈo	0.439
ˈɔ	ˈu	0.273
ˈɔ	ˈy	0.098
ˈɔ	ˈoː	0.085
ˈɔ	ˈi	0.063
ˈɔʏ̯	ˈɛ	0.286
ˈɔʏ̯	u	0.262
ˈɔʏ̯	ˈyː	0.252
ˈɔʏ̯	ˈu	0.129
ˈɛ	ˈe	0.301
ˈɛ	ˈɛ	0.178
ˈɛ	ˈøː	0.171
ˈɛ	j	0.14
ˈɛ	ˈɑ	0.092
ˈɛ	ˈeː	0.063
ˈɛː	ˈɔ	0.807
ˈɛː	ˈɑː	0.193
ˈɪ	ˈi	0.643
ˈɪ	ˈy	0.122
ˈɪ	ˈe	0.11
ˈʊ	ˈu	0.7
ˈʊ	ˈo	0.241
ˈʏ	ˈu	0.402
ˈʏ	ˈy	0.3
ˈʏ	ˈøː	0.141
ˈʏ	ˈi	0.079
ˈʏ	ˈyː	0.078
