Insular North Frisian	Insular North Frisian	probability
ˈɛː	-	1.0
ˈɛ_ɾ	ˈɪə̯	1.0
ˈuː_n	ˈɑː_n	1.0
ˈa	ˈa	1.0
ɾ_#>	#>	1.0
ɪ_ç	χ	1.0
ɪ	ə	1.0
ə_n	ə	1.0
ə_l	ɫ	1.0
ə_#>	#>	1.0
ɐ_x	r	1.0
ŋ	ŋ	1.0
ç_t	χ	1.0
ç	χ	1.0
z	s	1.0
x_t	d̥	1.0
v	v	1.0
tʲ	d	1.0
tʰ	d	1.0
s_t	s	1.0
s_k	s	1.0
s	s	1.0
r_ˈiː	r_ˈəɪ̯	1.0
p	p	1.0
nʲ	n_d̥	1.0
n_t	n_t	1.0
m	m	1.0
lʲ	ɫ_d̥	1.0
l_ə	ɫ	1.0
kʰ	k	1.0
k	k	1.0
j	j	1.0
h	ɦ	1.0
f	v̥	1.0
e	-	1.0
d_ˈiː	d_ˈi	1.0
b	b	1.0
aɪ̯	i	1.0
<#_ˈɔː	<#_ˈa	1.0
<#_ˈaʊ̯	<#_ˈʊə̯	1.0
<#_tʰ	<#_t	1.0
<#_r	<#_r	1.0
<#_pʰ	<#_p	1.0
<#_j	<#	1.0
<#	<#_v	1.0
r	r	0.909
l	ɫ	0.894
n	n	0.837
ɡ	χ	0.818
d	d	0.8
t	t	0.778
ˈɔː	ˈɑː	0.733
x	χ	0.727
ˈɔa̯	ˈʊə̯	0.7
ə	ə	0.7
ɾ	d̥	0.688
#>	n_#>	0.6
ɐ	r	0.583
ˈoː	ˈʊə̯	0.556
ˈœ	-	0.533
ˈeː	-	0.526
ˈøː	ˈɪø̯	0.5
ˈøː	ˈu	0.5
ˈaɪ̯	χ	0.5
ˈaɪ̯	-	0.5
ʃ	s_k	0.5
ʃ	s	0.5
ˈɔ	ˈɔ	0.455
ˈoː	-	0.444
ˈʏ	ˈœɪ̯	0.429
ˈuː	ˈʊə̯_r	0.429
#>	ə_#>	0.4
ˈɪ	ˈə	0.385
ˈyː	ˈyː	0.375
ˈyː	-	0.375
ˈeː	ˈɪə̯	0.368
ˈʊ	ˈɔ	0.353
ˈɪ	ˈəɪ̯	0.346
ˈœ	ˈɔ	0.333
ɐ	ə_r	0.333
ˈiː	ˈɪə̯	0.312
ˈiː	ˈi	0.312
ə	-	0.3
ˈuː	ˈʊə̯	0.286
ˈuː	ˈœu̯	0.286
ˈɔ	ˈu	0.273
ˈɔ	-	0.273
x	r	0.273
ˈɔː	-	0.267
ˈyː	ˈœɪ̯	0.25
ˈʊ	ˈə	0.235
ˈɛ	ˈə	0.231
ˈɔa̯	-	0.2
d	t	0.2
ˈɛ	-	0.192
ˈʏ	ˈɔ	0.19
ˈʏ	-	0.19
ɾ	d_ə	0.188
ɡ	-	0.182
ˈʊ	ˈu	0.176
ˈɪ	-	0.154
ˈɛ	ˈœ	0.154
ˈœ	ˈa	0.133
ˈiː	ˈɛː	0.125
ˈiː	ˈəɪ̯	0.125
ˈiː	ˈɑː	0.125
ɾ	-	0.125
ˈʊ	ˈa	0.118
ˈʊ	-	0.118
ˈɪ	ˈi	0.115
ˈɛ	ˈɛ	0.115
ˈɛ	ˈa	0.115
t	d̥	0.111
t	-	0.111
ˈeː	ˈi	0.105
ˈɔa̯	ˈoː	0.1
ˈʏ	ˈœ	0.095
ˈʏ	ˈa	0.095
r	r_ˈʊə̯	0.091
ɐ	ə	0.083
n	ŋ	0.082
n	n_d	0.082
ˈɛ	ˈu	0.077
ˈɛ	ˈi	0.077
l	ɫ_ˈi	0.064
