Swiss German	Luxembourgish	probability
b̥	b	0.657
b̥	v	0.164
b̥	f	0.132
b̥	-	0.046
d̥	d	0.48
d̥	t	0.359
d̥	-	0.156
f	f	0.985
f	v	0.031
fː	f	0.489
h	h	0.903
h	-	0.094
i	ə	0.78
i	e	0.095
i	-	0.064
j	j	1.0
k	k	1.0
l	l	0.976
l	n	0.03
m	m	1.0
mː	m	0.489
n	n	0.817
n	-	0.096
n	ŋ	0.079
nː	n	0.489
p	p	1.0
p͡f	p	0.561
p͡f	f	0.274
r	ʀ	0.487
r	ɐ	0.255
r	-	0.253
rː	ɐ	0.239
s	s	0.525
s	z	0.425
s	t	0.047
sː	s	1.0
t	t	0.648
t	d	0.288
t	-	0.059
tː	d	0.239
w	ə	0.239
ŋ	ŋ	0.761
ŋ	n_t	0.232
ə	ə	0.466
ə	-	0.287
ə	ɐ	0.242
ɡ̊	ɡ	0.432
ɡ̊	-	0.303
ɡ̊	ɕ	0.118
ɡ̊	k	0.046
ɡ̊	t	0.04
ɡ̊_l	l	1.0
ɡ̊_ɡ̊	k	1.0
ʃ	ʃ	0.954
ʃ	z	0.046
ʃː	ʃ	0.489
ʋ	v	0.676
ʋ	w	0.255
ʋ	-	0.06
ʦ	ʦ	1.0
ˈa	ˈaː	0.506
ˈa	ˈɑ	0.467
ˈau̯	ˈaː	1.0
ˈe	ˈɛ	0.467
ˈe	ˈeː	0.163
ˈe	ˈɛː	0.163
ˈe	ˈɑ	0.064
ˈei̯	ˈeː	0.441
ˈei̯	ˈeː_n	0.384
ˈei̯	ˈæːɪ̯	0.105
ˈeː	ˈəɪ̯	0.794
ˈeː	ˈi	0.161
ˈi	ˈɑ	0.398
ˈi	ˈə	0.294
ˈi	ˈiː	0.164
ˈi	ˈe	0.081
ˈi	ˈi	0.053
ˈiə̯	ˈəɪ̯	0.441
ˈiə̯	ˈiː	0.301
ˈiə̯	ˈɑɪ̯	0.228
ˈiː	ˈæːɪ̯	0.574
ˈiː	ˈæɪ̯	0.287
ˈiː	ˈɑɪ̯	0.115
ˈo	ˈo	0.414
ˈo	ˈaː	0.155
ˈo	ˈu	0.135
ˈo	ˈɑ	0.089
ˈo	ˈəʊ̯	0.068
ˈou̯	ˈaː	0.794
ˈou̯	ˈɑ	0.161
ˈoː	ˈəʊ̯	0.547
ˈoː	ˈoː	0.167
ˈoː	ˈəɪ̯	0.127
ˈoː	ˈuː	0.089
ˈoː	ˈuə̯	0.051
ˈu	ˈo	0.314
ˈu	ˈuː	0.258
ˈu	ˈe	0.191
ˈu	ˈɔ	0.081
ˈu	ˈu	0.064
ˈuə̯	ˈu	0.404
ˈuə̯	ˈʊ	0.292
ˈuə̯	ˈəʊ̯	0.254
ˈuː	ˈæːʊ̯	0.761
ˈuː	ˈɔ_n	0.132
ˈuː	ˈɔ	0.095
ˈy	ˈə	0.614
ˈy	ˈi	0.114
ˈy	ˈɑ	0.11
ˈy	ˈəɪ̯	0.11
ˈyə̯	ˈe	0.361
ˈyə̯	ˈəɪ̯	0.233
ˈyə̯	ˈʊ	0.22
ˈyː	ˈəɪ̯	0.314
ˈyː	ˈɑɪ̯	0.18
ˈyː	ˈæːɪ̯	0.166
ˈyː	ˈi	0.145
ˈyː	ˈe	0.095
ˈæ	ˈiə̯	0.279
ˈæ	ˈæ	0.123
ˈæ	ˈɛː	0.107
ˈæ	ˈiː	0.093
ˈæ	ˈɛ	0.081
ˈæi̯	ˈeː	1.0
ˈæː	ˈe	0.229
ˈæː	ˈi	0.229
ˈæː	ˈeː	0.147
ˈæː	ˈəɪ̯	0.147
ˈæː	ˈɛː	0.147
ˈø	ˈə	0.58
ˈø	ˈaː	0.203
ˈø	ˈiə̯	0.075
ˈøi̯	ˈeː	0.561
ˈøi̯	ˈɑɪ̯	0.425
ˈøː	ˈəɪ̯	0.37
ˈøː	ˈi	0.126
ˈɒ	ˈaː	0.437
ˈɒ	ˈɑ	0.257
ˈɒ	ˈuə̯	0.18
ˈɒ	ˈæ	0.065
ˈɒ	ˈoː	0.054
ˈɒ_r	ˈaː	1.0
ˈɒː	ˈoː	0.355
ˈɒː	ˈaː	0.22
ˈɒː	ˈu	0.141
ˈɒː	ˈɑ	0.123
ˈɒː	ˈəɪ̯	0.081
ˈɛi̯	ˈeː	0.784
ˈɛi̯	ˈɛ	0.123
χ	ɕ	0.361
χ	kʰ	0.336
χ	χ	0.169
χ	-	0.058
χ	k	0.039
