Swiss German	Luxembourgish	probability
b̥	b	0.644
b̥	f	0.154
b̥	v	0.152
d̥	d	0.519
d̥	t	0.303
d̥	-	0.178
f	f	0.88
f	ə_f	0.094
fː	f	1.0
h	h	0.894
h	-	0.106
i	ə	0.798
i	e	0.202
j	j	1.0
k	k	0.693
k	kʰ	0.307
kː	k	1.0
l	l	0.985
m	m	1.0
mː	m	1.0
n	n	0.894
n	ŋ	0.106
nː	n	1.0
p	p	1.0
p͡f	f	0.603
p͡f	p	0.397
r	ɐ	0.551
r	ʀ	0.408
rː	ɐ	1.0
s	z	0.517
s	s	0.425
s	t	0.059
sː	s	1.0
t	t	0.614
t	d	0.386
tː	d	1.0
w	ə	1.0
æ	e	1.0
ŋ	ŋ	0.722
ŋ	n	0.278
ə	ə	0.693
ə	-	0.307
ɡ̊	ɡ	0.389
ɡ̊	-	0.328
ɡ̊	ɕ	0.189
ɡ̊	k	0.062
ɡ̊ː	k	0.863
ɡ̊ː	-	0.137
ʃ	ʃ	0.976
ʃː	ʃ	1.0
ʋ	v	0.696
ʋ	w	0.263
ʦ	ʦ	1.0
ˈau̯	ˈaː	1.0
ˈe	ˈɛː	0.359
ˈe	ˈɛ	0.232
ˈe	ˈɑ	0.222
ˈe	ˈeː	0.187
ˈei̯	ˈeː	0.836
ˈei̯	ˈæːɪ̯	0.164
ˈeː	ˈɜɪ̯	0.678
ˈeː	ˈiː	0.27
ˈeː	ˈi	0.052
ˈi	ˈɑ	0.571
ˈi	ˈə	0.165
ˈi	ˈiː	0.14
ˈi	ˈe	0.073
ˈiə̯	ˈɜɪ̯	0.641
ˈiə̯	ˈiː	0.207
ˈiə̯	ˈɑɪ̯	0.152
ˈiː	ˈæːɪ̯	0.834
ˈiː	ˈɜɪ̯	0.095
ˈiː	ˈɑɪ̯	0.071
ˈo	ˈo	0.353
ˈo	ˈaː	0.262
ˈo	ˈu	0.124
ˈo	ˈəʊ̯	0.077
ˈo	ˈɑ	0.071
ˈo	ˈuə̯	0.057
ˈo	-	0.056
ˈou̯	ˈaː	1.0
ˈoː	ˈəʊ̯	0.615
ˈoː	ˈoː	0.149
ˈoː	ˈuː	0.148
ˈu	ˈo	0.413
ˈu	ˈuː	0.264
ˈu	ˈɔ	0.111
ˈu	ˈu	0.067
ˈu	ˈe	0.055
ˈuə̯	ˈu	0.384
ˈuə̯	ˈʊ	0.279
ˈuə̯	ˈəʊ̯	0.231
ˈuə̯	ˈi	0.065
ˈuː	ˈɑʊ̯	0.493
ˈuː	ˈæːʊ̯	0.427
ˈuː	ˈɔ	0.08
ˈy	ˈə	0.528
ˈy	ˈiː	0.151
ˈy	ˈe	0.101
ˈy	ˈi	0.086
ˈy	ˈɑ	0.077
ˈy	ˈɜɪ̯	0.058
ˈyə̯	ˈe	0.383
ˈyə̯	ˈɜɪ̯	0.317
ˈyə̯	ˈʊ	0.182
ˈyə̯	ˈu	0.118
ˈyː	ˈɜɪ̯	0.331
ˈyː	ˈɑɪ̯	0.309
ˈyː	ˈe	0.132
ˈyː	ˈi	0.112
ˈyː	ˈæːɪ̯	0.077
ˈæ	ˈæ	0.228
ˈæ	ˈɛː	0.192
ˈæ	ˈiː	0.166
ˈæ	ˈiə̯	0.139
ˈæ	ˈaː	0.083
ˈæ	ˈə	0.075
ˈæ	ˈɛ	0.053
ˈæi̯	ˈeː	1.0
ˈæː	ˈɜɪ̯	0.312
ˈæː	ˈe	0.224
ˈæː	ˈɛː	0.18
ˈæː	ˈeː	0.163
ˈæː	ˈi	0.121
ˈø	ˈə	0.725
ˈø	ˈiə̯	0.181
ˈø	ˈaː	0.094
ˈøi̯	ˈɑɪ̯	0.59
ˈøi̯	ˈeː	0.41
ˈøː	ˈi	0.575
ˈøː	ˈɜɪ̯	0.425
ˈɒ	ˈaː	0.491
ˈɒ	ˈɑ	0.367
ˈɒ	ˈuə̯	0.064
ˈɒː	ˈoː	0.47
ˈɒː	ˈaː	0.225
ˈɒː	ˈu	0.136
ˈɒː	ˈɑ	0.101
ˈɛi̯	ˈeː	0.553
ˈɛi̯	ˈɛ	0.447
χ	ɕ	0.452
χ	kʰ	0.383
χ	χ	0.108
