Friulian	Italian	probability
a	a	0.583
a	-	0.167
a	a_ʧ	0.051
a	e	0.051
a	u	0.051
a	ˈa	0.051
aː	-	0.269
b	b	1.0
c	k	0.848
c	t	0.1
c	-	0.053
d	d	0.687
d	t	0.311
e	a	0.766
e	e	0.087
f	f	0.751
f	v_e	0.131
f	v_o	0.069
f	p	0.058
i	i	0.243
i	o	0.235
i	e	0.212
i	r_e	0.097
i	e_r	0.069
i	a	0.057
i	-	0.054
j	ˈɛ	0.389
j	-	0.291
j	ʎ	0.092
j	l	0.086
j	j	0.08
k	k	0.723
k	k_o	0.175
k	ɡ_o	0.058
l	l	0.521
l	j	0.233
l	l_o	0.172
m	m	0.925
n	n	0.718
n	n_o	0.148
o	o	0.772
o	e	0.078
o	ˈo	0.078
o	ˈu	0.078
p	p	1.0
r	r	0.925
s	s	0.602
s	-	0.183
s	ʧ_e	0.06
s	ʧ	0.058
t	t	0.622
t	t_e	0.122
t	t_o	0.11
t	d_e	0.072
u	o	0.477
u	u	0.223
u	e	0.109
u	-	0.09
u	i	0.09
v	v	0.609
v	-	0.173
v	p	0.134
v_j	v	1.0
w	w	0.333
w	ˈɔ	0.312
w	ˈo	0.138
w	o	0.109
w	-	0.093
w_ˈa	ˈɔ	1.0
z	z	0.491
z	-	0.245
z	ʤ	0.103
z	ʦ	0.103
ŋ	ŋ	0.571
ŋ	-	0.334
ŋ	n	0.089
ɟ	ɡ	0.519
ɡ	ɡ	0.61
ɡ	k	0.267
ɡ	ʤ	0.075
ɡ	-	0.056
ɲ	n	0.542
ɲ	ɲ	0.451
ʤ	ʤ	0.736
ʤ	ɲ	0.132
ʤ	ʧ	0.132
ʧ	ʧ	0.59
ʧ	-	0.114
ʧ	ʦ	0.097
ʧ	k	0.085
ʧ	ʣ	0.056
ˈa	ˈa	0.883
ˈa	ˈa_d	0.052
ˈa_w	ˈɔ	1.0
ˈaː	ˈa_r	0.491
ˈaː	ˈa	0.433
ˈe	ˈe	0.659
ˈe	ˈɛ	0.1
ˈe	ˈe_k	0.076
ˈe	ˈɔ	0.05
ˈeː	ˈe	0.574
ˈeː	ˈe_r	0.284
ˈeː	ˈi	0.087
ˈeː	j	0.051
ˈi	ˈi	0.668
ˈi	ˈɛ	0.151
ˈi	ˈɔ	0.078
ˈiː	ˈɛ	0.511
ˈiː	ˈi_r	0.291
ˈiː	ˈi	0.16
ˈo	ˈo	0.809
ˈo	ˈu	0.084
ˈo	ˈe	0.057
ˈo	o	0.051
ˈoː	ˈo	0.647
ˈoː	ˈo_j	0.224
ˈoː	ˈɔ	0.086
ˈu	ˈu	0.83
ˈu	ˈe	0.065
ˈu	ˈo	0.059
ˈu	ˈɔ	0.058
ˈuː	ˈu	0.602
ˈuː	w	0.24
ˈuː	ˈɔ	0.127
ˈɔ	ˈɔ	0.463
ˈɔ	ˈɔ_k	0.202
ˈɔ	ˈo	0.13
ˈɔ	a	0.075
ˈɔ	-	0.065
ˈɔ	ˈu	0.055
ˈɔː	ˈɔ	1.0
ˈɛ	ˈɛ	0.515
ˈɛ	l	0.275
ˈɛ	-	0.103
ˈɛ	ˈe	0.056
ˈɛ_s	s	1.0
ˈɛː	r	0.574
ˈɛː	-	0.298
