Russian	Upper Sorbian	probability
ˈɵ	ˈɔ	1.0
ˈɨ	ˈɪ	1.0
ˈu	ˈu	1.0
ˈi	ˈi	1.0
ʦ	ʦ	1.0
ʐ	ʒ	1.0
ʊ	ˈu	1.0
ʂ	ʃ	1.0
ɪ_j	i	1.0
ɨ_j	ɪ	1.0
ɡ	ɦ	1.0
zʲ	z	1.0
z	z	1.0
x	x	1.0
vʲ	ɥ	1.0
v	β	1.0
tʲ	ʧ	1.0
t	t	1.0
sʲ	s	1.0
s	s	1.0
rʲ	ʀʲ	1.0
r	ʀ	1.0
pʲ_ˈe	p_ˈɔ	1.0
p	p	1.0
nʲ	ɲ	1.0
n	n	1.0
m	m	1.0
lʲ	l	1.0
kʲ	kʲ	1.0
k_ɐ	k	1.0
j	j	1.0
dʲ	ʤ	1.0
d	d	1.0
bʲ	bʲ	1.0
#>	ɔ_#>	1.0
ɫ	w	0.85
k	k	0.8
ɐ	ˈɔ	0.667
pʲ	pʲ	0.667
ˈa	a	0.632
mʲ	mʲ	0.625
ˈe	ˈe	0.6
ʨ	ʧ	0.6
ˈo	ˈɔ	0.522
ə	ɔ	0.476
ʨ	ʦ	0.4
mʲ	m	0.375
ˈa	ˈa	0.368
ˈo	ˈo	0.348
pʲ	p	0.333
ɪ	ˈɛ	0.294
ə	a	0.286
ɪ	ɛ	0.235
k	x	0.2
ɪ	ˈe	0.176
ɪ	ˈa	0.176
ɐ	ɔ	0.167
ɐ	-	0.167
ˈe	ˈɛ	0.15
ˈe	e	0.15
ɫ	l	0.15
ə	-	0.143
ˈo	ˈɛ	0.13
ɪ	ˈɔ	0.118
ˈe	ɛ	0.1
ə	ˈo	0.095
