Limburgish	Swabian	probability
b	b	0.898
b	-	0.102
d	d	1.0
f	b	0.645
f	f	0.227
f	l_b	0.128
j	-	0.655
j	j	0.15
j	l	0.147
k	kʰ	0.395
k	ɡ	0.29
k	ç	0.171
k	t	0.07
k	x	0.07
l	l	1.0
m	m	1.0
n	n	0.83
n	-	0.158
p	f	0.735
p	b̥	0.116
p	b̥͡f	0.11
s	ʃ	0.533
s	s	0.467
t	d	0.413
t	s	0.317
t	ʦ	0.206
v	f	0.755
v	b	0.189
v	-	0.056
w	l	1.0
x	ɡ	0.55
x	x	0.331
x	ç	0.12
z	s	0.704
z	ʃ	0.296
ŋ	ŋ	0.783
ŋ	ɡ	0.217
ə	a	0.433
ə	ʌ	0.364
ə	-	0.124
ɡ	ɡ	1.0
ɣ	ɡ	0.919
ɣ	-	0.081
ɦ	h	0.965
ɪ	i	0.5
ɪ	ɪ	0.5
ɪː	ˈe	1.0
ʀ	ʁ	0.454
ʀ	ʕ	0.249
ʀ	d_ʌ	0.101
ʀ	ʌ	0.101
ʀ	-	0.077
ʃ	ʃ	1.0
ʦ	ʃ	1.0
ˈaː	ˈa	0.684
ˈaː	ˈaː	0.162
ˈaː	ˈɔː	0.135
ˈeː	ˈɛː	0.261
ˈeː	ˈi	0.234
ˈeː	ˈɛ	0.228
ˈeː	ˈiː	0.109
ˈeː	ˈiə̯	0.084
ˈi	ˈeː	0.334
ˈi	ˈɛː	0.208
ˈi	ˈeə̯	0.189
ˈi	ˈi	0.127
ˈi	ˈəi̯	0.084
ˈi	ˈɔe̯	0.058
ˈiː	ˈəi̯	0.698
ˈiː	ˈeː	0.12
ˈiː	ˈiː	0.092
ˈiː	ˈɛ	0.091
ˈoː	ˈuə̯	0.365
ˈoː	ˈoː	0.348
ˈoː	ˈu	0.287
ˈu	ˈoː	0.501
ˈu	ˈeː	0.33
ˈu	ˈao̯	0.169
ˈuː	ˈao̯	0.819
ˈuː	ˈoː	0.123
ˈuː	ˈuː	0.058
ˈv	f	1.0
ˈyː	ˈeː	0.5
ˈyː	ˈəi̯	0.5
ˈæ	ˈɛ	0.469
ˈæ	ˈe	0.454
ˈæ	ˈa	0.077
ˈæː	ˈʌ	0.516
ˈæː	ˈa	0.484
ˈøː	ˈiə̯	0.244
ˈøː	ˈi	0.144
ˈøː	ˈuə̯	0.14
ˈøː	ˈəi̯	0.139
ˈøː	ˈeə̯	0.139
ˈøː	ˈeː	0.139
ˈøː	ˈiː	0.055
ˈœ	ˈu	0.579
ˈœ	ˈa	0.234
ˈœ	ˈao̯	0.132
ˈœ	ˈɔ	0.055
ˈœi̯	ˈae̯	0.793
ˈœi̯	ˈəi̯	0.207
ˈɑ	ˈa	0.741
ˈɑ	ˈe	0.136
ˈɑ	ˈɛ	0.088
ˈɑː	ˈa	0.972
ˈɒː	ˈɔː	0.628
ˈɒː	ˈɛː	0.156
ˈɒː	ˈo	0.092
ˈɒː	ˈoː	0.08
ˈɔ	ˈɔ	0.395
ˈɔ	ˈo	0.276
ˈɔ	ˈɔə̯	0.248
ˈɔ	ˈu	0.052
ˈɔu̯	ˈao̯	1.0
ˈɔː	ˈo	0.523
ˈɔː	ˈao̯	0.415
ˈɔː	ˈoː	0.062
ˈɛ	ˈi	0.388
ˈɛ	ˈaː	0.162
ˈɛ	ˈəi̯	0.145
ˈɛ	ˈɛ	0.116
ˈɛ	ˈe	0.102
ˈɛ	ˈɪ	0.087
ˈɛi̯	ˈae̯	1.0
ˈɛː	ˈɔe̯	0.708
ˈɛː	ˈʌ	0.108
ˈɛː	ˈae̯	0.092
ˈɛː	ˈi	0.092
ˈɛːi̯	ˈɔe̯	1.0
ˈɪ	ˈi	0.465
ˈɪ	ˈɛ	0.331
ˈɪ	ˈəi̯	0.203
ˈɪː	ˈɪ	0.457
ˈɪː	ˈe	0.223
ˈɪː	ˈa	0.16
ˈɪː	ˈeː	0.16
ˈʊ	ˈo	1.0
ˈʊː	ˈo	0.41
ˈʊː	ˈɔ	0.234
ˈʊː	ˈaː	0.102
ˈʊː	-	0.093
ˈʊː	ˈoː	0.051
ˈʏ	ˈe	1.0
ˈʏː	ˈae̯	0.501
ˈʏː	ˈo	0.323
ˈʏː	ˈɛ	0.176
β	ʋ	0.981
