Limburgish	Swabian	probability
b	b	0.885
b	-	0.109
d	d	1.0
f	b	0.715
f	f	0.197
j	-	0.578
j	l	0.203
j	j	0.139
j	ə	0.055
k	kʰ	0.361
k	ɡ	0.229
k	-	0.168
k	ç	0.092
k	x	0.088
l	l	0.948
l	l_e	0.051
l_ə	l	1.0
m	m	1.0
n	n	0.667
n	-	0.29
n	l	0.034
p	f	0.663
p	b̥͡f	0.12
p	p͡f	0.12
p	b̥	0.089
s	ʃ	0.565
s	s	0.431
t	d	0.443
t	s	0.258
t	ʦ	0.227
t	-	0.039
t	t	0.037
v	f	0.802
v	b	0.193
w	l	1.0
x	x	0.403
x	ɡ	0.369
x	-	0.123
x	ç	0.077
z	s	0.731
z	ʃ	0.259
ŋ	ŋ	0.845
ŋ	ɡ	0.146
ə	a	0.806
ə	-	0.083
ə	ʌ	0.035
ə	ɪ	0.035
ə	ɐ	0.035
ə_f	f	1.0
ə_k	ç	0.491
ə_l	l	1.0
ə_x	ɡ	1.0
ə_ʀ	ʌ	1.0
ɡ	ɡ	1.0
ɣ	ɡ	0.972
ɣ	-	0.041
ɦ	h	1.0
ɪ	ɪ	0.324
ɪ	i	0.324
ɪː	ˈe	1.0
ʀ	ʁ	0.579
ʀ	ʕ	0.241
ʀ	d_ʌ	0.07
ʀ	ʌ	0.043
ʀ	-	0.042
ʀ_ə	ʕ	1.0
ʃ	ʃ	1.0
ʦ	ʃ	0.241
ˈaː	ˈa	0.638
ˈaː	ˈaː	0.263
ˈaː	ˈɔː	0.078
ˈaː	ˈɛ	0.035
ˈeː	ˈɛː	0.261
ˈeː	ˈɛ	0.234
ˈeː	ˈiə̯	0.151
ˈeː	ˈi	0.103
ˈeː	ˈiː	0.095
ˈi	ˈi	0.246
ˈi	ˈeː	0.246
ˈi	ˈɛː	0.163
ˈi	ˈeə̯	0.11
ˈi	ˈəi̯	0.083
ˈiː	ˈəi̯	0.724
ˈiː	ˈɛ	0.098
ˈiː	ˈiː	0.071
ˈiː	ˈeː	0.071
ˈoː	ˈoː	0.432
ˈoː	ˈuə̯	0.339
ˈoː	ˈu	0.194
ˈu	ˈoː	0.591
ˈu	ˈao̯	0.202
ˈu	ˈeː	0.202
ˈuː	ˈao̯	0.761
ˈuː	ˈoː	0.108
ˈuː	ˈuː	0.104
ˈv	f	1.0
ˈyː	ˈəi̯	0.282
ˈyː	ˈeː	0.282
ˈyː	ˈɔ	0.09
ˈæ	ˈɛ	0.561
ˈæ	ˈe	0.37
ˈæ	ˈa	0.044
ˈæː	ˈa	0.608
ˈæː	ˈʌ	0.26
ˈøː	ˈiə̯	0.224
ˈøː	ˈiː	0.148
ˈøː	ˈi	0.148
ˈøː	ˈuə̯	0.107
ˈøː	ˈəi̯	0.104
ˈœ	ˈu	0.45
ˈœ	ˈao̯	0.297
ˈœ	ˈa	0.182
ˈœi̯	ˈae̯	0.654
ˈœi̯	ˈəi̯	0.339
ˈɑ	ˈa	0.739
ˈɑ	ˈe	0.107
ˈɑ	ˈɛ	0.082
ˈɑ	ˈaː	0.062
ˈɑː	ˈa	0.582
ˈɑː	ˈaː	0.148
ˈɑː	ˈɛ	0.066
ˈɒː	ˈɔː	0.648
ˈɒː	ˈoː	0.118
ˈɒː	ˈɛː	0.085
ˈɒː	ˈaː	0.065
ˈɒː	ˈo	0.065
ˈɔ	ˈɔ	0.384
ˈɔ	ˈo	0.342
ˈɔ	ˈɔə̯	0.127
ˈɔ	ˈu	0.068
ˈɔu̯	ˈao̯	0.491
ˈɔː	ˈo	0.548
ˈɔː	ˈao̯	0.361
ˈɔː	ˈoː	0.047
ˈɛ	ˈi	0.272
ˈɛ	ˈaː	0.206
ˈɛ	ˈe	0.133
ˈɛ	ˈɛ	0.133
ˈɛ	ˈəi̯	0.086
ˈɛi̯	ˈae̯	1.0
ˈɛː	ˈɔe̯	0.515
ˈɛː	ˈae̯	0.15
ˈɛː	ˈi	0.145
ˈɛː	ˈʌ	0.099
ˈɛː_n	ˈɔe̯	1.0
ˈɛːi̯	ˈɔe̯	1.0
ˈɪ	ˈi	0.477
ˈɪ	ˈəi̯	0.221
ˈɪ	ˈɛ	0.125
ˈɪː	ˈɪ	0.422
ˈɪː	ˈe	0.257
ˈɪː	ˈa	0.147
ˈɪː	ˈeː	0.147
ˈʊ	ˈo	0.241
ˈʊː	ˈo	0.291
ˈʊː	ˈuə̯	0.22
ˈʊː	ˈɔ	0.131
ˈʊː	ˈao̯	0.086
ˈʊː	ˈaː	0.086
ˈʏ	ˈe	0.491
ˈʏː	ˈae̯	0.333
ˈʏː	ˈo	0.333
ˈʏː	ˈɛ	0.333
β	ʋ	1.0
