Old Prussian	Macedonian	probability
ɡ_i	ɡ̊	1.0
ɡ	ɡ	1.0
ŋ	a	1.0
w	v_ɛ	1.0
v	v	1.0
uː	i	1.0
u_s	u_v	1.0
r_i	r	1.0
oːu̯	i	1.0
n_t	t	1.0
j	-	1.0
i_n	a	1.0
eːi̯	-	1.0
eː	j	1.0
aːu̯	u	1.0
aː	-	1.0
ai̯	ɛ_d	1.0
z	z	0.927
l	ɫ	0.841
b	b	0.84
r	r	0.833
d	d	0.832
m	m	0.814
k	k	0.78
s	-	0.74
p	p	0.731
iː	-	0.667
n	-	0.645
e	ɛ	0.644
au̯	f	0.642
u	i	0.589
t	t	0.576
o	a	0.436
t	-	0.424
u	-	0.411
a	o	0.395
o	-	0.373
au̯	u	0.358
n	n	0.355
i	-	0.348
iː	e	0.333
i	o	0.296
a	ɛ	0.281
p	-	0.269
s	s	0.26
i	ɛ	0.238
a	-	0.226
k	ʃ	0.22
e	i	0.194
o	o	0.19
m	-	0.186
d	ɟ	0.168
r	r̩	0.167
e	-	0.161
b	ʧ	0.16
l	l	0.159
i	k	0.119
a	j	0.097
z	ʣ	0.073
