Macedonian	Lower Sorbian	probability
ˈu	ˈu	1.0
ʧ	ʦ	1.0
ʦ	ʦ	1.0
ʒ	ʐ	1.0
ʃ	ʂ	1.0
ɡ	ɡ	1.0
ɛ_#>	#>	1.0
z	z	1.0
u	ɨ	1.0
s_#>	s_#>	1.0
s	s	1.0
r_ˈi	ɕ_ˈi	1.0
o_k	kʲ_i	1.0
l	l	1.0
j	j	1.0
i	i	1.0
<#_ˈo	<#_ˈɔ	1.0
<#_v	<#	1.0
<#	<#_k	1.0
#>	ɨ_#>	1.0
k	k	0.909
a	a	0.9
o	ɔ	0.867
p	p	0.667
r	r	0.632
d	d	0.632
v	vʲ	0.611
m	m	0.6
b	b	0.6
ˈo	ˈɔ	0.545
ɫ	w	0.545
n	n	0.529
ˈi	ˈɨ	0.5
ˈi	ˈi	0.5
ˈa	ˈɔ	0.5
f	x	0.5
f	v_ɨ	0.5
ˈo	ˈɛ	0.455
t	t	0.452
m	mʲ	0.4
b	bʲ	0.4
ˈɛ	ˈɪ	0.389
v	v	0.389
t	ɕ	0.387
ˈr̩	ˈe	0.333
ˈr̩	ˈa	0.333
ˈr̩	r	0.333
p	pʲ	0.333
ɛ	ɛ	0.316
ɛ	e	0.316
n	ɲ	0.294
ˈa	ˈa	0.278
ɫ	l	0.273
r	rʲ	0.263
d	ʑ	0.263
ˈɛ	ˈe	0.222
ˈa	ˈu	0.222
ɛ	ɕ	0.211
n	n_ɨ	0.176
ˈɛ	ˈa	0.167
ɛ	ɔ	0.158
ˈɛ	ˈɔ	0.139
o	-	0.133
r	ʂ	0.105
d	t	0.105
a	-	0.1
t	ʨ	0.097
ɫ	w_ɨ	0.091
ɫ	d_w	0.091
k	kʲ_i	0.091
ˈɛ	ˈɛ	0.083
t	r	0.065
