Bokmål Norwegian	Bokmål Norwegian	probability
ˈʊ	-	1.0
ˈœʏ̯	ˈʊə̯	1.0
ˈæː	-	1.0
ˈyː	ˈiː	1.0
ˈoː_#>	ˈɛː_n_#>	1.0
ʋ_#>	v̥_#>	1.0
ʈː	ɾ_t	1.0
ʈ	t	1.0
ɳ	ɾ	1.0
ɪ	i	1.0
ɡː	x	1.0
ɡ_#>	x_#>	1.0
ɡ	x	1.0
ə_#>	#>	1.0
ŋː	ŋ	1.0
ŋ	-	1.0
ç	k	1.0
tʰ	d	1.0
t_#>	t_#>	1.0
t	t	1.0
s_ə	z_ə	1.0
s_k	s	1.0
s_#>	z̥_#>	1.0
pː	p	1.0
pʰ	-	1.0
p	p	1.0
n	n	1.0
mː	m	1.0
m	m	1.0
l_#>	ɫ_#>	1.0
kː	ŋ_k	1.0
k	k	1.0
f	v	1.0
b	b	1.0
<#_ˈɛ	<#_ˈɑ	1.0
<#_ɾ	<#_ɾ	1.0
<#_ɡ	<#_x	1.0
<#_tʰ	<#_t	1.0
<#_n	<#_n	1.0
<#_kʰ	<#_k	1.0
<#_j	<#	1.0
<#_h	<#	1.0
l	ɫ	0.958
ʋ	ʋ	0.867
ɾ	ɾ	0.86
ə	ə	0.86
d	d	0.8
nː	n	0.75
lː	ɫ	0.75
<#	<#_ʋ	0.75
ˈoː	ˈɛː	0.727
ˈøː	ˈʊə̯	0.714
k_#>	k_#>	0.667
ˈʉː	ˈyː	0.643
ˈɑː	ˈɛː	0.625
ˈɑ	ˈɑ	0.619
ʋ_ə	v_ə	0.6
ʂ	z	0.6
n_#>	n_ə_#>	0.6
ˈɛ	ˈæ	0.571
j	-	0.571
s	z	0.559
tː	t	0.556
ˈɪ	ˈɪ	0.538
ˈiː	ˈi	0.533
ˈʉ	ˈɔ	0.5
ˈeː	-	0.5
ˈɔ	-	0.444
tː	x_t	0.444
s	s	0.441
ˈʏ	-	0.429
ˈɛ	-	0.429
ˈœ	ˈɔ	0.429
j	x	0.429
ʋ_ə	ə	0.4
ʂ	s_x	0.4
n_#>	#>	0.4
#>	d̥_#>	0.379
ˈɑː	ˈɑ	0.375
ˈæɪ̯	ˈɪə̯	0.375
ˈæɪ̯	ˈæi̯	0.375
ˈeː	ˈeː	0.375
ˈɔ	ˈɔ	0.333
k_#>	#>	0.333
#>	ə_#>	0.31
ˈɪ	ˈi	0.308
ˈuː	ˈʊə̯	0.308
ˈuː	ˈuː	0.308
ˈʏ	ˈɪ	0.286
ˈʏ	ˈɔ	0.286
ˈœ	ˈøː	0.286
ˈœ	-	0.286
ˈoː	-	0.273
ˈæɪ̯	-	0.25
nː	n_d	0.25
lː	d̥	0.25
<#	<#_j	0.25
ˈuː	-	0.231
ˈɔ	ˈɑ	0.222
ˈʉː	ˈeː	0.214
ˈʉ	ˈu	0.214
ˈiː	ˈɪ	0.2
d	d̥	0.2
ˈɑ	-	0.19
ˈɪ	-	0.154
ˈuː	ˈu	0.154
ˈʉː	-	0.143
ˈʉ	ˈʏ	0.143
ˈʉ	-	0.143
ˈøː	ˈɪə̯	0.143
ˈøː	-	0.143
ˈiː	ˈiː	0.133
ˈiː	ˈeː	0.133
ʋ	ə	0.133
ˈeː	ˈiːə̯	0.125
#>	k_#>	0.121
ˈɑ	ˈɒː	0.095
ˈɑ	ˈæ	0.095
ɾ	-	0.08
ə	-	0.08
#>	v̥_#>	0.069
ɾ	ə	0.06
#>	ə_n_#>	0.052
