Afrikaans	Afrikaans	probability
χ_r	x_ɾ	1.0
ˈɪø̯	ˈøː	1.0
ˈɛ	ˈæ	1.0
ˈœɪ̯	ˈyː	1.0
ˈœu̯	ˈɑu̯	1.0
ˈæː	ˈæ	1.0
ˈæ	ˈæ	1.0
ˈyː	ˈiː	1.0
ə_ŋ	ə_n	1.0
w	w	1.0
t	t	1.0
p	p	1.0
n	n	1.0
m	m	1.0
j	j	1.0
i	iː	1.0
d	d	1.0
b	b	1.0
<#_ˈæ	<#	1.0
<#_ɦ	<#	1.0
<#_r	<#_ɾ	1.0
ɫ	ɫ	0.95
r	ɾ	0.939
v	ʋ	0.926
ˈɑː	ˈɛː	0.917
χ	x	0.903
d̥	d̥	0.893
k	k	0.853
ˈi	ˈiː	0.824
ˈa	ˈɑ	0.786
v̥	v	0.774
ˈʊə̯	ˈʊə̯	0.762
ˈɔ	ˈɔ	0.75
ə	ə	0.731
ˈə	ˈɪ	0.65
ˈœ	ˈʏ	0.6
ˈu	ˈuː	0.583
ˈəɪ̯	ˈi	0.562
ŋ	ŋ	0.545
ˈɪə̯	ˈɪə̯	0.526
ˈɪə̯	ˈeː	0.474
ŋ	ŋ_k	0.455
s	z	0.431
ˈœ	-	0.4
s	s	0.397
ˈə	ˈi	0.25
ˈu	ˈu	0.25
v̥	v̥	0.226
ˈa	-	0.214
ˈəɪ̯	ˈæi̯	0.188
ˈu	ˈuːə̯	0.167
k	x	0.147
ˈʊə̯	ˈøː	0.143
ˈəɪ̯	ˈyː	0.125
ˈəɪ̯	ˈi_ə	0.125
ˈɔ	ˈʏ	0.125
ˈɔ	ˈu	0.125
s	z̥	0.121
ˈi	ˈɪə̯	0.118
d̥	d_ə	0.107
ˈə	-	0.1
χ	x_t	0.097
ˈʊə̯	ˈoː_v	0.095
ˈɑː	ˈɒː	0.083
ə	ɪ	0.077
ə	ə_n	0.077
ə	-	0.077
v	-	0.074
r	-	0.061
ˈi	ˈiːə̯	0.059
s	s_t	0.052
