Corsican	Corsican	probability
ˈɛ_r	ɛ_ɾ	1.0
ˈɛ_n	ˈe_n	1.0
ˈɛ_m	ˈe_m	1.0
ˈɔ_n	ˈo_n	1.0
ˈɔ_d	ˈo	1.0
ˈo_n	ˈɔ_n	1.0
ˈi	ˈi	1.0
ˈa_ɡ	ˈa	1.0
ʧː	-	1.0
ʦː	t	1.0
ʦ	ʦ	1.0
ʤ	-	1.0
ʣ	-	1.0
ʎ	ʣ	1.0
ʃː	s_k	1.0
ɟ_ˈe	b_ˈe	1.0
z	z	1.0
w	-	1.0
v_i	b_ˈi	1.0
sː_u	u	1.0
sː	s	1.0
rː	r	1.0
r_t	ɾ_t	1.0
r_n	r	1.0
r_a	ɾ_a	1.0
o	u	1.0
nː	nː	1.0
n_u	n	1.0
mː	m	1.0
m	m	1.0
kː	k	1.0
k_w	b	1.0
k_u	ɣ_u	1.0
k_r	ɾ	1.0
j_#>	j_z_ɔ̆_#>	1.0
i_#>	ɔ̆_#>	1.0
fː	u_f	1.0
f_j	f_ɾ	1.0
f	f	1.0
e_#>	#>	1.0
dː	t	1.0
d_i	i	1.0
bː	-	1.0
b_e	ɛ	1.0
b	b	1.0
a_n	a_n	1.0
a_#>	#>	1.0
<#_ˈɛ	<#_ˈi	1.0
<#_ˈa	<#_ˈa	1.0
<#_ɟ	<#_ʣ	1.0
<#_t	<#_t	1.0
<#_r	<#_ɾ	1.0
<#_n	<#_n	1.0
<#_a	<#_a	1.0
ˈa	ˈa	0.952
n	n	0.949
ˈu	ˈu	0.92
a	a	0.897
p	p	0.895
r	ɾ	0.867
k	k	0.861
l	l	0.85
tː	t	0.846
s	s	0.833
e	ɛ	0.822
u	u	0.814
r_u	ɾ_u	0.778
ˈɔ_r	ˈɔ_ɾ	0.75
i	i	0.632
c	j	0.625
ɲ	n_ʣ	0.6
d	d	0.583
ɡ	ɡ	0.571
t	t	0.553
v	b	0.548
#>	ɾ_ɛ_#>	0.548
ˈɛ	ˈɛ	0.541
ˈɔ	ˈɔ	0.535
ʧ	ɣ	0.529
ʃ	s	0.5
ʃ	i_s	0.5
ŋ	ŋ	0.5
ŋ	m	0.5
lː	ɖː	0.5
ʧ	k	0.471
v	-	0.452
#>	ɛ_#>	0.452
ɡ	b	0.429
ˈe	ˈɛ	0.417
ˈe	ˈe	0.417
ɲ	ɲ	0.4
t	ð	0.395
ɟ	ɡ	0.375
ɟ	b	0.375
c	k	0.375
ˈo	ˈo	0.333
j	ɾ	0.333
j	j	0.333
j	-	0.333
ˈɛ	ˈi	0.297
ˈo	ˈu	0.278
i	e	0.263
ˈɔ_r	ɾ	0.25
ɟ	ɣ	0.25
lː	l	0.25
ˈɔ	ˈu	0.233
ˈɔ	ˈo	0.233
ˈo	ˈɔ	0.222
r_u	ɾ	0.222
d	-	0.208
ˈo	-	0.167
s	i_s	0.167
ˈɛ	ˈe	0.162
tː	t_ɔ	0.154
l	-	0.15
k	ɣ	0.139
lː	s	0.125
lː	-	0.125
d	ɛ_ɾ	0.125
p	β	0.105
i	-	0.105
ˈe	ˈi	0.083
ˈe	-	0.083
d	i	0.083
u	ɔ	0.082
u	-	0.082
ˈu	-	0.08
e	i	0.068
r	r	0.067
r	-	0.067
e	a	0.055
t	ʦ	0.053
n	nː	0.051
a	ɛ	0.051
