Lower Sorbian	Old Church Slavonic	probability
ʨ	t_ɪ	1.0
ʒ	ʒ	1.0
ʑ	d	1.0
ʐ	ʒ	1.0
ʂ	r	1.0
ɡ̊	ɡ_ʊ	1.0
ɡʲ	ɡ	1.0
ɡ	ɡ	1.0
z̥	-	1.0
z	z	1.0
x	x	1.0
w_ɔ	l_ɑ	1.0
vʲ	v	1.0
v_ɛ	ɔ	1.0
v	v	1.0
t͡ʂ	ʦ	1.0
t_a	t_ɑ	1.0
r_ɔ	r_ɑ	1.0
pʲ	p	1.0
p	p	1.0
nʲ	n	1.0
n	n	1.0
mʲ	m	1.0
m	m	1.0
l	l	1.0
kʲ	k	1.0
j	j	1.0
f	v_ʊ	1.0
d̥	d_ʊ	1.0
b̥	b	1.0
bʲ	b	1.0
b	b	1.0
a_r	r_ɪ	1.0
k	k	0.949
rʲ	r	0.932
s	s	0.918
d	d	0.892
a	ɑ	0.808
t	t	0.766
w	l	0.756
r	r	0.692
ɪ	æ	0.669
ɔ	ɔ	0.639
ɨ	ʊ	0.611
ɲ	n_ɪ	0.566
i	i_ˈ	0.531
ʦ	ʦ	0.515
u	ɔ̃	0.513
ʦ	ʧ	0.485
ɕ	t_i	0.475
ɛ	ɔ	0.473
ɲ	ɪ	0.434
e	ɛ	0.378
ɕ	t	0.352
u	u	0.331
i	ʊ	0.326
r	r_ɪ	0.308
ɔ	ɛ	0.306
e	-	0.256
ɨ	ɯ	0.254
t	t_ʊ	0.234
ɛ	ɛ	0.192
ɪ	ɛ̃_ˈ	0.191
ɕ	r	0.174
ɛ	æ	0.167
w	l_ʊ	0.166
u	-	0.156
e	ɪ	0.148
i	i	0.143
ɪ	ɛ̃	0.14
e	ɛ̃	0.109
e	æ_ˈ	0.109
d	-	0.108
ɨ	-	0.093
ɛ	-	0.091
s	s_ʊ	0.082
w	ʊ	0.078
a	ɛ_ˈ	0.077
rʲ	rʲ	0.068
a	æ	0.059
ɔ	-	0.056
k	ɡ_ʊ	0.051
