Brazilian Portuguese	Eastern Lombard	probability
ẽ	e	1.0
f	f	1.0
k	k	1.0
m	m	1.0
õ	o	1.0
p	p	1.0
ʒ	z	1.0
ʤ	-	1.0
ʧ	t	1.0
h	n	0.101
l	-	0.051
o	-	0.161
t	t_e	0.151
u	o_l	0.081
v	ʋ	0.301
w	w	0.291
ɐ	n_a	0.061
ɐ	a	0.851
ɦ	r	0.891
ɾ	-	0.211
ˈe	ˈe	0.251
ˈi	ˈe	0.371
ˈĩ	ˈe	0.081
ˈo	ˈɔ	0.301
ˈu	ˈu	0.151
ˈu	ˈy	0.671
ˈɔ	ˈɔ	0.11
ˈɔ	ˈu	0.551
a	ˈa	0.422
h	d	0.342
u	j	0.182
v	p	0.082
ʎ	ʤ	0.172
ʎ	j	0.292
ˈe	ˈa	0.142
ˈe	ˈɛ	0.312
ˈẽ	ˈɛ	0.562
ˈo	-	0.142
ˈõ	ˈo	0.102
ˈõ	ˈɔ	0.752
a	a	0.453
d	t	0.23
j̃	ɲ	0.253
n	n	0.923
ʃ	-	0.183
ˈu	ˈo	0.073
ˈɛ	ˈɛ	0.623
b	-	0.414
i	e	0.574
u	e	0.224
u	-	0.414
z	-	0.254
ʃ	ʧ	0.114
ˈi	ˈɛ	0.074
ˈo	ˈø	0.114
a	e	0.055
e	e	0.725
s	s	0.925
t	t	0.675
ʃ	s	0.695
ˈa	ˈa	0.985
ˈi	-	0.105
ˈi	ˈi	0.45
ˈo	ˈu	0.105
ˈu	ˈø	0.105
ˈũ	ˈy	0.175
ˈũ	ˈø	0.825
ˈɔ	ˈø	0.155
ˈɔ	ˈo	0.185
e	-	0.216
t	n_t	0.116
ʎ	-	0.536
ˈõ	ˈu	0.146
ˈɐ̃	ˈa_ŋ	0.116
b	b	0.527
d	d	0.77
j	e	0.177
j̃	n	0.747
n	-	0.077
z	z	0.507
ˈe	ˈi	0.077
ˈĩ	ˈi	0.887
ˈɐ̃	ˈa_n	0.057
ˈɛ	ˈe	0.377
b	ʋ	0.058
h	-	0.538
i	i	0.18
t	s	0.058
v	b	0.138
ɐ	-	0.088
ɡ	ɡ	0.978
ˈo	ˈo	0.328
ˈɐ̃	ˈa	0.828
a	r_e	0.069
e	i	0.059
i	a	0.229
j	-	0.789
l	l	0.949
o	o	0.839
u	ˈø	0.099
v	-	0.479
w	l	0.709
z	d	0.239
ɦ	r_e	0.109
ɾ	r	0.789
ˈe	-	0.219
ˈẽ	ˈe	0.399
