Ladin	Ladin	probability
ˈɛ_k	ɣ	1.0
ˈɛ_f	u	1.0
ˈu	ˈu	1.0
ˈe_#>	ˈa_i_#>	1.0
ʥ	-	1.0
ʤ	ʤ	1.0
ʒ_ɡ	b	1.0
ŋ	ŋ	1.0
w_ˈɛ	ˈɔ	1.0
w_ʃ	ʒ	1.0
v_e	ɾ_i	1.0
s_ˈe	s	1.0
r_#>	#>	1.0
p_#>	p_u_z_ŭ_#>	1.0
p	p	1.0
o_d	ð	1.0
n_#>	n_u_#>	1.0
m	m	1.0
l_ˈe	l_ˈi	1.0
l_#>	u_#>	1.0
j_t	ð	1.0
i	ɔ̆	1.0
f_l	f_ɾ	1.0
e_s	a_z	1.0
e_r	u_ɾ	1.0
e_d	ˈi	1.0
d_l	u	1.0
d_a	ð_a	1.0
b	b	1.0
a_#>	#>	1.0
<#_ˈɛ	<#_ˈa	1.0
<#_t	<#_t	1.0
<#_r	<#_a_r	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_i	<#_i	1.0
<#_a	<#_a	1.0
a	a	0.951
ˈa	ˈa	0.939
t	t	0.889
n	n	0.85
ˈi	ˈi	0.833
<#_d	<#_d	0.833
f	f	0.81
k	k	0.808
ɲ	n_ʤ	0.8
s	s	0.767
ɡ	ɡ	0.75
v	b	0.75
ʨ	k	0.714
r	ɾ	0.683
ʦ	-	0.667
ʒ	ʤ	0.667
ʃ	s	0.625
e	i	0.588
o	-	0.556
w	ˈo	0.545
#>	u_#>	0.514
ʧ	ʧ	0.5
ʧ	-	0.5
w_r	β	0.5
w_r	ɾ_i	0.5
ˈo	ˈu	0.483
l	l	0.467
w	-	0.455
ˈɔ	ˈɔ	0.45
ˈɔ	ˈo	0.45
o	ɔ	0.444
d	ð	0.429
ˈɛ	ˈɛ	0.408
#>	i_#>	0.39
ˈe	ˈi	0.367
ˈo	ˈɔ	0.345
ʦ	ʦ	0.333
ʒ	ʒ	0.333
d	ɣ	0.286
d	-	0.286
j	ˈɛ	0.259
ʃ	ʒ	0.25
ɡ	ɣ	0.25
v	-	0.25
ˈe	-	0.233
l	ɖː	0.233
ˈɛ	ˈe	0.224
ˈɛ	ˈa	0.224
j	-	0.222
ɲ	ɲ	0.2
ʨ	ʧ	0.19
e	e	0.176
ˈo	ˈo	0.172
l	ɾ	0.167
<#_d	<#	0.167
j	ɾ_i	0.148
r	r	0.146
ˈe	ˈɛ	0.133
s	z	0.133
l	ɭː	0.133
ʃ	ʃ_i	0.125
e	ɛ	0.118
e	a	0.118
k	k_ɾ	0.115
j	ɭː	0.111
j	j	0.111
ˈɔ	ˈu	0.1
ˈe	ˈe	0.1
ˈe	ˈa	0.1
s	ʃ	0.1
ʨ	-	0.095
f	f_ɾ	0.095
f	-	0.095
ˈi	ˈi_ɭː	0.083
ˈi	i	0.083
k	ɣ	0.077
n	u	0.075
n	nː	0.075
j	u	0.074
j	i	0.074
r	-	0.073
ˈe	i	0.067
ˈɛ	ɣ	0.061
ˈa	w_ˈa	0.061
t	ð	0.056
t	-	0.056
