Catalan	Catalan	probability
ˈi_w	ˈi_w	1.0
ˈi_#>	ˈi_#>	1.0
ˈe_s	ˈɛ_s	1.0
ˈa_#>	ˈa_#>	1.0
ʧ_#>	#>	1.0
ʤ	ʤ	1.0
ʒ	ʤ	1.0
ʎː	j	1.0
ʎ_ə	j_ɔ	1.0
ʎ_#>	w_#>	1.0
ʃ	j_s	1.0
ɾ_ˈɛ	ɾ_ˈe	1.0
ɲ_#>	ɲ_#>	1.0
ɣ	ɡ	1.0
ɡ	ɡ	1.0
ə_ɾ	a_ɾ	1.0
ə_ð	a_d	1.0
ə_s	e	1.0
ð_ə	d_ɔ	1.0
ð	d	1.0
z	z	1.0
w_ə	ɔ	1.0
w_#>	s_#>	1.0
t_ə	t_ɔ	1.0
t_#>	#>	1.0
s_ˈɛ	s_ˈe	1.0
s_k	s_k	1.0
s_#>	#>	1.0
s	s	1.0
r_t	ˈe_ʀ	1.0
r	ʀ	1.0
mː	mː	1.0
m	m	1.0
l_ə	l_ɔ	1.0
l_#>	w_#>	1.0
k_#>	k_#>	1.0
k	k	1.0
j_t	ʧ	1.0
j	j	1.0
f	f	1.0
d	d	1.0
b_ˈɛ	v_ˈe	1.0
b_ə	v_e	1.0
a	ɔ	1.0
<#_ˈa	<#_ˈa	1.0
<#_ʎ	<#_l	1.0
<#_t	<#_t	1.0
<#_r	<#_ʀ	1.0
p	p	0.947
ɾ	ɾ	0.864
n_#>	ŋ_#>	0.846
t	t	0.842
n	n	0.795
#>	ŋ_#>	0.786
l	l	0.733
u	u	0.72
ˈa	ˈa	0.71
ˈo	ˈu	0.692
ɲ	ɲ	0.667
<#_ə	<#_e	0.667
β	b	0.611
ˈɔ	w_ˈe	0.59
ʎ	j	0.583
ˈi	ˈi	0.519
b	b	0.516
ŋ	ŋ_k	0.5
ŋ	ŋ	0.5
i	i	0.5
ˈe	ˈɛ	0.486
b	v	0.484
ə	ɔ	0.477
w	w	0.471
i	e	0.4
ˈɛ	ˈɛ	0.393
β	v	0.389
ˈɛ	ˈe	0.357
ə	e	0.346
ʎ	l	0.333
ɲ	ŋ	0.333
<#_ə	<#_a	0.333
ˈu	ˈy	0.32
ˈa	ˈã	0.29
ˈu	ɥ_ˈe	0.28
w	-	0.235
ˈo	ˈũ	0.231
n	ŋ	0.205
l	w	0.2
ˈi	j_ˈe	0.185
w	j	0.176
ˈe	ˈẽ	0.162
ˈe	ˈe	0.162
ˈu	ˈỹ	0.16
ˈu	ˈũ	0.16
t	ʧ	0.158
n_#>	#>	0.154
ˈi	ˈĩ	0.148
ˈɛ	ˈẽ	0.143
#>	j_#>	0.143
ˈɔ	ˈa_w	0.128
w	ˈɔ_w	0.118
ə	a	0.112
ˈe	j_ˈe	0.108
ˈɛ	ˈu	0.107
ˈɔ	w	0.103
i	ĩ	0.1
ʎ	lː	0.083
ˈe	ˈa	0.081
ˈu	ˈu	0.08
u	y	0.08
u	w	0.08
u	e	0.08
ˈɔ	w_ˈẽ	0.077
ˈo	ˈy	0.077
ˈi	ˈe	0.074
ˈi	z_ˈĩ	0.074
#>	ɔ_#>	0.071
ɾ	j_ɾ	0.068
ɾ	-	0.068
l	-	0.067
p	-	0.053
ˈɔ	ˈũ	0.051
ˈɔ	ɥ	0.051
