Štokavian	Russian	probability
ǎː	ɐ	1.0
eː	ɪ	1.0
ê	ˈe	1.0
êː	ˈɛ	1.0
ě	ɪ	1.0
ěː	ɪ	1.0
iː	ɨ_j	1.0
îː	ˈi	1.0
ôː	ˈo	1.0
ǒ	ɐ	1.0
r̂ː	ˈɵ_r	1.0
r̩̂	ˈe_r	1.0
r̩̂ː	r	1.0
r̩̂	ˈe	1.0
û	ˈo	1.0
x	x	1.0
ɲ	nʲ	1.0
ʎ	lʲ	1.0
ʦ	ʦ	1.0
ʧ	ʨ	1.0
ʨ	ʨ	1.0
a	ˈa	0.451
âː	ə	0.651
e	ˈe	0.421
k	k	0.91
z	zʲ	0.511
ɡ	k	0.051
ʋ	v	0.61
ʒ	ʐ	0.841
e	ə	0.212
î	ˈɨ	0.182
p	pʲ	0.732
s	s	0.582
b	bʲ	0.13
b	b	0.483
i	ˈi	0.233
j	-	0.953
m	mʲ	0.503
r	ɐ_r	0.133
t	t	0.403
d	-	0.064
d	dʲ	0.474
ô	ˈo	0.804
ûː	ˈu	0.624
a	ɪ	0.055
a	-	0.15
a	ə	0.285
â	ˈo	0.45
â	ˈa	0.55
d	t	0.145
l	lʲ	0.345
n	n	0.555
ʋ	-	0.085
ʋ	vʲ	0.305
o	-	0.186
ô	ɐ	0.196
ûː	ˈo_ɫ	0.376
ɡ	ɡ_ˈo	0.126
ɡ	j_#>	0.136
b	p	0.387
d	d	0.317
i	ˈɨ	0.767
m	m	0.497
n	nʲ	0.267
o	ˈo	0.077
o	ə	0.737
t	tʲ	0.597
ɡ	ɡ	0.687
e	ɪ	0.368
î	ˈi	0.818
l	ɫ	0.608
p	p	0.268
r	r	0.598
s	sʲ	0.418
âː	ˈo	0.349
k	kʲ_ɪ	0.09
n	n_ɨ	0.179
r	rʲ	0.269
z	z	0.489
ʒ	ʂ	0.159
