Northern Low Saxon	Limburgish	probability
aɪ̯	i	1.0
b	b	0.669
b	p	0.247
b	ə_p	0.075
d	t	0.568
d	d	0.319
d	-	0.113
f	v	0.662
f	f	0.275
h	ɦ	1.0
i	ə	1.0
j	ɣ	1.0
k	k	1.0
kʰ	k	0.984
l	l	0.921
m	m	0.715
m	ə	0.158
m	v_ə	0.103
n	n	0.705
n	ə	0.242
p	p	1.0
pʰ	p	1.0
r	ʀ	1.0
s	s	0.822
s	z	0.178
t	t	1.0
tʰ	t	1.0
v	β	0.911
v	v	0.089
x	x	1.0
z	z	0.942
z	-	0.058
ç	x	0.54
ç	k	0.327
ç	ŋ	0.13
ŋ	ŋ	0.823
ŋ	ɣ	0.132
ɐ	ʀ	0.741
ɐ	ə_ʀ	0.259
ə	ʀ	1.0
ɡ	k	0.467
ɡ	ɣ	0.4
ɡ	x	0.08
ɪ	ə	0.67
ɪ	ɪ	0.33
ʃ	s	0.532
ʃ	ʃ	0.396
ʃ	z	0.061
ʒ	j	0.852
ʒ	-	0.148
ˈa	ˈaː	0.337
ˈa	ˈɑː	0.332
ˈa	ˈɑ	0.297
ˈaɪ̯	ˈeː	0.405
ˈaɪ̯	ˈɛː	0.207
ˈaɪ̯	ˈi	0.198
ˈaɪ̯	ˈiː	0.141
ˈaʊ̯	ˈʊː	0.279
ˈaʊ̯	ˈɔː	0.235
ˈaʊ̯	ˈu	0.148
ˈaʊ̯	ˈoː	0.077
ˈaʊ̯	ˈɔ	0.058
ˈaː	ˈæː	0.434
ˈaː	ˈaː	0.291
ˈaː	ˈæ	0.198
ˈaː	ˈɛː	0.077
ˈeɪ̯	ˈeː	0.718
ˈeɪ̯	ˈɛː	0.23
ˈeɪ̯	ˈi	0.052
ˈeː	ˈeː	0.565
ˈeː	ˈɑː	0.169
ˈeː	ˈɛː	0.112
ˈeː	ˈɪ	0.11
ˈiː	ˈiː	0.611
ˈiː	ˈeː	0.113
ˈiː	ˈɛ	0.093
ˈiː	ˈi	0.077
ˈiː	ˈɛːi̯	0.077
ˈoː	ˈɒː	0.515
ˈoː	ˈʊː	0.153
ˈoː	ˈaː	0.12
ˈoː	ˈoː	0.115
ˈoː	ˈɔː	0.051
ˈuː	ˈuː	0.658
ˈuː	ˈɔu̯	0.142
ˈuː	ˈʊː	0.135
ˈuː	ˈœi̯	0.065
ˈyː	ˈœi̯	0.369
ˈyː	ˈyː	0.329
ˈyː	ˈeː	0.245
ˈyː	ˈøː	0.057
ˈø	ˈʏ	0.905
ˈø	ˈɛ	0.095
ˈøː	ˈʊː	0.447
ˈøː	ˈøː	0.398
ˈøː	ˈeː	0.108
ˈœ	ˈaː	0.431
ˈœ	ˈæ	0.431
ˈœ	ˈæː	0.138
ˈœː	ˈɛ	0.639
ˈœː	ˈɪ	0.361
ˈɔ	ˈɔ	0.666
ˈɔ	ˈʊː	0.156
ˈɔ	ˈœ	0.073
ˈɔ	ˈœː	0.055
ˈɔʏ̯	ˈøː	0.518
ˈɔʏ̯	ˈyː	0.184
ˈɔʏ̯	ˈu	0.106
ˈɔʏ̯	ˈœi̯	0.106
ˈɔʏ̯	j	0.064
ˈɔː	ˈœː	1.0
ˈɛ	ˈœ	0.398
ˈɛ	ˈeː	0.381
ˈɛ	ˈɛː	0.108
ˈɛ	ˈɛ	0.07
ˈɛɪ̯	ˈaː	0.388
ˈɛɪ̯	ˈi	0.388
ˈɛɪ̯	ˈɛː	0.224
ˈɛː	ˈøː	1.0
ˈɪ	ˈɪː	0.51
ˈɪ	ˈeː	0.128
ˈɪ	ˈɛː	0.109
ˈɪ	ˈɪ	0.099
ˈɪ	ɪː	0.064
ˈʊ	ˈʊː	0.546
ˈʊ	ˈɔ	0.149
ˈʊ	ˈʊ	0.093
ˈʊ	ˈɔː	0.091
ˈʊ	ˈʏː	0.071
ˈʊ	ˈuː	0.051
ˈʏ	ˈʏː	0.255
ˈʏ	ˈœ	0.219
ˈʏ	ˈʏ	0.191
ˈʏ	ˈɪː	0.088
ˈʏ	ˈoː	0.084
ˈʏ	ˈæː	0.061
ˈʏ	ˈøː	0.057
