Catalan	Catalan	probability
ˈɛ_w	i	1.0
ˈɛ_r	ɛ_ʁ	1.0
ˈɛ_n	ɑ̃	1.0
ˈɛ_#>	w_a_ʁ_#>	1.0
ˈɔ_w	œ_f	1.0
ˈɔ_s	o	1.0
ˈɔ_n	ɔ̃	1.0
ˈɔ_k	ø	1.0
ˈu_ʎ	œ_j	1.0
ˈu_ə	ø	1.0
ˈu_n	w_ɛ̃	1.0
ˈo_ʎ	u	1.0
ˈo_t	u	1.0
ˈo_#>	ɔ̃_#>	1.0
ˈi_w	y	1.0
ˈi_#>	i_ʁ_#>	1.0
ˈe_ʎ	o	1.0
ˈe_s	ɛ	1.0
ˈe_n	ɑ̃	1.0
ˈa_ɲ	ɑ̃	1.0
ˈa_z	e	1.0
ˈa_w	ɛ	1.0
ˈa_n	ɑ̃	1.0
ˈa_l	o	1.0
ˈa_#>	e_#>	1.0
ʧ	-	1.0
ʤ	ʒ	1.0
ʎː	j	1.0
ʎ_ə	j	1.0
ʎ_#>	#>	1.0
ɡ	ɡ	1.0
ə_ʒ	ɛ	1.0
ə_#>	#>	1.0
z_ˈa	u	1.0
z	z	1.0
w_ˈa	a	1.0
w_#>	#>	1.0
u_#>	#>	1.0
t_ə_#>	t_#>	1.0
t_#>	#>	1.0
t	t	1.0
s_ˈa	s_ɛ	1.0
s_ə	s	1.0
s_#>	#>	1.0
r	ʁ	1.0
n_ə	n	1.0
n_#>	#>	1.0
mː	m	1.0
m_ˈa	m_ɛ̃	1.0
m_ə	m	1.0
m_#>	#>	1.0
l_ˈa	l	1.0
l_t_ɾ_ə_s_#>	#>	1.0
l_#>	#>	1.0
k_ə	ʃ	1.0
j_#>	a_#>	1.0
i	-	1.0
f	f	1.0
d	d	1.0
a	-	1.0
<#_ʎ	<#_l	1.0
<#_ə_s	<#_e	1.0
<#_ə	<#_a	1.0
<#_t	<#_t	1.0
<#_s	<#_s	1.0
<#_r	<#_ʁ	1.0
<#_n	<#_n	1.0
<#	<#_l	1.0
m	m	0.917
p	p	0.9
ɾ	ʁ	0.895
l	l	0.893
ʒ	ʒ	0.882
ð	-	0.833
s	s	0.8
ˈi	i	0.733
n	n	0.714
w_ɾ	a_ʁ	0.667
l_ə	l	0.667
β	v	0.647
ɣ	-	0.625
ŋ	-	0.625
k	k	0.61
<#_u	<#_ɔ	0.6
ˈu	y	0.5
ˈo	u	0.5
ʃ	t	0.5
ʃ	s	0.5
j	i	0.5
j	-	0.5
b	v	0.5
ˈɔ	ɔ	0.481
ʎ	l	0.462
w	-	0.444
#>	ʁ_#>	0.444
ˈe	ɛ	0.429
<#_u	<#_w	0.4
k	ʃ	0.39
u	u	0.389
b	b	0.389
ʎ	j	0.385
ɲ	ɲ	0.375
ɲ	ɛ̃	0.375
ɣ	ɡ	0.375
ŋ	ɑ̃	0.375
ˈɛ	ɛ	0.37
ə	a	0.361
ˈa	ɛ	0.343
ˈɛ	w	0.333
w_ɾ	ʁ	0.333
w	a	0.333
u	-	0.333
l_ə	l_a	0.333
#>	e_#>	0.333
n	ɑ̃	0.286
u	ɔ	0.278
ˈa	a	0.257
ɲ	-	0.25
ˈe	w	0.238
ˈa	ɛ̃	0.229
ə	ə	0.222
w	i	0.222
#>	a_#>	0.222
ˈo	œ_ʁ	0.214
ˈu	ɥ_i	0.2
ˈi	ɛ̃	0.2
s	-	0.2
β	b	0.176
β	-	0.176
ˈa	e	0.171
ð	d	0.167
ʎ	ø	0.154
ˈu	ɥ	0.15
ˈu	-	0.15
ˈɛ	a	0.148
ˈɔ	u	0.148
ˈo	œ	0.143
ˈo	-	0.143
ˈe	j	0.143
ə	-	0.139
ʒ	-	0.118
ˈɔ	œ	0.111
ˈɔ	o	0.111
l	-	0.107
p	-	0.1
ˈe	j_ɛ	0.095
ˈe	i	0.095
ə	ʁ	0.083
ə	ɛ	0.083
m	-	0.083
ˈɛ	j_ɛ	0.074
ˈɛ	-	0.074
ˈɔ	ɔ̃	0.074
ˈɔ	w	0.074
ˈi	e	0.067
ə	w	0.056
ə	n	0.056
b	v_w	0.056
b	-	0.056
ɾ	ʁ_w	0.053
ɾ	-	0.053
