Hessian	Hessian	probability
ˈɛ̃ː	ˈa_ŋ	1.0
ˈɛː	ˈi	1.0
ˈɔ	ˈɔ	1.0
ˈɑ̃i̯	ˈiː_n	1.0
ˈɑ_n	ˈa_n	1.0
ˈæ	ˈɛ	1.0
ˈuː	ˈoː	1.0
ˈõː	n_u	1.0
ˈoĩ̯	ˈiu̯_n	1.0
ˈo	ˈu	1.0
ˈiː	ˈiu̯	1.0
ˈi	ˈi	1.0
ˈẽː	ˈɔː	1.0
ˈeː	ˈɛː_w	1.0
ˈãː	ˈɛː_n	1.0
ˈau̯	-	1.0
ˈai̯	ˈiː	1.0
ˈa	ˈa	1.0
ʦ	t	1.0
ʃ_d̥	s_t	1.0
ʀ	r	1.0
ɡ̊	ɡ	1.0
ɑ	oː_θ	1.0
ɐ_n	r_n	1.0
z̥	t	1.0
x	h	1.0
v̥	p	1.0
p	b	1.0
oː	ˈɔː	1.0
m	m	1.0
h	h	1.0
<#_ʦ	<#_t	1.0
<#_ʀ	<#_r	1.0
<#_t	<#_d	1.0
<#_s	<#_s	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_kʰ	<#_k	1.0
<#	<#_h	1.0
l	l	0.889
ˈɑ	ˈa	0.8
f	f	0.789
ˈu	ˈu	0.778
ɐ	r	0.778
b̥	b	0.769
#>	s_#>	0.746
ŋ	ŋ_ɡ	0.714
ə	a_n	0.708
v	w	0.696
ˈoi̯	-	0.667
ˈe	ˈa	0.667
<#_d̥	<#_d	0.625
ˈɛ	ˈi	0.6
ˈɑː	ˈeː	0.5
ˈɑː	ˈa	0.5
ˈæː	s	0.5
ˈæː	-	0.5
ˈaː	ˈɛː	0.5
ɣ̊	ɡ	0.5
ɣ̊	-	0.5
n	n	0.5
j	j	0.5
j	-	0.5
æ̆	a_r	0.462
ʃ	s	0.444
t	s	0.429
d̥	θ	0.429
ˈɛ	ˈɛ	0.4
s	s	0.4
<#_d̥	<#_θ	0.375
ˈoː	ˈɔ	0.333
ˈoː	ˈeː	0.333
ˈoː	-	0.333
ˈoi̯	ɡʷː	0.333
ˈe	-	0.333
ʃ	s_k	0.333
ŋ	ŋ	0.286
t	θ	0.286
t	t_s	0.286
ˈaː	ˈɔː	0.25
ˈaː	-	0.25
æ̆	r	0.231
b̥	f_s	0.231
ˈu	ˈoː	0.222
ʃ	k	0.222
ɐ	s	0.222
v	β	0.217
f	p	0.211
ˈɑ	ˈa_r	0.2
s	t_s	0.2
s	t	0.2
s	-	0.2
n	nː	0.2
d̥	t	0.19
ə	j_a	0.167
æ̆	a	0.154
æ̆	-	0.154
d̥	ð	0.143
d̥	d	0.143
#>	a_#>	0.119
l	lː	0.111
#>	n_#>	0.102
n	n_θ	0.1
n	n_d	0.1
n	-	0.1
d̥	d_u	0.095
v	ʍ	0.087
ə	n	0.083
