Friulian	Friulian	probability
ˈuː	ˈo	1.0
ˈu	ˈu	1.0
ˈoː	ˈu	1.0
ˈiː	-	1.0
ˈi	ˈi	1.0
ˈaː	ˈa	1.0
ʧ	ʦ	1.0
ɲ	n	1.0
ŋ_#>	n_#>	1.0
z	-	1.0
w_ˈɛ	ˈo	1.0
t_r	t	1.0
o	u	1.0
n	n	1.0
m	m	1.0
l_#>	r_#>	1.0
j_ˈɛ	ˈa	1.0
f_ˈi	ˈi_ʎ	1.0
f_#>	p_#>	1.0
c	k	1.0
b	b	1.0
a	-	1.0
<#_ˈa	<#_ˈa	1.0
<#_t	<#_t	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_f	<#	1.0
r	r	0.938
e	ə	0.844
p	p	0.833
s	s	0.818
j	j	0.75
f	f	0.75
k_#>	k_#>	0.714
ɡ	ɡ	0.667
u	-	0.667
#>	i_#>	0.667
ˈɔ	ˈo	0.6
k	k	0.6
d	d	0.6
i	u	0.571
ˈo	ˈu	0.538
ˈa	ˈa	0.524
ˈeː	ˈe	0.5
ˈeː	e̯ˈa	0.5
ʤ	ʒ	0.5
ʤ	z	0.5
w	r	0.5
w	o̯ˈa	0.5
t	t	0.5
l	l	0.478
v	v	0.467
ˈɛ	ˈe	0.429
i	i	0.429
ˈɔ	ˈu_k	0.4
k	-	0.4
d	t	0.4
ˈa	ˈɔ	0.381
ŋ	n	0.364
ˈe	e̯ˈa	0.333
ɡ	-	0.333
u	ʤ	0.333
ˈo	ˈo	0.308
k_#>	#>	0.286
ŋ	m	0.273
t	p_t	0.273
ˈe	ˈi	0.25
ˈe	ˈe	0.25
j	ʎ	0.25
f	w_ə	0.25
l	ʎ	0.217
v	w	0.2
v	-	0.2
ŋ	ŋ	0.182
ŋ	j_n	0.182
s	ʃ	0.182
ˈe	-	0.167
p	kʲ	0.167
ˈo	o̯ˈa	0.154
ˈɛ	ˈi	0.143
ˈɛ	ˈa	0.143
ˈɛ	e̯ˈa	0.143
ˈɛ	-	0.143
t	ʦ	0.136
v	p	0.133
l	k_ʎ	0.13
#>	ə_#>	0.121
ˈa	-	0.095
e	i	0.094
t	d	0.091
#>	u_#>	0.091
l	r	0.087
l	-	0.087
r	r_n	0.062
e	-	0.062
#>	n_#>	0.061
#>	k_#>	0.061
