West Frisian	Middle High German	probability
χ	x	1.0
ˈɔu̯	-	1.0
ˈøə̯	ˈyː	1.0
ˈø	-	1.0
ˈyː	ˈu	1.0
ˈy	-	1.0
ˈu̯o	ˈyə̯	1.0
ˈu	ˈu	1.0
ˈoː	ˈuə̯	1.0
ˈiə̯_n	ˈei̯_n	1.0
ˈaː_j	ˈei̯	1.0
ʦ_ˈiː	ˈæː	1.0
ʋ	w	1.0
ɡ	ɡ	1.0
ɕ	s	1.0
v_ə	b_ə	1.0
t_v	ʦ_w	1.0
s_t	s_t	1.0
n_ɪ	n_ə	1.0
j_ˈɪ	ˈiə̯	1.0
j_ˈuə̯	ˈyː	1.0
h	h	1.0
f	v	1.0
b	b	1.0
m	m	0.941
l	l	0.93
r	r	0.905
ˈa	ˈɑ	0.888
ˈaː	ˈɑ	0.807
ɪ	ə	0.789
ˈuə̯	ˈuə̯	0.777
ˈɔː	ˈɑ_n	0.74
v	w	0.736
d	t	0.656
d̥	t	0.649
s_k	ʃ	0.619
ɣ̥	ɡ̊	0.617
ˈɛː	ˈɑ	0.589
s	s	0.585
p	f	0.583
ˈɛi̯	-	0.576
ˈeː	-	0.572
z	s	0.562
ŋ	ŋ	0.561
ɣ	ɡ	0.534
ʦ	-	0.515
ə	ə	0.512
n	n	0.51
k	xː	0.486
ʦ	d	0.485
j	-	0.459
ˈɛ	ˈɛ	0.453
ŋ	ŋ_ɡ	0.439
z	ɡ	0.438
ˈeː	ˈɛ	0.428
ˈɛi̯	ˈei̯	0.424
ˈi	ˈi	0.423
ˈiə̯	ˈɑː	0.421
s	ʃ	0.415
ˈuː	ˈuː	0.401
ˈɪ	ˈi	0.383
ɣ̥	kː	0.383
s_k	ʃː	0.381
ˈi	ˈiː	0.365
d̥	d̥	0.351
ˈɛ	-	0.348
ˈoə̯	ˈu	0.346
t	s̻	0.332
ˈoə̯	ˈo_r	0.323
ˈiː	ˈiː	0.321
ɣ	kː	0.301
t	t	0.291
ˈɔ	ˈo	0.288
ə	ə_n	0.282
p	p͡f	0.274
v	-	0.264
ˈɔː	ˈɑ	0.26
t	ʦ	0.248
k	k	0.248
ˈuː	ˈu_n	0.239
ˈiː	ˈi	0.239
d	d	0.238
ˈɪə̯	-	0.228
ˈuə̯	-	0.223
ˈuː	-	0.222
j	ə	0.214
ˈi	-	0.212
ɪ	i	0.211
ˈɔ	ˈu	0.208
ˈɛː	ˈy	0.205
ˈɛː	-	0.205
ˈɪ	-	0.203
ˈɛ	ˈiː	0.198
ˈiː	n	0.184
ˈɪə̯	ˈoː	0.18
ˈoə̯	ˈɑː	0.18
ˈiə̯	ˈɛ	0.178
ˈɔ	-	0.177
ˈɪə̯	ˈou̯	0.176
k	kː	0.174
ˈiə̯	ˈyə̯	0.173
ɣ	-	0.166
j	ˈyː	0.157
ˈiə̯	ˈiə̯	0.156
ˈɪ	ˈu	0.154
ˈɔ	ˈi	0.151
ˈoə̯	-	0.151
ˈɪə̯	ˈɑ	0.15
ˈaː	-	0.149
ə	n	0.142
ˈuː	ˈyː	0.137
ˈɪ	ˈy	0.133
ˈiː	ˈiə̯	0.129
ˈiː	-	0.127
j	ˈiə̯	0.117
ˈa	r	0.112
n	d̥	0.111
ˈɪə̯	ˈɛ	0.106
d	tː	0.106
n	nː	0.099
n	h_ə	0.093
ˈɪ	ˈe	0.092
k	x	0.091
ˈɔ	ˈuː	0.088
ˈɔ	w	0.088
t	s̻ː	0.083
ˈɪə̯	ˈiə̯	0.081
p	fː	0.073
ˈiə̯	ˈeː	0.072
p	p	0.07
ə	-	0.064
m	mː	0.059
r	ə_r	0.057
j	ɛ	0.053
ˈɪə̯	ˈei̯	0.052
