Eastphalian	Eastphalian	probability
ˈɛɪ̯_#>	#>	1.0
ˈɛə̯	ˈɛːa̯	1.0
ˈɔʏ̯	ˈøː	1.0
ˈøː	-	1.0
ˈyː	ˈʊ̯iː	1.0
ˈaː	-	1.0
ˈaɪ̯	ˈai̯	1.0
ɣ̊	w	1.0
ɡ	ʤ̊ː	1.0
ə_#>	#>	1.0
ɒː	a	1.0
ɐ_t	ɹ_ʈ	1.0
ŋ_k	ʰk	1.0
ç	-	1.0
z̥_#>	s_#>	1.0
z	s	1.0
x_t	ʰt	1.0
x	-	1.0
w	v	1.0
v	v	1.0
s	s	1.0
n_#>	#>	1.0
j	ɡ̊	1.0
h	h	1.0
d̥_#>	#>	1.0
<#_ɣ	<#_ɡ̊	1.0
<#_t	<#_tʰ	1.0
<#_r	<#_ɹ	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_j	<#	1.0
<#_h	<#_j	1.0
<#	<#_kʰ	1.0
b	b̥	0.9
r	ɹ	0.889
d	tʰ	0.846
<#_d	<#_d̥	0.833
ˈʊ	ˈʊ	0.818
ˈiː	ˈʊ̯iː	0.818
d̥	d̥	0.8
#>	ʊ_ɹ_#>	0.8
ˈɛ	-	0.778
f	f	0.773
m	m	0.769
ˈɛː	-	0.714
ˈuː	ˈʉːu̯	0.7
l	l	0.69
<#_v	<#_v	0.688
ˈœ	-	0.6
ˈeo̯	ˈɛːi̯	0.6
ʃ	ʃ	0.6
<#_ˈa	<#_ˈa	0.6
t	t	0.594
p	p	0.571
ˈɔ	-	0.556
ɐ	ɹ	0.514
ˈʏ	ˈɪ	0.5
ɣ	ʊ	0.5
ɣ	ɡ̊	0.5
ŋ	ŋ	0.5
ˈɪ	ˈɪ	0.478
ə	a	0.467
n	a	0.459
ˈeː	j	0.429
ˈaʊ̯	ˈɔːu̯	0.429
p	ʰp	0.429
ˈœ	ˈʊ	0.4
ˈa	ˈa	0.4
ʃ	s_k	0.4
<#_ˈa	<#	0.4
ˈɪ	-	0.391
ˈɒː	ˈɔ̯aː	0.385
ˈoː	ˈɔ	0.375
ˈoː	-	0.375
t	ʰt	0.375
n	n	0.361
ə	ʊ_ɹ	0.333
k	kʰ	0.318
k	k	0.318
<#_v	<#	0.312
ˈɒː	ˈɛːa̯	0.308
ˈɛɪ̯	-	0.3
ˈuː	ˈʊ	0.3
ˈa	ˈɔ	0.3
ŋ	ŋ_ɡ̊	0.3
ˈɛː	ˈeː	0.286
ˈeː	ˈeː	0.286
ˈeː	-	0.286
ˈaʊ̯	ˈɔːu̯_w	0.286
ˈaʊ̯	-	0.286
ˈʏ	ˈʊ	0.25
ˈʏ	-	0.25
ˈoː	ˈiː	0.25
f	v	0.227
ˈɛ	ˈɛːa̯	0.222
ˈɔ	ˈœ	0.222
ˈɔ	ˈa	0.222
l	t͡l̥	0.207
ˈɛɪ̯	ˈai̯	0.2
ˈeo̯	ˈɔ̯aː	0.2
ˈeo̯	-	0.2
ˈa	ˈɛːa̯	0.2
ɐ	ɪ_ɹ	0.2
ŋ	v̥	0.2
d̥	j_ʊ	0.2
ˈʊ	-	0.182
ˈiː	ˈɛːa̯_ɹ	0.182
<#_d	<#	0.167
ˈɒː	ˈa	0.154
ˈɒː	-	0.154
d	j	0.154
ˈɛɪ̯	ˈʊ̯iː	0.15
ˈɛɪ̯	ˈɔːu̯	0.15
k	ʧ	0.136
n	nː	0.131
ˈɪ	ˈiː	0.13
r	-	0.111
#>	a_#>	0.109
l	l̥	0.103
ˈɛɪ̯	ˈaːi̯	0.1
ˈɛɪ̯	ɡ̊	0.1
ˈa	-	0.1
b	v	0.1
k	ʰk	0.091
k	ʧʰ	0.091
m	mː	0.077
m	a	0.077
m	-	0.077
ə	ʊ	0.067
ə	ɹ	0.067
ə	ɡ̊_a	0.067
ɐ	ˈœ_t͡n̥	0.057
ɐ	ɹ_ɪ	0.057
ɐ	ɹ_a	0.057
ɐ	ɡ̊_ʊ	0.057
ɐ	a_ɹ	0.057
#>	v_ʊ_ɹ_#>	0.055
