Friulian	Aromanian	probability
b	b	1.0
a	-	0.111
a	i	0.471
c	ʦ	0.051
d	t	0.371
l	r	0.121
o	ˈo	0.181
v	p	0.051
ˈiː	ˈe	0.121
ˈɔ	ˈo	0.071
ˈɔ	o̯ˈa	0.451
ˈɛ	ˈɨ	0.121
l	k_ʎ	0.12
n	m	0.062
p	k	0.162
p	p	0.772
r	-	0.082
t	-	0.052
v	-	0.272
ɡ	ɡ	0.72
ʧ	ʧ	0.142
d	d	0.373
i	-	0.103
j	ʎ	0.053
n	n	0.83
t	p_t	0.223
t	t	0.443
ʤ	ʣ	0.933
f	f	0.484
i	i	0.434
j	ʦ	0.184
m	ɲ	0.194
s	s	0.624
v	v	0.294
z	ʃ	0.924
ɲ	ɲ	0.644
ˈiː	ˈa	0.314
ˈu	-	0.174
ˈuː	ˈu	0.224
ˈɛ	ˈa	0.324
j	j	0.625
k	k	0.975
t	t_i	0.115
u	-	0.35
u	u	0.65
v	j	0.355
ɡ	-	0.075
ɡ	k	0.205
ˈaː	ˈa	0.535
ˈeː	ˈe	0.105
ˈeː	e̯ˈa	0.895
ˈi	ˈu	0.295
ˈiː	ˈi_r	0.565
ˈo	-	0.295
ˈoː	ˈu	0.25
ˈoː	o̯ˈa	0.75
ˈɛ	ˈe_p	0.065
ˈɛ	ˈe	0.315
e	ə	0.716
l	ʎ	0.096
l	-	0.146
m	m	0.806
p	-	0.066
z	z	0.076
ŋ	-	0.096
ɲ	n	0.356
ʧ	ʦ	0.846
ˈa	-	0.116
ˈe	ˈe	0.216
ˈe	ˈi	0.226
ˈi	ˈi	0.666
ˈu	ˈu	0.826
ˈuː	ˈo	0.776
ˈɛ	ˈi	0.146
e	-	0.067
f	w_ə	0.077
l	l	0.487
n	-	0.087
s	ʃ	0.057
w	o̯ˈa	0.357
ʤ	ʤ	0.067
ˈa	ˈo	0.117
ˈaː	ˈa_r	0.377
ˈe	e̯ˈa	0.557
ˈo	ˈo	0.117
a	ə	0.418
e	i	0.218
r	r	0.918
s	ʃ_t	0.118
s	-	0.168
ŋ	n_i	0.058
ŋ	n	0.778
ˈa	ˈa	0.358
ˈaː	a_r	0.088
ˈɔ	ˈu	0.478
c	k	0.949
d	ʣ	0.209
f	ç	0.399
i	i_r	0.149
i	u	0.279
j	-	0.139
o	u	0.819
t	t_u	0.119
w	-	0.599
ˈa	ˈɨ	0.409
ˈo	o̯ˈa	0.099
ˈo	ˈu	0.489
