Scots	Scots	probability
θ_#>	#>	1.0
ˈʌu̯	-	1.0
ˈɪ_ð	ˈuː	1.0
ˈɪ_ç	ˈɛ	1.0
ˈɪ_s	ʂ	1.0
ˈɪ_n	ˈoː_n	1.0
ˈɛː	ˈɛ_ŋ	1.0
ˈøː	ˈuː	1.0
ˈoː	-	1.0
ˈiː_r	r	1.0
ˈiː_#>	ˈɛː_#>	1.0
ˈaː	j_ˈɑː	1.0
ʤ	-	1.0
ɪ	ɪ	1.0
ə_r	r	1.0
ŋ_k	kː	1.0
ð	ˈɛː_d	1.0
ç	-	1.0
z	s_a	1.0
v	v_a	1.0
tʰ	tʰ	1.0
r_ˈɛ	r	1.0
r_t	ʈː	1.0
r_n	ɳ	1.0
r_d	ɖ	1.0
pʰ	pʰ	1.0
l	l	1.0
kʰ	kʰ	1.0
j	-	1.0
f_#>	v_#>	1.0
f	f	1.0
e	ɵ_ŋ	1.0
b	b	1.0
<#_ˈe	<#_ˈɛ	1.0
<#_w	<#	1.0
<#_r	<#_r	1.0
<#_l	<#_j	1.0
<#_j	<#	1.0
h	h	0.913
r	r	0.909
w	v	0.905
d	d	0.841
n	n	0.796
ŋ	ŋː	0.778
s	s	0.766
ə	ɛ	0.714
k	k	0.706
m	m	0.696
ˈəi̯	ˈiː	0.692
t	t	0.667
p	p	0.667
i	-	0.667
<#	<#_j	0.667
θ	tʰ	0.6
ˈuː	ˈʉː	0.6
x	-	0.6
ʃ	ɧ	0.556
ɡ	ɡ	0.538
ˈɛ	-	0.533
ˈuː_#>	ˈuː_#>	0.5
ˈuː_#>	#>	0.5
ˈɛ	ˈɛ	0.467
ˈɑː	ˈa	0.462
ˈø	ˈuː	0.455
ʃ	s_k	0.444
ˈa	ˈa	0.429
ˈa	-	0.429
#>	ɡ_#>	0.429
ˈuː	ˈɵ_lː	0.4
ˈu	ˈʉː	0.4
x	ɡ	0.4
ˈi	ˈøː	0.385
ˈe	ˈeː	0.375
ˈø	-	0.364
ˈɪ	ˈɪ	0.353
ˈʌ	ˈɵ	0.333
ˈu	ˈɵ	0.333
ˈeː	ˈɑː	0.333
p	pː	0.333
i	ɔ	0.333
<#	<#_ɡ	0.333
ˈe	ˈɑː	0.312
ˈəi̯	-	0.308
ˈɑː	-	0.308
m	mː	0.304
θ	d	0.267
ˈu	-	0.267
t	tː	0.256
ˈʌ	ˈʊ	0.25
ˈʌ	-	0.25
ˈɑː	ˈa_l	0.231
ˈiː	ˈeː	0.231
ɡ	j	0.231
ɡ	-	0.231
ˈeː	ˈoː	0.222
ŋ	ŋ	0.222
ˈo	ˈʉː	0.2
ˈo	ˈɔ	0.2
ˈo	ˈœ	0.2
ˈo	ˈuː	0.2
ˈo	-	0.2
ˈi	ˈʉː	0.192
ə	-	0.19
ˈe	ˈøː	0.188
ˈø	ˈoː	0.182
k	-	0.176
ˈʌ	ˈɔ	0.167
ˈeː	ˈa	0.167
d	-	0.159
ˈiː	ˈʉː_ɡ	0.154
ˈiː	ˈœː	0.154
ˈiː	ˈœ	0.154
ˈiː	ˈiː	0.154
ˈiː	ɡ_a	0.154
ˈa	ˈɑː	0.143
#>	ˈoː_#>	0.143
#>	ˈiː_#>	0.143
#>	v_#>	0.143
#>	k_a_#>	0.143
θ	ɕ	0.133
s	ɧ	0.128
ˈe	ˈɛ	0.125
n	nː	0.122
ˈɪ	ˈʏ	0.118
ˈɪ	-	0.118
k	kː	0.118
ˈi	ˈɛ	0.115
ˈi	ˈœ	0.115
ˈi	-	0.115
ˈeː	ˈøː	0.111
ˈeː	-	0.111
ə	d_ɛ	0.095
w	-	0.095
ˈɪ	ˈuː	0.088
ˈɪ	ˈeː	0.088
h	j	0.087
ˈi	ˈoː	0.077
r	-	0.068
s	sː	0.064
ˈɪ	ˈɵ	0.059
ˈɪ	ˈɛ	0.059
ˈɪ	ˈɔ	0.059
ˈɪ	j	0.059
ˈeː	jː	0.056
t	-	0.051
