Palatine German	Old High German	probability
β_ˈɑ	w	1.0
ˈɔ_ɐ	ˈu_r	1.0
ˈɔ	ˈo	1.0
ˈɑːɪ̯	-	1.0
ˈɑː_s	ˈɑ_s	1.0
ˈɑ	ˈɑ	1.0
ˈuː	ˈuo̯	1.0
ˈõː	n_u	1.0
ˈo	ˈɑː	1.0
ˈĩː	ˈuo̯_n	1.0
ˈiː_s	ˈuo̯_s̻	1.0
ˈi	ˈio̯	1.0
ˈau̯̯	ˈuː	1.0
ˈau̯	ˈuː	1.0
ʃ_l	s_l	1.0
ɡ̊_s	x_s	1.0
ɡ̊_r	ɡ_r	1.0
ɡ̊_n	kʰ_n	1.0
ɑ	oː	1.0
ɐ_n	r_n	1.0
s_ˈɪ	s_ˈi	1.0
kʰ	kʰ	1.0
h	h	1.0
eː	ɛ	1.0
d̥_r	t_r	1.0
f	f	0.988
l	l	0.973
m	m	0.907
ʣ̥	ʦ	0.881
b̥	b	0.876
β	w	0.865
ˈiː	ˈio̯	0.8
ŋ	ŋ_ɡ	0.8
ˈɪ	ˈi	0.787
ˈu	ˈu	0.766
ɐ	r	0.755
r	r	0.718
n	n	0.669
ɪ	ɡ	0.667
j	ɡ_ɑ	0.642
d̥	t	0.639
x	x	0.636
ˈaɪ̯	ˈiː	0.634
ɣ̊	ɡ	0.567
s	s	0.555
ˈɛ	ˈɛ	0.552
ˈɑː	ˈɑ	0.531
ɡ̊	ɡ	0.521
ˈoː	ˈɑː	0.456
ˈeː	-	0.438
ɣ̊	ɡ_ɑ	0.433
ˈɑː	ˈou̯	0.424
ˈɛː	ˈei̯	0.422
ə	ɑ_n	0.396
ɡ̊	kː	0.387
x	xː	0.364
d̥	d	0.361
ʃ	s	0.359
j	j	0.358
ˈɛː	ˈɛ	0.354
ɪ	u	0.333
ʃ	s_k	0.309
ˈoː	ˈoː	0.297
ʃ	x	0.27
s	s̻	0.263
ˈɛ	ˈe	0.256
ˈoː	ˈo	0.247
ˈaɪ̯	ˈiu̯	0.243
ə	e_n	0.237
ˈeː	ˈeː	0.228
ˈɛː	-	0.224
ˈeː	ˈei̯	0.222
ˈɪ	ˈu	0.213
ŋ	ŋ	0.2
n	nː	0.176
ɐ	ɑ_r	0.169
r	t	0.16
ˈiː	ˈi	0.158
ə	n	0.154
s	s̻ː	0.132
ˈu	ˈuo̯	0.13
β	b	0.125
ˈaɪ̯	-	0.123
ʣ̥	ʦː	0.119
ˈɛ	-	0.112
ˈeː	ˈɑː	0.112
ˈu	ˈo	0.103
ɡ̊	k	0.092
r	d	0.09
b̥	p͡f	0.089
ˈɛ	ˈu	0.081
ʃ	xː	0.062
ə	o	0.056
m	m_b	0.055
ɐ	ɛ_r	0.053
n	n_t	0.052
ə	u	0.05
s	s_i	0.05
