Old Prussian	Proto-Slavic	probability
ɡ	ɡ	1.0
z	z	1.0
w	v_ẽ	1.0
v	v	1.0
s_t	s_t	1.0
r	r	1.0
oːu̯	i_̌	1.0
o_n	i	1.0
l	l	1.0
k_t	tʲ	1.0
k	k	1.0
i_s	ŭ	1.0
eː	ʎ	1.0
e_n	ẽː	1.0
d	d	1.0
b	b	1.0
aːu̯	uː	1.0
aːi̯	-	1.0
aː	ĭ	1.0
au̯	uː	1.0
ai̯	e_d	1.0
a_ŋ	õː	1.0
a_s	ŭ	1.0
t	t	0.824
m	m	0.809
iː	-	0.562
e	-	0.56
p	p	0.54
p	-	0.46
e	e	0.44
iː	ɛː	0.438
o	o	0.413
n	n	0.395
u	ɨ_ˀ	0.394
i	-	0.382
i	ĭ	0.367
n	-	0.362
s	s	0.358
o	a	0.329
a	o	0.327
u	-	0.321
s	x	0.271
o	a_ˀ	0.258
a	ŭ	0.249
u	ŭ	0.218
s	ŭ	0.205
m	-	0.191
a	o_̂	0.182
t	t_i	0.176
n	ŭ	0.151
a	a_̌	0.124
i	ĭ_̌	0.117
s	-	0.098
n	j_ĭ	0.091
a	e_̂	0.084
i	ŭ	0.07
s	ĭ	0.068
u	u	0.066
i	i	0.064
