English	Dutch	probability
b	b	1.0
d	d	0.513
d	t	0.432
f	v	0.762
f	f	0.214
h	ɦ	0.981
j	j	0.525
j	χ	0.31
j	ˈi	0.165
k	k	0.964
kʰ	k	0.958
l	ɫ	1.0
m	m	0.9
m	ɾ_m	0.078
n	n	0.938
p	p	1.0
pʰ	p	1.0
s	z	0.567
s	s	0.419
t	t	0.683
t	χ_t	0.267
tʰ	t	0.914
tʰ	b	0.086
v	v	0.597
v	f	0.263
v	b	0.14
w	ʋ	0.94
z	z	0.686
z	s	0.314
ð	-	0.629
ð	d	0.371
ŋ	ŋ	1.0
ə	ə	0.567
ə	ɾ	0.389
əʊ̯	ə	0.786
əʊ̯	-	0.214
ɜː	ˈɛ	1.0
ɡ	χ	0.783
ɡ	-	0.217
ɪ	ə	0.619
ɪ	-	0.22
ɪ	ɪ	0.141
ɫ	ɫ	0.719
ɫ	ə_ɫ	0.177
ɫ	-	0.082
ɹ	ɾ	0.83
ɹ	-	0.097
ɹ	ˈɔ_ɾ	0.073
ʃ	s	1.0
ʤ	χ	1.0
ʧ	k	1.0
ˈaɪ̯	ˈɪ	0.315
ˈaɪ̯	ˈɛi̯	0.259
ˈaɪ̯	ˈi	0.106
ˈaɪ̯	ə	0.069
ˈaɪ̯	ˈoː	0.066
ˈaɪ̯	ˈɑ	0.064
ˈaʊ̯	ˈœy̯	0.545
ˈaʊ̯	ˈɔ	0.148
ˈaʊ̯	ˈu	0.132
ˈaʊ̯	ˈoː	0.088
ˈaʊ̯	ˈyː	0.088
ˈe	ˈeː	0.239
ˈe	ˈi	0.157
ˈe	ˈoː	0.155
ˈe	ˈaː	0.113
ˈe	ˈɛ	0.093
ˈe	ə	0.091
ˈe	ˈɪ	0.064
ˈeɪ̯	ˈaː	0.412
ˈeɪ̯	ˈɑ	0.251
ˈeɪ̯	ˈɛ	0.162
ˈeɪ̯	ˈeː	0.127
ˈiː	ˈoː	0.245
ˈiː	ˈi	0.172
ˈiː	ˈu	0.158
ˈiː	ˈaː	0.136
ˈiː	ˈɛi̯	0.108
ˈiː	ˈeː	0.065
ˈiː	i	0.054
ˈuː	ˈu	0.314
ˈuː	w	0.134
ˈuː	ˈɛi̯	0.134
ˈuː	ˈaː	0.129
ˈuː	ˈɑ	0.094
ˈuː	ˈi	0.076
ˈuː	ˈeː	0.072
ˈæ	ˈɑ	0.943
ˈæ	ˈɛ	0.057
ˈɐ	ˈɔ	0.508
ˈɐ	ˈoː	0.273
ˈɐ	-	0.064
ˈɐ	ˈaː	0.053
ˈɑː	ˈɑ	0.603
ˈɑː	ˈaː	0.246
ˈɑː	ˈɛ	0.151
ˈɒ	ˈɔ	0.588
ˈɒ	ˈɑ	0.197
ˈɒ	ˈeː	0.12
ˈɒ	-	0.094
ˈɔː	ˈoː	0.406
ˈɔː	ˈɔ	0.206
ˈɔː	ˈɑ	0.189
ˈɔː	ɾ	0.104
ˈɔː	ˈaː	0.095
ˈəʊ̯	ˈeː	0.351
ˈəʊ̯	ˈɛi̯	0.181
ˈəʊ̯	ˈɑu̯	0.093
ˈəʊ̯	ˈoː	0.076
ˈəʊ̯	w	0.075
ˈəʊ̯	ˈaː	0.075
ˈəʊ̯	ɫ	0.053
ˈəʊ̯	ˈi	0.053
ˈɛ	ˈɛ	0.459
ˈɛ	ˈaː	0.343
ˈɛ	ˈeː	0.197
ˈɜː	ˈɔ	0.484
ˈɜː	ɾ	0.197
ˈɜː	ˈɛ	0.197
ˈɜː	ˈaː	0.122
ˈɪ	ˈɪ	0.458
ˈɪ	ˈʏ	0.14
ˈɪ	ˈɛ	0.126
ˈɪ	ˈoː	0.077
ˈɪ	ˈi	0.073
ˈɪ	ˈeː	0.057
ˈʊ	ˈu	0.555
ˈʊ	ˈɔ	0.445
θ	d	0.668
θ	t	0.285
