Alsatian	East Low German	probability
<#	<#_d	1.0
<#_b̥	<#_b	1.0
<#_d̥	<#_d	1.0
<#_f	<#_f	1.0
<#_h	<#_h	1.0
<#_kʰ	<#_kʰ	1.0
<#_l	<#_l	1.0
<#_m	<#_m	1.0
<#_n	<#_n	1.0
<#_s	<#_z	1.0
<#_ʁ	<#_r	1.0
<#_ʃ	<#_ʃ	1.0
<#_ʋ	<#_v	1.0
<#_ʦ	<#_tʰ	1.0
<#_ˈi	<#_ˈɪ	1.0
<#_ˈu	<#_ˈʊ	1.0
<#_ˈɒ	<#_ˈa	1.0
<#_ˈəi̯	<#_ˈae̯	1.0
b̥_#>	f_#>	1.0
d̥	-	1.0
d̥_#>	d_#>	1.0
d̥_ə	ɾ	1.0
f	f	1.0
f_#>	p_#>	1.0
f_ə	p_n	1.0
j	j	1.0
j_ə	ŋ	1.0
k	ç	1.0
k_s	s	1.0
k_ə	k_n	1.0
l	l	1.0
l_#>	l_#>	1.0
l_ˈʊː	l_ˈaʊ̯	1.0
m	-	1.0
m_#>	m_#>	1.0
n_d̥	n	1.0
n_ə	n	1.0
p͡f	p	1.0
s_#>	t_#>	1.0
t_#>	t_#>	1.0
t_ə	ɾ	1.0
t_ʁ	r	1.0
w	w	1.0
ŋ_ə	ŋ	1.0
ə	-	1.0
ʁ_#>	æ_#>	1.0
ʁ_ˈu	r_ˈʏ	1.0
ʋ	v	1.0
ʦ	t	1.0
ʦ_#>	t	1.0
ˈei̯_#>	ˈae̯_#>	1.0
ˈi_n	ˈʏ_n	1.0
ˈiː_s	ˈɔʏ̯_t	1.0
ˈiː_ʁ	ˈyː_æ	1.0
ˈo_ʁ	ˈuː_æ	1.0
ˈu_k	ˈʏ_ç	1.0
ˈyː	ˈuː	1.0
ˈæː	ˈɛ	1.0
ˈøː	ˈaʊ̯	1.0
ˈɒ_l	ˈɔ_l	1.0
ˈɒ_n	ˈa_n	1.0
ˈɒː_ʁ	ˈaː	1.0
ˈʊː	ˈaʊ̯	1.0
ˈʊː_#>	ˈaʊ̯_#>	1.0
ə_#>	n_#>	0.591
ˈiː	ˈɪ	0.231
ˈoː	ˈoː	0.231
ˈu	-	0.231
n	-	0.2
ˈe	ˈɛ	0.2
ˈe	ˈœː	0.2
ˈe	ˈɛː	0.2
ˈe	ˈœ	0.2
ˈe	ˈɪ	0.2
ˈi	ˈɪ	0.882
ˈiː	ˈiː	0.462
ˈu	ˈʊ	0.462
i	-	0.333
<#_ɡ̊	<#_j	0.4
t	-	0.214
x	x	0.714
ŋ	ŋ	0.714
ʃ_#>	k_#>	0.444
ʃ_t	ç	0.4
ˈo	ˈɔ	0.4
ˈəi̯	ˈae̯	0.714
n_#>	b_m	0.105
n_#>	n_#>	0.895
s	t	0.385
s	s_#>	0.615
ˈei̯	ˈae̯	0.5
ˈei̯	ˈiː	0.5
ˈeː	ˈae̯	0.5
ˈeː	ˈeː	0.5
ˈoː	ˈɒː	0.385
ˈoː	ˈaʊ̯	0.385
ˈæ	ˈɛ	0.5
ˈæ	ˈɛː	0.5
ˈɒ	ˈaʊ̯	0.125
<#_ɡ̊	<#_ɡ	0.6
x	k	0.286
ŋ	ŋ_k	0.286
ʁ	æ	0.176
ʁ	r	0.706
ʃ_#>	ʃ_#>	0.556
ʃ_t	s_t	0.6
ˈo	ˈʊ	0.6
ˈɒː	ˈɛː	0.286
ˈɒː	ˈaː	0.286
ˈəi̯	ˈɪ	0.286
i	ɪ_ç	0.667
t	d	0.357
n	n	0.8
ʁ	-	0.118
ˈi	ˈɛ	0.118
ˈiː	ˈae̯	0.308
ˈu	ˈɔ	0.308
ˈɒ	ˈɒː	0.188
ˈɒ	ˈa	0.688
t	t	0.429
ə_#>	m_#>	0.409
ˈɒː	ˈa	0.429
