Sixian	Sixian	probability
⁵	²⁴	1.0
ʨʰ	ʨʰ	1.0
ʨ	-	1.0
ʦ	ʦ	1.0
ɲ_j	ɥ	1.0
ɨ	z̩	1.0
ɕ	ɕ	1.0
ŋ̍	y	1.0
ŋ	n	1.0
¹¹	¹³	1.0
²	²⁴	1.0
w	w	1.0
u_k̚	w	1.0
t̚_²	²⁴	1.0
p̚	-	1.0
o_²⁴	o_¹³	1.0
o_k̚	o	1.0
n_³¹	⁴¹	1.0
l	l	1.0
e_n	ẽ	1.0
a_¹¹	a_¹³	1.0
a_k̚	ɤ	1.0
<#_ŋ	<#_ŋ	1.0
<#_n	<#_l̃	1.0
²⁴	³³	0.943
n	n	0.889
³¹	⁴¹	0.773
s	s	0.75
pʰ	p	0.75
a	a	0.75
f	ɸ	0.7
j	j	0.688
<#_v	<#_w	0.667
⁵⁵	⁴⁵	0.636
o	a	0.63
p	p	0.625
ɲ	nʲ	0.6
m	n	0.6
<#	<#_ŋ	0.6
e_t̚	ɤ	0.571
tʰ	t	0.556
k	ʨ	0.556
i	i	0.522
t	ʦ	0.5
t	t	0.5
e	ə	0.5
e	ɒ	0.5
u	ə	0.467
ʦʰ	ʦʰ	0.455
h	x	0.455
tʰ	tʰ	0.444
k	k	0.444
e_t̚	e	0.429
ɲ	ʐ	0.4
m	m	0.4
<#	<#_w	0.4
p	ɸ	0.375
kʰ	ʨ	0.375
kʰ	kʰ	0.375
⁵⁵	²¹	0.364
ʦʰ	ʦ	0.364
<#_v	<#	0.333
f	x	0.3
pʰ	pʰ	0.25
kʰ	-	0.25
³¹	w_⁴¹	0.227
ʦʰ	ʨʰ	0.182
h	ʨʰ	0.182
h	ɕ	0.182
h	kʰ	0.182
i	y	0.174
u	u	0.167
s	ɕ_j	0.167
a	-	0.15
u	ə_w	0.133
u	y	0.133
i	ɤ	0.13
j	ə	0.125
o	ɒ	0.111
o	o	0.111
o	-	0.111
n	ẽ	0.111
u	-	0.1
a	i	0.1
i	e_j	0.087
i	-	0.087
s	ʂ	0.083
j	ɥ	0.062
j	i	0.062
j	-	0.062
²⁴	⁴¹	0.057
