East Low German	North Frisian	probability
ˈʊ_n	ˈyː	1.0
ˈʊ	ˈʊ	1.0
ˈɪ_ŋ	ˈai̯_ŋ	1.0
ˈɪ_n	n	1.0
ˈɛː	ˈɛː	1.0
ˈœ	ˈeː	1.0
ˈuː_æ	ˈɔ_r	1.0
ˈiː_#>	ˈeː_#>	1.0
ˈeː	ˈiː	1.0
ˈae̯_#>	ˈiː_#>	1.0
ˈae̯	ˈiː	1.0
ˈa_n	ˈœ_nʲ	1.0
ˈa_l	ˈuː_l	1.0
ʃ_#>	ʃ_#>	1.0
ɾ	d_ə	1.0
ɪ_ç_#>	i_#>	1.0
ŋ_k_#>	ŋ_#>	1.0
ç	x_t	1.0
æ_#>	r_#>	1.0
æ	r	1.0
x	x	1.0
w	v	1.0
v	v	1.0
t_æ	t_ə	1.0
s_#>	s_#>	1.0
r	r	1.0
p_#>	p_#>	1.0
p	p	1.0
n_ɪ	n_i	1.0
m_#>	m_#>	1.0
l_#>	l_#>	1.0
k_#>	k_#>	1.0
k	k_ə	1.0
<#_ɡ	<#_ɡ	1.0
<#_z	<#_s	1.0
<#_tʰ	<#_t	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_m	<#_m	1.0
<#_l	<#_l	1.0
<#_kʰ	<#_k	1.0
<#_h	<#_h	1.0
<#_f	<#_f	1.0
<#_b	<#_b	1.0
<#_v	<#_v	0.857
t	t	0.818
l	l	0.76
d_#>	#>	0.75
ˈiː	ˈi	0.667
#>	n_#>	0.667
<#_ʃ	<#_s	0.636
ˈɛ	ˈeː	0.6
ˈɔ	ˈɔː	0.6
n	n_ə	0.6
<#_j	<#_ɡ	0.6
<#_d	<#_d	0.593
f_#>	v_#>	0.556
<#	<#_j	0.556
t_#>	t_#>	0.548
m	m_ə	0.545
ˈɔʏ̯	ˈɛ	0.5
ˈœː	ˈɔː	0.5
ˈœː	ˈaː	0.5
ˈuː	ˈyː	0.5
ˈaʊ̯_t	ˈœ_dʲ	0.5
ˈaʊ̯_t	ˈyː_dʲ	0.5
ˈaʊ̯	ˈuː	0.5
ɡ	j_ə	0.5
ɡ	j	0.5
s	s	0.5
s	r_s	0.5
d	dʲ	0.5
d	-	0.5
ç_#>	#>	0.455
m	v_ə	0.455
ˈɪ	ˈi	0.444
f_#>	f_#>	0.444
ŋ	ŋ_ə	0.429
n_#>	ə_#>	0.413
ˈɛ	ˈʊ	0.4
ˈɔ	ˈœ	0.4
ˈa	ˈɒ	0.4
n	n	0.4
<#_j	<#_j	0.4
ˈɒː	ˈɛi̯	0.375
ˈɒː	ˈɔu̯	0.375
ˈaː	ˈa_r	0.375
ˈaː	r	0.375
ç_#>	j_#>	0.364
<#_ʃ	<#_ʃ	0.364
n_#>	n_#>	0.348
ˈɪ	ˈa	0.333
<#_d	<#_t	0.333
#>	r_#>	0.333
ˈʏ	ˈeː	0.3
ˈʏ	ˈa	0.3
ˈuː	ˈøː	0.286
ˈaʊ̯	ˈœ	0.286
ŋ	ŋ	0.286
ŋ	d_ə	0.286
ˈɔʏ̯	ˈɛi̯	0.25
ˈɔʏ̯	ˈiː	0.25
ˈɒː	ˈɛː	0.25
ˈaː	ˈɒː	0.25
d_#>	d_#>	0.25
t_#>	tʲ_#>	0.226
t_#>	d_#>	0.226
<#	<#_ˈeː	0.222
<#	<#_ˈa	0.222
ˈuː	ˈuː	0.214
ˈaʊ̯	ˈyː	0.214
ˈʏ	ˈʏ	0.2
ˈʏ	ˈʊ	0.2
ˈiː	ˈiː	0.2
ˈa	ˈɒː	0.2
ç_#>	ŋ_#>	0.182
t	z	0.182
n_#>	#>	0.152
<#_v	<#	0.143
ˈiː	ˈeː	0.133
ˈa	ˈʊ	0.133
ˈa	ˈɔː	0.133
ˈa	-	0.133
ˈɪ	ˈʊ	0.111
ˈɪ	ˈɒ	0.111
n_#>	nʲ_#>	0.087
l	lʲ	0.08
l	l_ə	0.08
l	-	0.08
<#_d	<#_tʲ	0.074
