Franco-Provençal	Eastern Lombard	probability
b	b	1.0
d	d	1.0
f	f	1.0
i	a	1.0
k	k	1.0
m	m	1.0
p	p	1.0
s	s	1.0
z	z	1.0
ɡ	ɡ	1.0
ɲ	ɲ	1.0
ʒ	-	1.0
ˈa	ˈa	1.0
ˈaː	ˈa	1.0
ˈĩ	ˈi	1.0
ˈo	ˈø	1.0
ˈø	ˈo	1.0
ˈɑː	ˈa	1.0
ˈɔ	ˈu	1.0
ˈɔ̃	ˈu	1.0
j	j	0.141
l	j	0.181
w	ˈu	0.111
ð	z	0.231
ə	ˈi	0.141
ʁ	r	0.791
ʃ	s	0.291
ˈi	ˈi	0.511
ˈoː	ˈo	0.511
ˈɑ̃	ˈa	0.621
ˈɛː	ˈɛ	0.31
j	ˈa	0.232
j	-	0.472
l	l	0.762
v	-	0.392
w	w	0.082
w	ˈø	0.262
ð	r	0.352
ʎ	j	0.22
e	-	0.93
n	-	0.123
o	o	0.573
ʎ	-	0.223
ʎ	ʧ	0.283
ˈu	ˈo	0.43
ˈɛ̃	ˈe	0.53
v	ʋ	0.424
ə	a	0.54
ʎ	ʤ	0.274
j	ʧ	0.155
t	t	0.855
v	ɡ	0.185
ˈe	ˈɛ	0.305
ˈoː	ˈø	0.105
ˈɛ	ˈe	0.505
ˈɛ	-	0.066
a	-	0.087
e	e	0.07
l	-	0.057
n	n	0.877
t	n_t	0.097
w	ˈo	0.247
ʁ	-	0.067
ʁ	e_r	0.107
ˈe	-	0.537
ˈoː	ˈɔ	0.067
ˈoː	l	0.317
ˈu	ˈy	0.57
ˈɛ̃	n	0.47
a	a	0.88
o	e	0.268
w	ˈɔ	0.298
ˈe	ˈa	0.158
ˈɛː	-	0.178
ˈɛː	ˈi	0.198
o	a	0.159
ð	-	0.109
ð	d	0.309
ə	e	0.319
ʃ	k	0.709
ˈi	ˈe	0.489
ˈɑ̃	ˈa_ŋ	0.379
ˈɛ	ˈɛ	0.429
ˈɛː	ˈe	0.269
