Yiddish	Saterland Frisian	probability
h	h	1.0
j	j	1.0
l	l	1.0
m	m	1.0
p	p	1.0
v	v	1.0
ŋ	ŋ	1.0
ɪ	ɪ	1.0
ʦ	t	1.0
ʧ	s_k	1.0
t	d	0.601
ɡ	ɣ	0.561
ʀ	r	0.861
ˈaɪ̯	ˈiː	0.071
ˈɛ	ˈɛ	0.061
b	-	0.262
b	b	0.642
ˈa	ˈaː	0.112
ˈaɪ̯	ˈyː	0.182
ˈɔ	ˈɛ	0.092
f	f	0.693
ˈɔ	ˈɔː	0.113
ˈɛɪ̯	ˈaː	0.093
ˈɛɪ̯	ˈeː	0.873
χ	k	0.413
χ	x	0.433
d	d_ə	0.074
k	k	0.624
n	ə	0.254
z	z_ə	0.114
ɡ	-	0.154
ʃ	s	0.464
ˈa	ˈoː	0.14
ˈɔ	ˈʊ	0.104
ˈɔ	ˈiː	0.194
ˈɪ	j	0.064
ˈɪ	ˈi	0.114
ˈɪ	ˈiː	0.224
ˈʊ	ˈɔː	0.064
χ	k_ə	0.154
t	t	0.325
ə	ˈuː	0.235
ə	ə	0.765
ˈaɪ̯	j	0.245
ˈaɪ̯	ˈi	0.315
ˈɔɪ̯	ˈuː	0.285
ˈɔɪ̯	ˈoː	0.715
ˈɛ	j	0.235
ˈɪ	ˈɛː	0.115
ˈʊ	ˈuː	0.325
ˈʊ	ˈʊ	0.405
b	v	0.086
s	s	0.296
z	s	0.886
ʃ	s_k	0.536
ˈa	ˈɔ	0.146
ˈa	ˈoːu̯	0.246
ˈɛ	ˈaːi̯	0.056
ˈɛ	ˈɔː	0.156
ˈʊ	ˈoːu̯	0.206
f	p	0.307
k	-	0.167
ɡ	ɣ_ə	0.127
ʀ	-	0.107
ˈa	ˈɛː	0.07
ˈaɪ̯	ˈɛɪ̯	0.187
ˈɔ	ˈɛɪ̯	0.07
ˈɛ	ˈa	0.187
ˈɪ	j_ˈʊ	0.057
d	-	0.058
d	t	0.288
d	d	0.58
k	x	0.208
s	t	0.658
ɡ	ɣ_j	0.098
ˈa	ˈɔː	0.258
ˈɔ	ˈoː	0.098
n	-	0.079
n	n	0.629
ˈɔ	ˈɔ	0.069
ˈɔ	ˈoːu̯	0.259
ˈɛ	ˈeː	0.219
ˈɪ	ˈɛɪ̯	0.079
ˈɪ	ˈɪ	0.309
