Bokmål Norwegian	Bokmål Norwegian	probability
ˈɛ_ɡː	ˈɔːɪ̯	1.0
ˈœʏ̯	ˈoː	1.0
ˈæː	ˈɛɪ̯	1.0
ˈuː_ɾ	ˈoːu̯_d	1.0
ʋ_#>	f_#>	1.0
ʈː	t	1.0
ʈ	t	1.0
ɾ_ə	ə_r	1.0
ɳ	d_ə	1.0
ɪ	ə	1.0
ɡ_ˈoː	ɡ	1.0
ŋː	ŋ	1.0
ŋ	x	1.0
ç	-	1.0
t	t	1.0
sː	s	1.0
s_ə	z_ə	1.0
s_#>	s_#>	1.0
s	s	1.0
pː	p	1.0
p	p	1.0
n	n	1.0
mː	m	1.0
m	m	1.0
l_#>	l_#>	1.0
l	l	1.0
kː	ŋ_k	1.0
j_ˈiː	ˈeːu̯	1.0
h	h	1.0
f	f	1.0
d	d	1.0
b	b	1.0
<#_ɾ	<#_r	1.0
<#_tʰ	<#_t	1.0
<#_pʰ	<#_p	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_kʰ	<#_k	1.0
k	k	0.909
<#_d	<#_d	0.875
ɾ	r	0.86
ə	ə	0.833
tː	t	0.727
ʋ	v	0.72
ˈʉ	ˈʊ	0.714
ˈuː	ˈoːu̯	0.714
ˈʏ	ˈɛː	0.667
ˈʊ	ˈuː	0.667
ˈɪ	ˈɪ	0.6
ɡː	-	0.6
tʰ	d	0.6
ˈʉː	ˈuː	0.556
ˈɑː	ˈɔː	0.556
ˈæɪ̯	ˈeː	0.556
<#	<#_v	0.545
ˈyː	j_ˈoː	0.5
ʂ	s_k	0.5
ʂ	s	0.5
ɡ	ɣ	0.5
nː	n_d	0.5
nː	n	0.5
ˈiː	ˈi	0.467
ˈœ	-	0.462
lː	l	0.455
ɡː	x	0.4
tʰ	t_v	0.4
ˈøː	ˈoː	0.375
j	h	0.375
j	-	0.375
lː	l_d	0.364
#>	ə_#>	0.35
ˈʏ	ˈʊ	0.333
ˈʊ	ˈœː	0.333
ˈiː	ˈiː	0.333
ˈyː	-	0.3
ˈɛ	ˈɛ	0.286
ˈʉː	-	0.278
ˈɔ	ˈɔː	0.273
ˈɔ	ˈuː	0.273
ˈɔ	-	0.273
ˈeː	ˈoː	0.273
ˈeː	-	0.273
tː	x_t	0.273
<#	<#_j	0.273
ˈɪ	ˈiː	0.267
ˈøː	ˈoː_d	0.25
j	ɣ	0.25
ˈœ	ˈuː	0.231
ˈoː	ˈɛɪ̯	0.231
ˈoː	ˈoːu̯	0.231
ˈoː	ˈoː	0.231
ˈɑː	ˈɛɪ̯	0.222
ˈɑː	ˈɛ	0.222
ˈæɪ̯	ˈaːi̯	0.222
ˈæɪ̯	-	0.222
ˈɑ	ˈoː	0.217
ɡ	x	0.214
ˈyː	j_ˈuː	0.2
ˈiː	j	0.2
#>	n_#>	0.2
#>	d_#>	0.2
ˈøː	ˈɛɪ̯	0.188
ˈøː	ˈeː	0.188
ˈɔ	ˈoːu̯	0.182
ˈeː	ˈi	0.182
ˈeː	ˈaː	0.182
lː	l_v	0.182
<#	<#_d	0.182
ˈɑ	ˈɔː	0.174
ˈɑ	ˈɔ	0.174
ˈœ	ˈɛɪ̯	0.154
ˈœ	ˈeː	0.154
ˈoː	ˈiː	0.154
ˈoː	-	0.154
ˈʉ	ˈuː	0.143
ˈʉ	-	0.143
ˈɛ	ˈeː	0.143
ˈɛ	ˈa	0.143
ˈɛ	-	0.143
ˈuː	ˈuː	0.143
ˈuː	-	0.143
ɡ	ɣ_j	0.143
ɡ	j	0.143
ˈɪ	-	0.133
ˈɑ	ˈoːu̯	0.13
ˈɑ	-	0.13
ə	-	0.125
<#_d	<#	0.125
#>	x_#>	0.125
ʋ	-	0.12
ˈʉː	ˈoː_ɣ	0.111
ˈɛ	ˈɔː	0.095
ˈɛ	ˈaː	0.095
ˈɛ	x	0.095
ˈeː	ˈiːu̯	0.091
k	x	0.091
ˈɑ	ˈɛː	0.087
ˈɑ	ˈa	0.087
ʋ	ɣ	0.08
ʋ	w	0.08
ɾ	-	0.08
#>	t_#>	0.075
ɾ	ˈiː_r	0.06
ˈʉː	ˈøː	0.056
