Elfdalian	Swiss German	probability
ˈʉ̃ːə̯	-	1.0
ˈɔ̃ː	-	1.0
ˈɔ	ˈɒ	1.0
ˈæː	-	1.0
ˈyœ̯	-	1.0
ˈiːe̯	ˈæi̯	1.0
ʨː	-	1.0
ʥ	-	1.0
ʉ_ŋ	i	1.0
ɽ_#>	l_#>	1.0
ɽ	l	1.0
ɪ	-	1.0
ɡ	ɡ̊	1.0
ɔ̃	-	1.0
ɑ_#>	#>	1.0
ɑ	ə	1.0
ŋ_ɡ	ŋ	1.0
ð_#>	d̥_#>	1.0
w	ʋ	1.0
tʰ	ʦ	1.0
t_#>	ʦ_#>	1.0
s_j	z̥	1.0
r_#>	#>	1.0
r	r	1.0
pː	-	1.0
pʰ	p͡f	1.0
n_d	ŋ	1.0
mː	m	1.0
m	m	1.0
lː	l	1.0
l	l	1.0
kː	ŋ_kː	1.0
kʰ	ɣ̊	1.0
k_#>	χː_#>	1.0
k	χː	1.0
f	v̥	1.0
d_#>	d̥_#>	1.0
b	b̥	1.0
<#_ˈʉ	<#_ʋ_ˈu	1.0
<#_ˈɪː	<#_ˈi	1.0
<#_ɽ	<#_l	1.0
<#_ɡ	<#_ɡ̊	1.0
<#_tʰ	<#_d̥	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_d	<#_tː	1.0
ð	tː	0.895
ɣ	ɡ̊	0.857
ˈɑ	ˈɒ	0.846
ɛ	ə	0.833
ˈɑːu̯	ˈuː	0.8
ˈɪ	ˈi	0.778
ʨ	-	0.778
ˈʉː	-	0.75
ˈɑːi̯	ˈiː	0.75
p	fː	0.75
ɔ	ə	0.714
s_#>	z̥_#>	0.714
ˈæ	ˈæ	0.667
ˈo	-	0.667
d	d̥	0.667
<#	<#_h	0.652
v	b̥	0.636
ˈʏː	ˈyː	0.6
ˈʏ	-	0.6
ˈɑː	ˈɒ	0.6
ˈyːœ̯	ˈyə̯	0.6
ʉ	-	0.6
s_k	ʃː	0.6
ˈʉːə̯	ˈuə̯	0.583
n	n	0.581
ˈʉə̯	-	0.571
j_ˈʉːə̯	ˈyː	0.571
t	sː	0.556
j	-	0.545
ˈɛː	ˈæ	0.5
ˈɛː	-	0.5
ˈoː	ˈoː	0.5
ˈoː	-	0.5
ɡː	kː_ə	0.5
ɡː	kː	0.5
ŋ	ŋ	0.5
ŋ	-	0.5
tː	χː_tː	0.5
nː	n	0.5
ˈʉ	ˈu	0.467
ˈɔː	ˈɒː	0.444
t	tː	0.444
ˈʉə̯	ˈo	0.429
ˈɪː	ˈiː	0.429
j_ˈʉːə̯	ˈiə̯	0.429
s	ʒ̊	0.41
ˈʏː	-	0.4
ˈʏ	ˈy	0.4
ˈɑː	ˈɒː	0.4
ˈyːœ̯	-	0.4
ʉ	ə	0.4
s_k	ʒ̊	0.4
#>	ɡ̊_#>	0.4
#>	r_#>	0.4
ˈɛ	-	0.385
v	fː	0.364
s	z̥	0.359
n	-	0.355
ˈɔː	-	0.333
ˈœː	ˈoː	0.333
ˈœː	ˈau̯	0.333
ˈœː	-	0.333
ˈæ	-	0.333
ˈo	ˈɒ	0.333
d	tː	0.333
ˈɛ	ˈæ	0.308
ˈɛ	ˈe	0.308
nː	r_n	0.3
ˈɪː	ˈyː	0.286
ˈɪː	-	0.286
ɔ	-	0.286
s_#>	sː_#>	0.286
j	ˈæ	0.273
ˈʉːə̯	-	0.25
ˈʉː	ˈo	0.25
ˈɑːi̯	-	0.25
tː	ʦ	0.25
tː	-	0.25
p	-	0.25
ˈɪ	-	0.222
ˈɔː	ˈɒ_l	0.222
ʨ	χː	0.222
ˈʉ	ˈo	0.2
ˈʉ	-	0.2
ˈɑːu̯	-	0.2
nː	-	0.2
#>	sː_#>	0.2
j	h_ˈæ	0.182
s	ʃː	0.179
<#	<#_ɡ̊	0.174
ˈʉːə̯	ˈyə̯	0.167
ɛ	-	0.167
ˈɑ	-	0.154
ɣ	-	0.143
ˈʉ	ˈoː	0.133
ð	d̥	0.105
<#	<#_ʦ	0.087
<#	<#_j	0.087
n	ə	0.065
s	tː	0.051
