Luxembourgish	Swedish	probability
b	b	1.0
d	d	0.501
d	tʰ	0.235
d	-	0.128
d	ɕ	0.078
d	t	0.036
e	ŋ	0.224
f	f	0.615
f	p	0.111
f	v	0.082
f	-	0.078
f	pː	0.044
h	h	0.973
h	-	0.036
j	-	0.5
j	ˈɵ	0.5
k	ɡː	0.442
k	k	0.278
k	kː	0.169
k	-	0.07
kʰ	kʰ	0.869
kʰ	ɕ	0.109
l	l	0.769
l	lː	0.097
l	ɛ_l	0.047
l	j	0.033
l	-	0.031
m	m	0.8
m	mː	0.184
m	ɧ	0.028
n	n	0.644
n	-	0.22
n	nː	0.107
n	m	0.027
n_t	nː	0.473
p	p	0.473
s	t	0.434
s	s	0.321
s	tː	0.107
s	sː	0.079
s	-	0.045
t	d	0.621
t	t	0.195
t	-	0.145
t	tː	0.03
t	ɖ	0.027
v	v	0.72
v	-	0.2
v	ŋ	0.074
v_ˈo	ˈɵ	1.0
w	v	0.576
w	-	0.231
w	ˈʉː	0.175
z	s	0.766
z	ɧ	0.223
ŋ	ŋː	0.45
ŋ	ʊ	0.218
ŋ	-	0.125
ŋ	n	0.109
ŋ	ŋ	0.08
ŋ_k	ŋː	1.0
ɐ	ɛ	0.367
ɐ	r	0.339
ɐ	ɳ	0.063
ɐ	rː	0.049
ɐ	-	0.048
ɐ_t	ɖ	1.0
ɕ	k	0.411
ɕ	ɡ	0.35
ɕ	s	0.098
ɕ	j	0.062
ɕ	ŋ	0.056
ɕ_t	tː	1.0
ə	-	0.75
ə	ɪ	0.091
ə	ɛ	0.058
ə	a	0.056
ə	ɵ	0.043
ə_f	v	1.0
ə_n	a	1.0
ɡ	ɡ	0.616
ɡ	j	0.296
ɡ	-	0.077
ʀ	r	0.847
ʀ	ɳ	0.072
ʀ	rː	0.042
ʀ	-	0.041
ʃ	s	0.514
ʃ	s_k	0.228
ʃ	ɧ	0.184
ʃ	-	0.039
ʃ	f	0.038
ʑ	j	0.473
ʦ	tʰ	0.539
ʦ	-	0.1
ʦ	ɕ	0.1
ʦ	ʈː	0.097
ʦ	tː	0.074
ˈaː	ˈɑː	0.211
ˈaː	ˈa	0.144
ˈaː	ˈøː	0.125
ˈaː	ˈɛ	0.107
ˈaː	ˈa_r	0.098
ˈe	ˈʏ	0.286
ˈe	ˈiː	0.286
ˈe	ˈɪ	0.164
ˈe	ˈøː	0.143
ˈe	ˈɔ	0.1
ˈeː	ˈeː	0.41
ˈeː	ˈɛ	0.265
ˈeː	ˈɛː	0.149
ˈeː	ˈœ	0.075
ˈeː	ˈoː	0.074
ˈi	ˈɪ	0.322
ˈi	ˈøː	0.175
ˈi	j	0.175
ˈi	ˈɵ	0.112
ˈi_n	ˈeː	1.0
ˈiə̯	ˈɛː	0.538
ˈiə̯	ˈeː	0.127
ˈiə̯	ˈɔ	0.121
ˈiə̯	ˈʉː	0.121
ˈiː	ˈɛ	0.343
ˈiː	ˈʉː	0.24
ˈiː	ˈɔ	0.158
ˈiː	ˈʏ	0.107
ˈiː	ˈøː	0.08
ˈo	ˈɵ	0.339
ˈo	ˈœ	0.218
ˈo	ˈɔ	0.175
ˈo	ˈʉː	0.103
ˈo	ˈʊ	0.066
ˈoː	ˈoː	0.768
ˈoː	jː	0.083
ˈoː	ˈɑː	0.079
ˈu	ˈoː	0.238
ˈu	ˈʊ	0.18
ˈu	ˈɑː	0.18
ˈu	ˈuː	0.135
ˈu	ˈa	0.085
ˈuə̯	ˈɵ	0.304
ˈuə̯	ˈɑː	0.179
ˈuə̯	ˈa	0.165
ˈuə̯	ˈɛː	0.165
ˈuː	ˈuː	0.45
ˈuː	ˈɔ	0.213
ˈuː	ˈʊ	0.116
ˈæ	ˈoː	0.415
ˈæ	ˈa	0.196
ˈæ	ˈɛ	0.196
ˈæɪ̯	ˈiː	1.0
ˈæːɪ̯	ˈiː	0.807
ˈæːɪ̯	ˈʏ	0.073
ˈæːɪ̯	ˈeː	0.073
ˈæːʊ̯	ˈʉː	0.855
ˈæːʊ̯	ˈuː	0.118
ˈɑ	ˈa	0.523
ˈɑ	ˈɪ	0.286
ˈɑ	-	0.066
ˈɑ	ˈɵ	0.053
ˈɑ	ˈiː	0.053
ˈɑɪ̯	ˈyː	0.32
ˈɑɪ̯	ˈiː	0.295
ˈɑɪ̯	ˈɔ	0.103
ˈɑɪ̯	ˈæː	0.1
ˈɑɪ̯	ˈœ	0.1
ˈɔ	ˈʊ	0.574
ˈɔ	ˈɵ	0.272
ˈə	ˈɛ	0.349
ˈə	ˈɪ	0.225
ˈə	ˈɵ	0.104
ˈə	ˈʏ	0.088
ˈə	ˈœ	0.086
ˈəɪ̯	ˈøː	0.347
ˈəɪ̯	ˈʉː	0.238
ˈəɪ̯	ˈyː	0.176
ˈəɪ̯	ˈoː	0.072
ˈəɪ̯	ˈœː	0.052
ˈəʊ̯	ˈøː	0.435
ˈəʊ̯	ˈuː	0.274
ˈəʊ̯	ˈoː	0.122
ˈəʊ̯	ˈœː	0.083
ˈɛ	ˈɛ	0.66
ˈɛ	ˈeː	0.322
ˈɛː	ˈæː	0.699
ˈɛː	j	0.085
ˈʊ	ˈuː	0.715
ˈʊ	-	0.28
ˈʊɪ̯	ˈɔ	0.224
χ	k	0.477
χ	ɡ	0.185
χ	-	0.109
χ	tː	0.04
