Luxembourgish	Swedish	probability
b	b	0.922
b	tʰ	0.078
d	d	0.504
d	tʰ	0.369
d	-	0.081
e	ɔ	0.84
e	ŋ	0.16
f	f	0.524
f	p	0.215
f	v	0.158
h	h	0.908
h	-	0.092
j	-	0.679
j	ˈɵ	0.321
k	ɡː	0.567
k	kː	0.23
k	k	0.203
kʰ	kʰ	0.782
kʰ	ɕ	0.218
l	l	0.832
l	lː	0.085
m	m	0.539
m	mː	0.184
m	-	0.173
m	r_m	0.104
n	n	0.731
n	nː	0.226
p	pː	0.725
p	p	0.275
s	t	0.472
s	s	0.307
s	tː	0.171
t	d	0.71
t	t	0.161
t	-	0.081
v	v	0.889
v	-	0.098
w	v	0.786
w	-	0.214
z	s	0.78
z	ɧ	0.22
ŋ	ŋː	0.362
ŋ	-	0.188
ŋ	ʊ	0.178
ŋ	n	0.155
ŋ	ŋ	0.117
ɐ	r	0.333
ɐ	ɛ	0.258
ɐ	-	0.183
ɐ	ɳ	0.09
ɐ	rː	0.052
ɕ	k	0.379
ɕ	ɡ	0.253
ɕ	tː	0.181
ɕ	s	0.074
ɕ	j	0.051
ə	a	0.653
ə	-	0.219
ɡ	ɡ	0.603
ɡ	j	0.373
ʀ	r	0.855
ʀ	ɳ	0.083
ʃ	s	0.741
ʃ	ɧ	0.211
ʑ	j	1.0
ʦ	tʰ	0.5
ʦ	tː	0.301
ʦ	ʈː	0.101
ˈaː	ˈa	0.345
ˈaː	ˈɑː	0.145
ˈaː	ˈuː	0.119
ˈaː	ˈɛː	0.084
ˈaː	ˈœ	0.081
ˈaː	ˈøː	0.075
ˈaː	ˈoː	0.074
ˈe	ˈɪ	0.387
ˈe	ˈiː	0.293
ˈe	ˈʏ	0.22
ˈe	ˈøː	0.054
ˈeː	ˈeː	0.423
ˈeː	ˈɛ	0.286
ˈeː	ˈɛː	0.167
ˈeː	ˈœ	0.073
ˈeː	ˈoː	0.052
ˈi	ˈøː	0.309
ˈi	ˈeː	0.298
ˈi	ˈɵ	0.226
ˈi	ˈɪ	0.1
ˈi	j	0.067
ˈiə̯	ˈɛː	0.59
ˈiə̯	ˈɔ	0.177
ˈiə̯	ˈeː	0.167
ˈiə̯	ˈʉː	0.065
ˈiː	ˈɛ	0.213
ˈiː	j	0.209
ˈiː	ˈiː	0.144
ˈiː	ˈɔ	0.11
ˈiː	ˈæː	0.077
ˈiː	ˈøː	0.073
ˈiː	ˈœː	0.073
ˈiː	ˈʉː	0.051
ˈiː	ˈʏ	0.051
ˈo	ˈɵ	0.272
ˈo	ˈɔ	0.158
ˈo	ˈuː	0.153
ˈo	ˈʊ	0.153
ˈo	ˈœ	0.111
ˈo	ˈøː	0.055
ˈo	ˈʉː	0.055
ˈoː	ˈoː	0.87
ˈoː	ˈɑː	0.066
ˈoː	jː	0.064
ˈu	ˈoː	0.255
ˈu	ˈɔ	0.203
ˈu	ˈʊ	0.127
ˈu	ˈa	0.126
ˈu	ˈuː	0.097
ˈu	ˈɑː	0.079
ˈu	ˈøː	0.062
ˈu	ˈʉː	0.051
ˈuə̯	ˈɛː	0.517
ˈuə̯	ˈɑː	0.151
ˈuə̯	ˈɵ	0.145
ˈuə̯	ˈa	0.14
ˈuː	ˈuː	0.362
ˈuː	ˈɔ	0.319
ˈuː	ˈœ	0.21
ˈuː	ˈʊ	0.109
ˈæ	ˈɛ	0.728
ˈæ	ˈa	0.158
ˈæ	ˈoː	0.114
ˈæːɪ̯	ˈiː	0.831
ˈæːɪ̯	ˈɛ	0.087
ˈæːʊ̯	ˈʉː	0.887
ˈæːʊ̯	ˈuː	0.113
ˈɑ	ˈa	0.492
ˈɑ	ˈɪ	0.351
ˈɑ	ˈɵ	0.073
ˈɑ	ˈʉː	0.057
ˈɑɪ̯	ˈyː	0.295
ˈɑɪ̯	ˈiː	0.25
ˈɑɪ̯	ˈæː	0.139
ˈɑɪ̯	ˈɵ	0.092
ˈɑɪ̯	ˈœ	0.083
ˈɑɪ̯	ˈɪ	0.083
ˈɑʊ̯	ˈɵ	0.431
ˈɑʊ̯	ˈʉː	0.366
ˈɑʊ̯	ˈʏ	0.203
ˈɔ	ˈʊ	0.762
ˈɔ	ˈɵ	0.238
ˈə	ˈɛ	0.38
ˈə	ˈɵ	0.275
ˈə	ˈœ	0.136
ˈə	ˈɪ	0.125
ˈəʊ̯	ˈøː	0.429
ˈəʊ̯	ˈoː	0.384
ˈəʊ̯	ˈuː	0.137
ˈɛ	ˈɛ	0.841
ˈɛ	ˈeː	0.159
ˈɛː	ˈæː	0.594
ˈɛː	j	0.406
ˈɜɪ̯	ˈøː	0.277
ˈɜɪ̯	ˈʉː	0.228
ˈɜɪ̯	ˈyː	0.146
ˈɜɪ̯	j_ˈʉː	0.111
ˈɜɪ̯	ˈoː	0.081
ˈɜɪ̯	ˈœː	0.072
ˈʊ	ˈuː	0.684
ˈʊ	-	0.316
χ	k	0.633
χ	-	0.181
χ	kː	0.099
χ	tː	0.051
