Sicilian	Piedmontese	probability
ˈo	ˈu	1.0
ˈe	ˈɛ	1.0
ˈa_ɾ	ˈe	1.0
ˈa_w	ˈɔ	1.0
ˈa_t	ˈa	1.0
ˈa_r	ˈe	1.0
ʦː	s	1.0
ʦ	s	1.0
ʤː	ʤ	1.0
ʐː	r	1.0
ʊ_#>	#>	1.0
ʈ_ɽ	r	1.0
ʃː	s	1.0
ʃ	s	1.0
ɾ_ʊ_#>	r_#>	1.0
ɾ_ɪ_#>	#>	1.0
ɽ	r	1.0
ɲː	ɲ	1.0
ɪ_ɾ	e	1.0
ɪ_#>	#>	1.0
ɡ	ɡ	1.0
ɟː	j	1.0
ɖː_ʊ_#>	l_#>	1.0
ɖː	l	1.0
ɕ_ˈi	s_ˈi	1.0
ŋ	ŋ	1.0
ç	f_j	1.0
z	s	1.0
tː_ɪ	j_t	1.0
tː	t	1.0
sː	s	1.0
s	s	1.0
r_ʊ	r	1.0
r_ɪ	j	1.0
p_ʊ_#>	p_#>	1.0
o	u	1.0
n_ʊ_#>	ŋ_#>	1.0
n_ɪ_#>	n_#>	1.0
mː	m	1.0
m_ɪ_#>	m_#>	1.0
m	m	1.0
kː	k	1.0
k_ʊ	ɡ	1.0
i_ɾ	e	1.0
f	f	1.0
d	d	1.0
cː_ʊ_#>	j_#>	1.0
cː	j	1.0
c	p_j	1.0
b	b	1.0
a_w	u	1.0
a_l	a_l	1.0
a_#>	#>	1.0
<#_ˈa	<#_ˈa	1.0
<#_ʐ	<#_r	1.0
<#_ɡ	<#_ɡ	1.0
<#_t	<#_t	1.0
<#_n	<#_n	1.0
<#_j	<#_ʤ	1.0
a	a	0.973
ˈa	ˈa	0.958
l	l	0.944
v	v	0.909
k	k	0.9
w	w	0.8
t	t	0.794
p	p	0.794
ɾ	r	0.789
ˈɛ	ˈɛ	0.778
j	j	0.75
ɕ	z	0.688
ʤ	ʤ	0.667
ʊ	j	0.667
ɪ	e	0.667
r	r	0.636
n	ŋ	0.622
u	u	0.6
<#_a	<#_a	0.6
<#_ˈɔ	<#_ˈø	0.556
ˈu	ˈu	0.511
i	-	0.474
ˈi	ˈi	0.455
<#_ˈɔ	<#_ˈɔ	0.444
ˈɔ	ˈø	0.414
u	-	0.4
<#_a	<#	0.4
ˈu	ˈy	0.383
ˈɔ	ˈɔ	0.379
n	n	0.378
r	-	0.364
ʤ	-	0.333
ʊ	-	0.333
ɪ	-	0.333
nː	ŋ	0.333
ɕ	s	0.312
i	i	0.263
i	e	0.263
j	-	0.25
ˈɛ	ˈe	0.222
nː	ˈy_m	0.222
nː	n	0.222
nː	-	0.222
ˈɔ	ˈu	0.207
p	v	0.206
w	-	0.2
ˈi	ˈɛ	0.182
ˈi	ˈe	0.182
t	d	0.147
ɾ	d	0.105
ɾ	-	0.105
k	-	0.1
v	-	0.091
ˈu	ˈi	0.064
t	-	0.059
l	-	0.056
